
[00:00:00.000 --> 00:00:01.520]  怎麼樣 弟兄姊妹
[00:00:01.520 --> 00:00:04.860]  喜歡剛才的情況嗎
[00:00:04.860 --> 00:00:09.100]  不錯 又開心又自由
[00:00:09.100 --> 00:00:10.860]  但有點混亂
[00:00:10.860 --> 00:00:12.800]  剛才為什麼這麼混亂呢
[00:00:12.800 --> 00:00:15.620]  這個也是人為的
[00:00:15.620 --> 00:00:19.320]  都是我編排和弟兄姊妹配搭一起
[00:00:19.320 --> 00:00:25.060]  加入一起製造這個臨時的混亂
[00:00:25.060 --> 00:00:26.560]  但是我們回到這段經文
[00:00:26.560 --> 00:00:27.760]  哥林多前書裡面
[00:00:27.760 --> 00:00:31.860]  當時的教會的確是非常混亂
[00:00:31.860 --> 00:00:36.060]  為什麼這麼混亂呢
[00:00:36.060 --> 00:00:37.660]  好混亂 好混亂
[00:00:37.660 --> 00:00:41.960]  我們要回到當時第一世紀的時候
[00:00:41.960 --> 00:00:44.760]  基督教會是怎麼樣的
[00:00:44.760 --> 00:00:47.560]  當時的環境
[00:00:47.560 --> 00:00:49.660]  基督徒不是那麼多
[00:00:49.660 --> 00:00:51.360]  所以很多時候他們的聚會
[00:00:51.360 --> 00:00:54.160]  就是在一些家裡
[00:00:54.160 --> 00:00:56.460]  有些人家裡比較大
[00:00:56.460 --> 00:00:58.760]  在那裡會有些聚會
[00:00:58.760 --> 00:01:00.760]  地點也不固定
[00:01:00.760 --> 00:01:07.860]  參加的人也有主人 奴僕 客人 弟兄姊妹
[00:01:07.860 --> 00:01:10.360]  他們的背景是很不同的
[00:01:10.360 --> 00:01:14.260]  他們的形式也和今天很不同
[00:01:14.260 --> 00:01:17.260]  今天我們崇拜有不同的程序
[00:01:17.260 --> 00:01:21.060]  我們一開始有安靜 有默想
[00:01:21.060 --> 00:01:24.260]  有主在聖殿中 有唱詩
[00:01:24.260 --> 00:01:27.860]  有詩班 有讀經 有祈禱 有講道
[00:01:27.860 --> 00:01:32.260]  然後有主禱文 使徒信經 聖餐等等
[00:01:32.260 --> 00:01:35.860]  但是對於以前他們初期教會的人來說
[00:01:35.860 --> 00:01:38.560]  特別當時他們沒有那麼多形式
[00:01:38.560 --> 00:01:40.560]  他們是很自由的
[00:01:40.560 --> 00:01:43.160]  他們有感動的時候開放
[00:01:43.160 --> 00:01:45.360]  覺得有感動就出來
[00:01:45.360 --> 00:01:46.860]  我今天有這些啟示
[00:01:46.860 --> 00:01:47.960]  神給我有這些啟示
[00:01:47.960 --> 00:01:50.560]  我就站出來和大家分享
[00:01:50.560 --> 00:01:52.160]  他們沒有一個固定的程序
[00:01:52.160 --> 00:01:56.160]  也是很自發性 很輪流性
[00:01:56.160 --> 00:01:58.160]  他們有時會唱詩歌
[00:01:58.160 --> 00:01:59.760]  有時像剛才的弟兄那樣
[00:01:59.760 --> 00:02:01.560]  很有感動出來唱詩歌
[00:02:01.560 --> 00:02:04.260]  他就可以帶領大家唱一首詩歌
[00:02:04.260 --> 00:02:08.360]  有人很有感動為大家一起祈禱
[00:02:08.360 --> 00:02:11.560]  以前當時的聚會是這樣的
[00:02:11.560 --> 00:02:17.360]  好處是很自由 充滿力量
[00:02:17.360 --> 00:02:21.360]  但是壞處是很容易失控
[00:02:21.360 --> 00:02:26.960]  很容易陷入混亂 不知如何是好
[00:02:26.960 --> 00:02:27.960]  不單是這樣
