
[00:00:00.000 --> 00:00:02.960]  今天想和大家去想一個問題
[00:00:02.960 --> 00:00:05.960]  又或者這樣問,在你過去認識信仰
[00:00:05.960 --> 00:00:07.880]  可能有短時間或長時間
[00:00:07.880 --> 00:00:09.160]  我們當中有不同年紀
[00:00:09.160 --> 00:00:11.960]  或者不同班教會的弟兄姊妹
[00:00:11.960 --> 00:00:16.160]  我想問你,如果你有機會去問上第一個問題
[00:00:16.160 --> 00:00:18.280]  一個而已
[00:00:18.280 --> 00:00:19.720]  你最想問的
[00:00:19.720 --> 00:00:22.840]  或者過去這麼多年你問來問去都問不到答案的
[00:00:22.840 --> 00:00:24.760]  你還想問的
[00:00:24.760 --> 00:00:26.040]  一個問題
[00:00:26.040 --> 00:00:28.480]  你會問的是什麼問題呢?
[00:00:29.480 --> 00:00:30.480]  想一想
[00:00:30.480 --> 00:00:33.480]  今天有一個機會你去到上帝面前
[00:00:33.480 --> 00:00:35.480]  祂說好,你來吧
[00:00:35.480 --> 00:00:37.480]  你就問一個問題
[00:00:37.480 --> 00:00:40.480]  你就問一個問題
[00:00:40.480 --> 00:00:42.480]  你最想問的是什麼問題呢?
[00:00:42.480 --> 00:00:48.480]  好,先聽聽答案
[00:00:48.480 --> 00:00:51.480]  點一下名,是不是?
[00:00:51.480 --> 00:00:55.480]  躲起來,是不是?
[00:00:55.480 --> 00:00:56.480]  好,珈其
[00:00:56.480 --> 00:00:59.480]  你沒有躲起來,只是遮住了
[00:00:59.480 --> 00:01:01.480]  你會問什麼問題呢?
[00:01:01.480 --> 00:01:05.480]  想不到,好
[00:01:05.480 --> 00:01:07.480]  這個問題是會拍戲拳的
[00:01:07.480 --> 00:01:11.480]  好,肥鴻呢?你會問什麼問題?
[00:01:11.480 --> 00:01:16.480]  我是不是死了?
[00:01:16.480 --> 00:01:18.480]  上帝,我是不是死了?
[00:01:18.480 --> 00:01:20.480]  這個問題都不用問了,是不是?
[00:01:20.480 --> 00:01:22.480]  我是不是死了?
[00:01:22.480 --> 00:01:23.480]  這個問題都挺有趣的
[00:01:24.480 --> 00:01:26.480]  好,施多煥問什麼問題?
[00:01:26.480 --> 00:01:31.480]  為什麼我是香港人?
[00:01:31.480 --> 00:01:32.480]  這個問題有點苦澀
[00:01:32.480 --> 00:01:34.480]  為什麼我是香港人呢?
[00:01:34.480 --> 00:01:37.480]  還有什麼問題你很想問的?
[00:01:37.480 --> 00:01:40.480]  一川,你想問什麼?
[00:01:40.480 --> 00:01:46.480]  上帝,我有沒有做錯?
[00:01:46.480 --> 00:01:47.480]  我做得對不對?
[00:01:47.480 --> 00:01:48.480]  我做得好不好?
[00:01:48.480 --> 00:01:50.480]  這個問題挺好的
[00:01:50.480 --> 00:01:53.480]  問一下那邊
[00:01:53.480 --> 00:01:54.480]  那邊後面
[00:01:54.480 --> 00:01:55.480]  阿May,我看到阿May
[00:01:55.480 --> 00:01:56.480]  雖然躲起來了
[00:01:56.480 --> 00:01:58.480]  阿May,你會問什麼?
[00:01:58.480 --> 00:02:03.480]  是不是?
[00:02:03.480 --> 00:02:06.480]  上帝的心意是什麼?
[00:02:06.480 --> 00:02:08.480]  無論你問什麼問題都好
[00:02:08.480 --> 00:02:10.480]  可能最後你回到去
[00:02:10.480 --> 00:02:11.480]  都是類似的問題
[00:02:11.480 --> 00:02:14.480]  就是上帝究竟你怎麼想的?
[00:02:14.480 --> 00:02:16.480]  就是寧願我做得好不好也好
[00:02:16.480 --> 00:02:17.480]  或者我是怎麼好
[00:02:17.480 --> 00:02:18.480]  我怎麼搞到這樣
[00:02:18.480 --> 00:02:20.480]  上帝其實你想我怎樣?
[00:02:20.480 --> 00:02:22.480]  有時候我們經常都問這個問題
[00:02:22.480 --> 00:02:24.480]  上帝你想我怎樣的呢?
[00:02:24.480 --> 00:02:25.480]  有問過這個問題嗎?
[00:02:25.480 --> 00:02:26.480]  可能你做基督徒這麼多年
[00:02:26.480 --> 00:02:28.480]  你都會問上帝你想我怎樣?
[00:02:28.480 --> 00:02:29.480]  當你去找工作
[00:02:29.480 --> 00:02:30.480]  當你去升學
[00:02:30.480 --> 00:02:32.480]  特別是這些日子放榜
[00:02:32.480 --> 00:02:33.480]  很多同學就會有
[00:02:33.480 --> 00:02:34.480]  或者找工作
[00:02:34.480 --> 00:02:35.480]  或者找你的另一半
[00:02:35.480 --> 00:02:36.480]  是不是?
[00:02:36.480 --> 00:02:37.480]  上帝是不是他?
[00:02:37.480 --> 00:02:38.480]  或者想一下教會
[00:02:38.480 --> 00:02:39.480]  我要侍奉了
[00:02:39.480 --> 00:02:40.480]  我要洗禮了
[00:02:40.480 --> 00:02:41.480]  我要毀身了
[00:02:41.480 --> 00:02:42.480]  上帝是不是呢?
[00:02:42.480 --> 00:02:44.480]  我們很想問上帝
[00:02:44.480 --> 00:02:46.480]  究竟上帝在我們身上要做的作為
[00:02:46.480 --> 00:02:49.480]  是不是我們所經歷的呢?
[00:02:49.480 --> 00:02:51.480]  又或者我們做得好不好呢?
