
[00:00:00.000 --> 00:00:05.340]  今天我們會花一些時間
[00:00:05.340 --> 00:00:08.860]  去更加認識我們這位神
[00:00:08.860 --> 00:00:14.420]  我覺得這也是我們在新一年裏面
[00:00:14.420 --> 00:00:17.260]  第一樣最值得思想的題目
[00:00:17.260 --> 00:00:21.720]  因為今天我們所讀的經文
[00:00:21.720 --> 00:00:25.640]  就為我們更清楚介紹
[00:00:25.640 --> 00:00:30.760]  我們這位上帝耶和華神的另一個很不同的屬性
[00:00:30.760 --> 00:00:34.140]  就是讓我們很清楚看到我們所信仰的
[00:00:34.140 --> 00:00:37.160]  耶和華神的另外一個特性
[00:00:37.160 --> 00:00:38.480]  它是一個什麼樣的屬性呢?
[00:00:38.480 --> 00:00:40.960]  它是一個很難被人接受的屬性
[00:00:40.960 --> 00:00:42.080]  是什麼樣的屬性呢?
[00:00:42.080 --> 00:00:44.680]  是很難被人接受的一個屬性
[00:00:44.680 --> 00:00:48.960]  我簡單地來形容是上帝嚴厲的這個屬性
[00:00:48.960 --> 00:00:52.400]  我簡單地講是指上帝嚴厲的屬性
[00:00:52.400 --> 00:00:56.600]  一般人不想介紹耶和華神是一個嚴厲的神
[00:00:56.600 --> 00:01:00.440]  一般人不願意介紹耶和華神是一個嚴厲的神
[00:01:00.440 --> 00:01:02.360]  但是在這段聖經裏面
[00:01:02.360 --> 00:01:04.480]  我們卻要清楚知道
[00:01:04.480 --> 00:01:07.760]  認識上帝是一個嚴厲的神是必須要的事情
[00:01:07.760 --> 00:01:10.240]  所以我們要很清楚地認識
[00:01:10.240 --> 00:01:13.040]  耶和華神是一位嚴厲的上帝
[00:01:13.040 --> 00:01:14.200]  簡單地來講
[00:01:14.200 --> 00:01:18.200]  信耶穌這件事
[00:01:18.200 --> 00:01:21.280]  如果當我們能夠認識上帝是一個嚴厲的神的話
[00:01:21.280 --> 00:01:24.600]  當我們能夠認識耶和華神是一個嚴厲的神的時候
[00:01:24.600 --> 00:01:26.400]  我們會更加謹慎
[00:01:26.400 --> 00:01:27.840]  我們會更加謹慎
[00:01:27.840 --> 00:01:31.600]  不要當信耶穌是一件玩玩的事情
[00:01:31.600 --> 00:01:34.960]  不要把當信耶穌當成是玩笑的事情
[00:01:34.960 --> 00:01:37.640]  我希望今天透過荷西亞先知書
[00:01:37.640 --> 00:01:39.440]  我們希望透過荷西亞先知書
[00:01:39.440 --> 00:01:42.080]  第十三章第一至十一節裏面
[00:01:42.080 --> 00:01:44.680]  十三章到十一節裏面
[00:01:44.680 --> 00:01:47.200]  讓聖經為我們去介紹
[00:01:47.200 --> 00:01:48.880]  讓聖經為我們介紹
[00:01:48.880 --> 00:01:51.280]  上帝是怎樣一位嚴厲的神
[00:01:51.280 --> 00:01:53.560]  上帝是怎樣一位嚴厲的神
[00:01:53.560 --> 00:01:59.360]  免得我們為耶和華神塑造一個雖然叫做耶和華
