
[00:00:00.000 --> 00:00:06.000]  不知大家在人生當中有沒有遇到類似的時刻
[00:00:06.000 --> 00:00:09.000]  忽然之間你感到很徬徨 很無助
[00:00:09.000 --> 00:00:11.000]  在你面前的那個問題
[00:00:11.000 --> 00:00:13.000]  你發覺你似乎沒辦法去承擔
[00:00:13.000 --> 00:00:16.000]  你承擔不了 你處理不了 你應付不了
[00:00:16.000 --> 00:00:19.000]  你不知道可以向誰求助
[00:00:19.000 --> 00:00:21.000]  你發覺你不能夠去得勝
[00:00:21.000 --> 00:00:25.000]  你不能夠去克服這些艱難的時刻
[00:00:25.000 --> 00:00:27.000]  有沒有這樣的經驗呢
[00:00:27.000 --> 00:00:30.000]  我相信如果我們在這個世界上有一段時間
[00:00:30.000 --> 00:00:34.000]  每一個人都會可能有類似這樣的經歷
[00:00:34.000 --> 00:00:36.000]  我們無論如何努力
[00:00:36.000 --> 00:00:39.000]  我們發覺似乎我們going nowhere
[00:00:39.000 --> 00:00:42.000]  在人生當中我們遇到很多困難的時候
[00:00:42.000 --> 00:00:44.000]  我們想方法去應付
[00:00:44.000 --> 00:00:46.000]  但事事都是碰壁的
[00:00:46.000 --> 00:00:48.000]  很多時候想努力的時候
[00:00:48.000 --> 00:00:51.000]  碰到的不單單是一個頭行
[00:00:51.000 --> 00:00:55.000]  而且似乎我們沒有辦法去達成我們的理想
[00:00:55.000 --> 00:00:57.000]  人有時候就是這麼困難
[00:00:57.000 --> 00:00:59.000]  明明我們沒有思想
[00:00:59.000 --> 00:01:01.000]  神造我們有個腦袋
[00:01:01.000 --> 00:01:03.000]  神都讓我們遇到問題的時候
[00:01:03.000 --> 00:01:05.000]  都會有一套解決的方法
[00:01:05.000 --> 00:01:07.000]  所以我們不是沒有想應該怎麼去處理
[00:01:07.000 --> 00:01:09.000]  我們有思想 有idea 有計劃
[00:01:09.000 --> 00:01:11.000]  怎麼去克服這個問題
[00:01:11.000 --> 00:01:13.000]  但是for some reason
[00:01:13.000 --> 00:01:15.000]  每個人不一樣
[00:01:15.000 --> 00:01:21.000]  很多人這些理想 這些計劃 這些方法
[00:01:21.000 --> 00:01:24.000]  似乎永遠都不能夠起行
[00:01:24.000 --> 00:01:26.000]  launch不到 做不到
[00:01:26.000 --> 00:01:28.000]  那結果是什麼呢
[00:01:28.000 --> 00:01:30.000]  結果很多時候我們發覺
[00:01:30.000 --> 00:01:32.000]  我們很frustrated
[00:01:32.000 --> 00:01:34.000]  想做的做不到
[00:01:34.000 --> 00:01:38.000]  有理想 但是不能夠去達成
[00:01:38.000 --> 00:01:41.000]  其實我們生命裏面不單單在周圍的環境當中
[00:01:41.000 --> 00:01:44.000]  每天我們面對很多這些掙扎和挑戰
[00:01:44.000 --> 00:01:46.000]  發覺我們力不能升
[00:01:46.000 --> 00:01:49.000]  在我們屬靈的生命裏面都一樣
[00:01:49.000 --> 00:01:53.000]  每個人 我相信都有屬靈的死穴
[00:01:53.000 --> 00:01:56.000]  在某些事情上我們很堅強
[00:01:56.000 --> 00:01:59.000]  但是在某些事情上我們很軟弱
[00:01:59.000 --> 00:02:02.000]  經常會跌倒 會犯罪 會得罪上帝
[00:02:02.000 --> 00:02:04.000]  有時到了一個地步我們放棄了
[00:02:04.000 --> 00:02:06.000]  算了 都這麼多年了
[00:02:06.000 --> 00:02:08.000]  我不能夠克服這個問題
[00:02:08.000 --> 00:02:10.000]  我不能夠戰勝這個隱憂
[00:02:10.000 --> 00:02:13.000]  我不能夠去處理這個挑戰
[00:02:13.000 --> 00:02:16.000]  於是就將這個問題放在一邊
[00:02:16.000 --> 00:02:18.000]  很多基督徒因爲這樣的緣故
[00:02:18.000 --> 00:02:24.000]  變成一個生活與信仰分開的人
[00:02:24.000 --> 00:02:26.000]  我希望剛纔我所描寫的
[00:02:26.000 --> 00:02:28.000]  所去形容的
[00:02:28.000 --> 00:02:30.000]  不是發生在他們身上
[00:02:30.000 --> 00:02:32.000]  不過我說得出的時候
[00:02:32.000 --> 00:02:33.000]  我相信事實上
[00:02:33.000 --> 00:02:35.000]  無論你信耶穌多久
[00:02:35.000 --> 00:02:38.000]  或者你覺得自己屬靈都好
[00:02:38.000 --> 00:02:40.000]  我們人生當中
[00:02:40.000 --> 00:02:43.000]  無可避免地都有這樣的掙扎
[00:02:43.000 --> 00:02:46.000]  但是最令我們有時覺得困惑的是什麼呢
