
[00:00:00.000 --> 00:00:07.300]  今天我們要跟大家回到我們去年的要講的加拉太書。
[00:00:07.300 --> 00:00:15.700]  哇,加拉太書只有六章,但是你看神的話這麼豐富,字字珠璣。
[00:00:15.700 --> 00:00:19.700]  加拉太書,我們今天要講到加拉太書最後的這一段,
[00:00:19.700 --> 00:00:23.500]  加拉太書第四章二十八到三十一節。
[00:00:23.500 --> 00:00:27.500]  我們一起來讀這段聖經,好不好?
[00:00:27.500 --> 00:00:29.500]  好,我們起來,預備,請。
[00:00:29.500 --> 00:00:35.500]  弟兄們,我們是憑着應許做兒女,如同以下一樣,
[00:00:35.500 --> 00:00:43.000]  當時按着血氣生的,逼迫了按聖靈生的,現在也是這樣。
[00:00:43.000 --> 00:00:45.500]  然而經上是怎麼說的呢?
[00:00:45.500 --> 00:00:49.500]  是說把使女和她兒子趕出去,
[00:00:49.500 --> 00:00:56.500]  因爲使女的兒子不可以自主婦人的兒子一同承受產業。
[00:00:56.500 --> 00:01:03.500]  弟兄們,這樣看來,我們不是使女的兒女,乃是自主婦人的兒女了。
[00:01:03.500 --> 00:01:08.500]  好,我想在這一段聖經裏面我們稍微瞭解一下,
[00:01:08.500 --> 00:01:11.500]  保羅在前面裏面講什麼呢?
[00:01:11.500 --> 00:01:17.500]  他一直在強調的就是針對當時候一些猶太教的基督徒,
[00:01:17.500 --> 00:01:20.500]  或者是說他們其實還是猶太教,
[00:01:20.500 --> 00:01:27.500]  那麼他們把猶太教的觀念裏面,就是律法的觀念帶進到基督教裏面來。
[00:01:27.500 --> 00:01:32.500]  所以他們說,你們單單信耶穌不夠,你們還要怎麼樣呢?
[00:01:32.500 --> 00:01:37.500]  你們還要受割離,你們還要做這個做那個,
[00:01:37.500 --> 00:01:39.500]  你們要行律法上面的這些事情。
[00:01:39.500 --> 00:01:46.500]  所以保羅非常嚴厲的跟這些加勒賽蘇的弟兄們講說,
[00:01:46.500 --> 00:01:55.500]  不可以,因爲他們所傳的是別的福音,看到沒有?
[00:01:55.500 --> 00:01:59.500]  那就是唄,所以保羅一直在強調一件事情。
[00:01:59.500 --> 00:02:05.500]  我還記得我們曾經講過一篇信息,講到說我們是誰的兒女啊?
[00:02:05.500 --> 00:02:07.500]  神的兒女,對不對?
[00:02:07.500 --> 00:02:11.500]  那麼你怎麼樣子才能夠做神的兒女呢?
[00:02:11.500 --> 00:02:16.500]  保羅在這裏一開始就說,我們是憑着什麼做兒女?
[00:02:16.500 --> 00:02:18.500]  硬去做兒女。
[00:02:18.500 --> 00:02:20.500]  然後他接着就講了一個例子,
[00:02:20.500 --> 00:02:24.500]  他說如同以撒一樣,所以你要對舊約稍微有點概念。
[00:02:24.500 --> 00:02:29.500]  我們來看看,在這個地方講到兩種的兒女,
[00:02:29.500 --> 00:02:35.500]  第一種的就是所謂的按着血氣生的,有沒有?
[00:02:35.500 --> 00:02:37.500]  剛纔我們讀了那句話說,
[00:02:37.500 --> 00:02:40.500]  他說按着血氣生的,逼迫了按着聖靈生的,
[00:02:40.500 --> 00:02:43.500]  所以第一種叫做按着血氣生的,
[00:02:43.500 --> 00:02:48.500]  第二種就是叫做按着聖靈生的。
[00:02:48.500 --> 00:02:50.500]  那麼聖經裏面讓我們看見,
[00:02:50.500 --> 00:02:54.500]  這個按着血氣生的,逼迫了按着聖靈生的呢,
[00:02:54.500 --> 00:02:58.500]  就可以從聖經裏面我們可以看見,是不是?
[00:02:58.500 --> 00:03:01.500]  那按着血氣生的是誰?
[00:03:01.500 --> 00:03:10.500]  以史瑪利。按着聖靈生的是什麼?是以撒。
[00:03:10.500 --> 00:03:17.500]  以史瑪利逼迫以撒。
[00:03:17.500 --> 00:03:25.500]  直到今天,你會發現中東的問題都要推溯到這個聖經裏面來。
[00:03:25.500 --> 00:03:28.500]  當然這個問題我已經講過幾次,
[00:03:28.500 --> 00:03:31.500]  這個問題是很複雜的一個問題,
[00:03:31.500 --> 00:03:34.500]  可是不管你喜歡不喜歡,不管你瞭解不瞭解,
[00:03:34.500 --> 00:03:38.500]  你會發現整個的歷史裏面,
[00:03:38.500 --> 00:03:43.500]  猶太人跟中東阿拉伯人的歷史的恩恩怨怨,
[00:03:43.500 --> 00:03:46.500]  沒完沒了。
[00:03:46.500 --> 00:03:50.500]  這個恩恩怨怨會一直到什麼時候?
[00:03:50.500 --> 00:03:53.500]  到主耶穌基督再來的時候。
[00:03:53.500 --> 00:03:55.500]  如果你仔細去觀察,你去了解,
[00:03:55.500 --> 00:03:58.500]  你看起書裏面,看聖經裏面,
[00:03:58.500 --> 00:03:59.500]  你會更清楚的明白。
[00:03:59.500 --> 00:04:02.500]  這就是鼓勵同志們好好讀聖經。
[00:04:02.500 --> 00:04:05.500]  有時間我再跟大家繼續分享。
[00:04:05.500 --> 00:04:08.500]  那麼我們來看看,
[00:04:08.500 --> 00:04:11.500]  在這裏講到這兩個人呢,
[00:04:11.500 --> 00:04:13.500]  我們首先來看看,
[00:04:13.500 --> 00:04:16.500]  保羅在前面裏面我們已經講了很幾次,
[00:04:16.500 --> 00:04:20.500]  一個是以史瑪利,一個是以撒,對不對?
[00:04:20.500 --> 00:04:24.500]  以史瑪利是按着血氣生的。
[00:04:24.500 --> 00:04:26.500]  這個血氣就是說,
[00:04:26.500 --> 00:04:31.500]  他不是按照上帝的應許而生的,
[00:04:31.500 --> 00:04:33.500]  是按照人意而生的,
[00:04:33.500 --> 00:04:36.500]  按照天然而生的。
[00:04:36.500 --> 00:04:38.500]  那麼以撒呢,
[00:04:38.500 --> 00:04:42.500]  他是按照聖靈而生的,
[00:04:42.500 --> 00:04:44.500]  也就是按照神的應許生的。
[00:04:44.500 --> 00:04:46.500]  上帝跟亞伯拉罕說,
[00:04:46.500 --> 00:04:48.500]  你要生一個兒子,
[00:04:48.500 --> 00:04:50.500]  這個兒子要繼承你的產業,
[00:04:50.500 --> 00:04:54.500]  這個兒子是誰?
[00:04:54.500 --> 00:04:59.500]  但是亞伯拉罕連撒他也自己發現,
[00:04:59.500 --> 00:05:01.500]  自己已經過了生育年齡了,
