
[00:00:00.000 --> 00:00:07.000]  今天我們會繼續轉化生命的講道系列的第五課
[00:00:07.000 --> 00:00:11.000]  我們上星期講了轉化我們的思維
[00:00:11.000 --> 00:00:13.000]  我們的思維模式
[00:00:13.000 --> 00:00:15.000]  轉化了思維對我們很有幫助
[00:00:15.000 --> 00:00:17.000]  今天就講情緒
[00:00:17.000 --> 00:00:19.000]  上星期講了理性
[00:00:19.000 --> 00:00:21.000]  這星期我們講感性方面
[00:00:21.000 --> 00:00:26.000]  首先和大家講一講情緒管理的重要
[00:00:26.000 --> 00:00:29.000]  有幾個方面情緒管理很重要
[00:00:29.000 --> 00:00:32.000]  第一個是因為這是神的旨意
[00:00:32.000 --> 00:00:35.000]  神做我們每一個人都有情緒
[00:00:35.000 --> 00:00:38.000]  因為神本身是一位有情緒的神
[00:00:38.000 --> 00:00:40.000]  祂有情緒的
[00:00:40.000 --> 00:00:42.000]  神都會喜悅
[00:00:42.000 --> 00:00:44.000]  神會有愛的感覺
[00:00:44.000 --> 00:00:46.000]  神都會有憤怒
[00:00:46.000 --> 00:00:48.000]  祂本身有情緒
[00:00:48.000 --> 00:00:50.000]  所以神做人的時候
[00:00:50.000 --> 00:00:53.000]  我們照著祂的樣式去做
[00:00:53.000 --> 00:00:56.000]  所以神設計人的時候
[00:00:56.000 --> 00:00:59.000]  祂將情緒設計成人的一部分
[00:00:59.000 --> 00:01:02.000]  所以人不是只有思維我們有情緒
[00:01:02.000 --> 00:01:06.000]  在馬可福音的十二章二十九到三十節
[00:01:06.000 --> 00:01:08.000]  耶穌回答說
[00:01:08.000 --> 00:01:10.000]  第一
[00:01:10.000 --> 00:01:13.000]  整本聖經舊約最重要的是什麼呢
[00:01:13.000 --> 00:01:15.000]  律法當中最重要的
[00:01:15.000 --> 00:01:18.000]  就是說以色列你要聽主
[00:01:18.000 --> 00:01:21.000]  我們上帝是獨一的主
[00:01:21.000 --> 00:01:22.000]  下面那句
[00:01:22.000 --> 00:01:24.000]  你要盡心
[00:01:24.000 --> 00:01:27.000]  意思就是說你的情緒
[00:01:27.000 --> 00:01:29.000]  用你的心去感受
[00:01:29.000 --> 00:01:31.000]  盡心盡意
[00:01:31.000 --> 00:01:33.000]  盡意說的是你的mind
[00:01:33.000 --> 00:01:34.000]  就是你的理性
[00:01:34.000 --> 00:01:35.000]  兩邊都有說
[00:01:35.000 --> 00:01:37.000]  盡力當然是說你的行動
[00:01:37.000 --> 00:01:38.000]  去愛主
[00:01:38.000 --> 00:01:40.000]  你的上帝
[00:01:40.000 --> 00:01:42.000]  所以這裡說得很清楚
[00:01:42.000 --> 00:01:44.000]  因為神自己有情緒
[00:01:44.000 --> 00:01:47.000]  祂創造我們跟祂有愛的關係
[00:01:47.000 --> 00:01:50.000]  都是透過情緒去表達
[00:01:50.000 --> 00:01:52.000]  所以不只是愛神
[00:01:52.000 --> 00:01:54.000]  你可以用理性
[00:01:54.000 --> 00:01:55.000]  也可以用感性
[00:01:55.000 --> 00:01:56.000]  要盡心
[00:01:56.000 --> 00:01:58.000]  這個是非常重要的
[00:01:58.000 --> 00:02:01.000]  你的情緒因為是神造的
[00:02:01.000 --> 00:02:03.000]  所以祂是不會拿走的
[00:02:03.000 --> 00:02:06.000]  所以你的情緒是會跟著你一輩子的
[00:02:06.000 --> 00:02:08.000]  所以你不用知道有一天
[00:02:08.000 --> 00:02:10.000]  會不會你的情緒離我而去
[00:02:10.000 --> 00:02:12.000]  可不可以從此say bye bye呢
[00:02:12.000 --> 00:02:13.000]  不會的
[00:02:13.000 --> 00:02:15.000]  各樣的情緒是會跟著你一生
[00:02:15.000 --> 00:02:18.000]  因為情緒是跟著你一生的
[00:02:18.000 --> 00:02:24.000]  你唯一的功課就是要學會怎樣去管理
[00:02:24.000 --> 00:02:26.000]  神給我的這份禮物
[00:02:26.000 --> 00:02:28.000]  因為情緒就好像政治一樣
[00:02:28.000 --> 00:02:30.000]  有些人說政治黑暗
[00:02:30.000 --> 00:02:31.000]  我不管政治
[00:02:31.000 --> 00:02:32.000]  你不管政治
[00:02:32.000 --> 00:02:33.000]  政治會管你的
[00:02:33.000 --> 00:02:34.000]  情緒也是一樣
[00:02:34.000 --> 00:02:37.000]  either你管理你的情緒
[00:02:37.000 --> 00:02:39.000]  要不是你的情緒就管理你
[00:02:39.000 --> 00:02:42.000]  要不是你成為你的情緒的主人
[00:02:42.000 --> 00:02:44.000]  要不是情緒成為你的主人
[00:02:44.000 --> 00:02:46.000]  你成為情緒的奴隸
[00:02:46.000 --> 00:02:48.000]  就是情緒帶著我走
[00:02:48.000 --> 00:02:50.000]  今天我的feeling說去哪裡
[00:02:50.000 --> 00:02:52.000]  我就跟著去哪裡
[00:02:52.000 --> 00:02:53.000]  今天我一起床
[00:02:53.000 --> 00:02:54.000]  我的feeling告訴我
[00:02:54.000 --> 00:02:55.000]  今天憤怒
[00:02:55.000 --> 00:02:56.000]  今天做些憤怒的事
[00:02:56.000 --> 00:02:57.000]  你就好好做
[00:02:57.000 --> 00:02:58.000]  主人對你對
[00:02:58.000 --> 00:02:59.000]  做憤怒的事
[00:02:59.000 --> 00:03:00.000]  跟著它走
[00:03:00.000 --> 00:03:02.000]  所以如果你不管理它
[00:03:02.000 --> 00:03:04.000]  它就管理你
[00:03:04.000 --> 00:03:06.000]  而且情緒這個主人
[00:03:06.000 --> 00:03:08.000]  如果它成為你的主人
[00:03:08.000 --> 00:03:10.000]  它足夠摧毀你一生
[00:03:10.000 --> 00:03:12.000]  而且這一生它不會離開你的
[00:03:12.000 --> 00:03:14.000]  所以這個就很重要
[00:03:14.000 --> 00:03:19.000]  有兩個極端需要避免
[00:03:19.000 --> 00:03:21.000]  當然第一個是emotionalism
[00:03:21.000 --> 00:03:23.000]  emotionalism的意思是
[00:03:23.000 --> 00:03:24.000]  有些人會覺得
[00:03:24.000 --> 00:03:27.000]  emotion is all that matters
[00:03:27.000 --> 00:03:32.000]  這一生我不管客觀上這件事
[00:03:32.000 --> 00:03:34.000]  錯還是對還是錯
[00:03:34.000 --> 00:03:37.000]  最重要是我感覺對就是對
[00:03:37.000 --> 00:03:39.000]  我感覺錯就是錯
[00:03:39.000 --> 00:03:40.000]  我每一天起床
[00:03:40.000 --> 00:03:43.000]  就跟著我的感覺走
[00:03:43.000 --> 00:03:45.000]  所以這個就叫emotionalism
[00:03:45.000 --> 00:03:46.000]  有些人相信
