
[00:00:00.000 --> 00:00:03.460]  我們當然知道故事之下還有其他東西
[00:00:03.460 --> 00:00:07.040]  路德說:我主啊,願我在你眼前隆恩
[00:00:07.040 --> 00:00:09.300]  我雖然不及你的一個婢女
[00:00:09.300 --> 00:00:13.300]  你還安慰我,對我說婢女說關心的話
[00:00:13.300 --> 00:00:16.800]  吃飯的時候,這個老闆真好
[00:00:16.800 --> 00:00:21.800]  波亞斯對路德說:你到這裡來吃奢餅
[00:00:21.800 --> 00:00:23.560]  把你的一塊
[00:00:23.560 --> 00:00:26.200]  什麼?粉啊?粉
[00:00:26.200 --> 00:00:28.740]  粘在醋裡
[00:00:28.740 --> 00:00:33.600]  路德就在修葛的人旁邊坐下
[00:00:33.600 --> 00:00:35.740]  波亞斯把控了的
[00:00:35.740 --> 00:00:37.900]  誰子遞給他
[00:00:37.900 --> 00:00:40.140]  他吃飽了,還有剩餘的
[00:00:40.140 --> 00:00:41.640]  這裡有幾樣東西
[00:00:41.640 --> 00:00:44.500]  有人說他為什麼
[00:00:44.500 --> 00:00:46.000]  教他做這件事
[00:00:46.000 --> 00:00:48.000]  可能他是外地人,不懂得吃
[00:00:48.000 --> 00:00:50.500]  不知道我們這裡怎麼吃東西
[00:00:50.500 --> 00:00:51.800]  如果他拍一部電影
[00:00:51.800 --> 00:00:54.300]  你可以覺得他故意裝模作樣
[00:00:54.300 --> 00:00:57.000]  跟他有一些互動
[00:00:57.000 --> 00:00:58.400]  你明白嗎?
[00:00:58.400 --> 00:00:59.400]  但其實
[00:00:59.400 --> 00:01:01.400]  這是說到
[00:01:01.400 --> 00:01:03.400]  你要記得他其實是說到
[00:01:03.400 --> 00:01:06.600]  大衛會怎麼照顧他的子民的問題
[00:01:06.600 --> 00:01:07.400]  你明白嗎?
[00:01:07.400 --> 00:01:08.900]  他不是跟你說
[00:01:08.900 --> 00:01:09.600]  Romance
[00:01:09.600 --> 00:01:11.400]  他不是跟你說男女相愛
[00:01:11.400 --> 00:01:13.100]  他說這個人
[00:01:13.100 --> 00:01:15.400]  是認識耶和華在律法裡面
[00:01:15.400 --> 00:01:17.900]  他怎麼會照顧這些貧困
[00:01:17.900 --> 00:01:19.800]  這些低微的人
[00:01:19.800 --> 00:01:20.600]  OK?
[00:01:20.600 --> 00:01:22.400]  但這件事厲害了
[00:01:22.400 --> 00:01:24.200]  如果你想做
[00:01:24.200 --> 00:01:26.400]  問你想不想做大衛做皇帝
[00:01:26.400 --> 00:01:27.700]  如果大衛做皇帝
[00:01:27.700 --> 00:01:29.700]  你認識之後還有
[00:01:29.700 --> 00:01:30.700]  有情
[00:01:30.700 --> 00:01:31.700]  很重要的
[00:01:31.700 --> 00:01:34.700]  我想大家都知道
[00:01:34.700 --> 00:01:36.700]  詩篇二十三篇
[00:01:36.700 --> 00:01:38.700]  不知道什麼overflow
[00:01:38.700 --> 00:01:40.700]  就是
[00:01:40.700 --> 00:01:43.700]  不知道中文是什麼
[00:01:43.700 --> 00:01:45.700]  福杯
[00:01:45.700 --> 00:01:46.700]  福杯是什麼?
[00:01:46.700 --> 00:01:47.700]  滿日
[00:01:47.700 --> 00:01:49.700]  滿日就是滿社
[00:01:49.700 --> 00:01:50.700]  不是滿日這麼簡單
[00:01:50.700 --> 00:01:52.200]  是滿社
[00:01:52.200 --> 00:01:53.200]  所以
[00:01:53.200 --> 00:01:54.700]  一說到耶和華恩典
[00:01:54.700 --> 00:01:55.700]  是滿社的
[00:01:55.700 --> 00:01:58.700]  所以這個人吃完又吃又拿
[00:01:58.700 --> 00:01:59.700]  哇!代表
[00:01:59.700 --> 00:02:01.700]  耶和華真的與他們同在了
[00:02:01.700 --> 00:02:04.700]  而這個就是為什麼你要選擇大衛
[00:02:04.700 --> 00:02:05.700]  你講得很實際
[00:02:05.700 --> 00:02:07.700]  好像從頭到尾都是很political
[00:02:07.700 --> 00:02:09.700]  就是說到講政治
[00:02:09.700 --> 00:02:10.700]  是嗎?
[00:02:10.700 --> 00:02:11.700]  但這是第一個層面
[00:02:11.700 --> 00:02:13.700]  到最後我幫你應用的時候
[00:02:13.700 --> 00:02:14.700]  大概你要看到
[00:02:14.700 --> 00:02:16.700]  究竟我會怎麼應用
[00:02:16.700 --> 00:02:17.700]  OK?
[00:02:17.700 --> 00:02:19.700]  二章十五節
[00:02:19.700 --> 00:02:22.700]  他又起來十取墨遂
[00:02:22.700 --> 00:02:25.700]  波亞斯吩咐僕人說
[00:02:25.700 --> 00:02:31.700]  他即使在和群中十取墨遂
[00:02:31.700 --> 00:02:33.700]  也不可羞辱他
[00:02:33.700 --> 00:02:39.700]  你們還要從群裡抽一些出來
