
[00:00:00.000 --> 00:00:10.000]  今日講的題目,從題目裏面大家知道我會講及有關耶穌降生,即是聖誕的背景
[00:00:10.000 --> 00:00:16.000]  從題目裏面大家可以看到我的分享是和耶穌降生和聖誕有關的
[00:00:16.000 --> 00:00:23.000]  聖誕節已經過了五個星期,不是很久
[00:00:23.000 --> 00:00:26.000]  聖誕節已經過了五個星期,不是很久
[00:00:26.000 --> 00:00:32.000]  大家有沒有想過真的要去尋找馬槽和聖嬰呢?
[00:00:32.000 --> 00:00:36.000]  但是大家有沒有想過要去尋找馬槽和聖嬰呢?
[00:00:36.000 --> 00:00:39.000]  如果你真的想去找的時候,你去哪裏找呢?
[00:00:39.000 --> 00:00:41.000]  如果你真的想要找,你要去哪裏找呢?
[00:00:41.000 --> 00:00:48.000]  當然我是指在屬靈的層面上和生活應用方面來說
[00:00:48.000 --> 00:00:51.000]  當然我只是從屬靈和生活應用方面來講
[00:00:51.000 --> 00:00:56.000]  今日我們要去哪裏才可以找到馬槽和聖嬰呢?
[00:00:56.000 --> 00:01:00.000]  我們今天要去哪裏才能找到馬槽和聖嬰呢?
[00:01:00.000 --> 00:01:04.000]  今日的馬槽和聖嬰其實就在我們生活的周圍
[00:01:04.000 --> 00:01:08.000]  其實現在的馬槽和聖嬰就在我們生活的周圍
[00:01:08.000 --> 00:01:13.000]  特別是在那些容易被人忽視,被人厭惡的地方
[00:01:13.000 --> 00:01:17.000]  特別是在容易被人忽視和被人厭惡的地方
[00:01:17.000 --> 00:01:23.000]  亦都會在那些需要人照顧和援助的群體裏面
[00:01:23.000 --> 00:01:27.000]  亦都會在那些需要人照顧和援助的群體裏面
[00:01:27.000 --> 00:01:31.000]  盼望透過今日我要講的經文和信息
[00:01:31.000 --> 00:01:34.000]  能夠挑旺大家的熱心
[00:01:34.000 --> 00:01:39.000]  盼望透過今天的經文和信息能夠挑旺大家的熱心
[00:01:39.000 --> 00:01:43.000]  挑旺大家的熱心去輔助有需要的人
[00:01:43.000 --> 00:01:45.000]  以及要向他們傳福音
[00:01:45.000 --> 00:01:50.000]  以及要向他們傳福音
[00:01:50.000 --> 00:01:56.000]  在三個月前,我去了中美洲的貝里斯做短宣
[00:01:56.000 --> 00:01:59.000]  在三個月前,我去了中美洲的貝里斯做短宣
[00:01:59.000 --> 00:02:04.000]  短宣的意思是做短期宣教的工作
[00:02:04.000 --> 00:02:07.000]  短宣的意思是做短期宣教的工作
[00:02:07.000 --> 00:02:12.000]  在這次的短宣旅程裏,神讓我大開眼界
[00:02:12.000 --> 00:02:16.000]  在這次的短宣旅程裏,神讓我大開眼界
[00:02:16.000 --> 00:02:19.000]  看到神在當地的工作
[00:02:19.000 --> 00:02:22.000]  看到神在當地的一些工作
[00:02:22.000 --> 00:02:25.000]  也都看到當地人對福音的需要
[00:02:25.000 --> 00:02:29.000]  也讓我看到當地人對福音的一些需要
[00:02:29.000 --> 00:02:35.000]  也都看到福音能夠改變那裏的人的生命和生活
[00:02:35.000 --> 00:02:39.000]  也看到福音能夠改變那裏的人的生命和生活
[00:02:39.000 --> 00:02:43.000]  神也都讓我看到我自己將來可以在那方面
[00:02:43.000 --> 00:02:47.000]  在宣教事工方面可以做些什麼
[00:02:47.000 --> 00:02:50.000]  神也讓我看到將來我在這一方面
[00:02:50.000 --> 00:02:54.000]  宣教方面可以做些什麼事情
[00:02:54.000 --> 00:02:57.000]  主若願意在明年的一月
[00:02:57.000 --> 00:03:01.000]  我就可以轉為全職的宣教士
[00:03:01.000 --> 00:03:03.000]  堂而主願意到明年的一月
[00:03:03.000 --> 00:03:06.000]  我就可以轉成為全職的宣教士
[00:03:06.000 --> 00:03:09.000]  也都盼望透過今天的訊息和經文
[00:03:09.000 --> 00:03:13.000]  我和大家分享我這一次的短宣旅程的經歷
[00:03:13.000 --> 00:03:18.000]  也都盼望透過今天的經文的分享和信息的分享
[00:03:18.000 --> 00:03:23.000]  以及自己轉宣的經歷可以幫助大家
[00:03:23.000 --> 00:03:28.000]  希望也都藉此能夠挑起大家對宣教
[00:03:28.000 --> 00:03:31.000]  對全福音的熱心
[00:03:31.000 --> 00:03:34.000]  也希望可以挑起大家對宣教的熱心
[00:03:34.000 --> 00:03:36.000]  對全福音和宣教的熱心
[00:03:36.000 --> 00:03:40.000]  我們先去看今天的經文
[00:03:40.000 --> 00:03:42.000]  路加福音二章十節
