
[00:00:00.000 --> 00:00:05.360]  今天我們所讀的經文是詩篇第83篇
[00:00:05.360 --> 00:00:10.640]  這個詩篇的作者是阿薩
[00:00:10.640 --> 00:00:12.820]  不是我們所熟悉的大衛
[00:00:12.820 --> 00:00:18.160]  阿薩你可以說是當時聖殿敬拜的一個領袖
[00:00:18.160 --> 00:00:21.840]  司班長這樣的位置
[00:00:21.840 --> 00:00:25.740]  我們要看這個詩篇第83篇
[00:00:25.740 --> 00:00:31.480]  這篇不是一篇你很常聽到目者會講道的經文
[00:00:31.480 --> 00:00:35.340]  並不是因為作者阿薩不夠大衛那麼出名
[00:00:35.340 --> 00:00:36.680]  而是因為這個詩篇
[00:00:36.680 --> 00:00:39.100]  如果大家有留意剛才所讀的經文
[00:00:39.100 --> 00:00:44.240]  裏面有些用詞都挺情詞迫切
[00:00:44.240 --> 00:00:46.600]  甚至令人不安
[00:00:46.600 --> 00:00:54.320]  因為裏面講到用一些比較暴力的語言
[00:00:54.320 --> 00:00:57.740]  來表達私人的情緒
[00:00:57.740 --> 00:01:02.640]  而且你會發覺這篇詩篇所講的
[00:01:02.640 --> 00:01:06.280]  似乎是當時以色列人面對一個很緊迫
[00:01:06.280 --> 00:01:08.740]  凶險的一個處境
[00:01:08.740 --> 00:01:12.880]  你說這麼多年之前
[00:01:12.880 --> 00:01:14.580]  以色列人所面對的一個處境
[00:01:14.580 --> 00:01:17.800]  跟我們今天做基督徒有甚麼關係呢
[00:01:17.800 --> 00:01:19.060]  也許是這樣的原因
[00:01:19.060 --> 00:01:21.580]  所以你會發覺不是很多目者
[00:01:21.580 --> 00:01:25.020]  來講這一篇的經文
[00:01:25.020 --> 00:01:26.740]  但是我們會發覺
[00:01:26.740 --> 00:01:31.420]  很多人都說其實舊約裏面所發生的事情
[00:01:31.420 --> 00:01:34.940]  或多或少直接與間接
[00:01:34.940 --> 00:01:36.640]  其實所發生的事情
[00:01:36.640 --> 00:01:39.300]  都是指向新約的耶穌基督
[00:01:39.300 --> 00:01:42.340]  如果我們戴上新約的眼鏡
