
[00:00:00.000 --> 00:00:02.000]  各位領事會 早晨
[00:00:02.000 --> 00:00:08.740]  好 上個星期譚文君牧師就跟我們分享了
[00:00:08.740 --> 00:00:12.460]  提摩太后書的前半部分
[00:00:12.460 --> 00:00:15.100]  講到末世的寫照
[00:00:15.100 --> 00:00:16.400]  我用了一幅這樣的圖
[00:00:16.400 --> 00:00:19.940]  提到人性很多的敗壞
[00:00:19.940 --> 00:00:23.380]  反映了人都很注重愛
[00:00:23.380 --> 00:00:24.540]  很著重愛
[00:00:24.540 --> 00:00:26.340]  不過是愛自己
[00:00:26.340 --> 00:00:29.220]  愛自己過於一切
[00:00:29.220 --> 00:00:30.820]  想做就去做
[00:00:30.820 --> 00:00:32.540]  話之你感受
[00:00:32.540 --> 00:00:39.140]  所以這個社會正正就是充斥著很多謬誤歪理
[00:00:39.140 --> 00:00:40.780]  人性的扭曲
[00:00:40.780 --> 00:00:44.660]  一些視你顛倒的現象
[00:00:44.660 --> 00:00:48.540]  一邊說的時候我不知道你腦海裡有什麼
[00:00:48.540 --> 00:00:51.420]  即刻聯想到誰是誰
[00:00:51.420 --> 00:00:56.180]  我還記得上個星期我立即想起我讀神學的時候
[00:00:56.180 --> 00:00:59.380]  大家可能過來一段時間都沒有這個習慣
[00:00:59.380 --> 00:01:01.860]  追巴士 追小巴
[00:01:01.860 --> 00:01:03.100]  你已經不會了
[00:01:03.100 --> 00:01:06.780]  不過在香港這是必然會做的一件事情
[00:01:06.780 --> 00:01:08.980]  我還記得那時候我住西環
[00:01:08.980 --> 00:01:10.900]  回西貢的神學院
[00:01:10.900 --> 00:01:14.380]  所以又要搭小巴 轉火車再轉專線小巴
[00:01:14.380 --> 00:01:16.260]  才回到神學院
[00:01:16.260 --> 00:01:20.300]  我還記得那時候剛剛塞火車
[00:01:20.300 --> 00:01:22.820]  原來地鐵火車都會塞車
[00:01:22.820 --> 00:01:28.380]  當完成的時候看到一輛專線小巴開著門
[00:01:28.380 --> 00:01:31.660]  當然9秒9 雖然跑不到
[00:01:31.660 --> 00:01:33.620]  就跑過去
[00:01:33.620 --> 00:01:35.940]  明明那輛車還有位置
[00:01:35.940 --> 00:01:37.940]  我都在那裡入手
[00:01:37.940 --> 00:01:39.860]  司機等著等著
[00:01:39.860 --> 00:01:41.740]  以為上到車
[00:01:41.740 --> 00:01:45.860]  誰知道走到車尾的時候司機開車
[00:01:45.860 --> 00:01:48.940]  不斷拍車廂
[00:01:48.940 --> 00:01:51.140]  眼尾都不愁
[00:01:51.140 --> 00:01:54.540]  那輛車要繞一圈
[00:01:54.540 --> 00:01:57.060]  我還很記得那個過程
[00:01:57.060 --> 00:01:59.340]  司機在那個時候
[00:01:59.340 --> 00:02:04.900]  對我一笑一笑微笑
[00:02:04.900 --> 00:02:11.300]  我不知道是否受了很大的壓力
[00:02:11.300 --> 00:02:13.460]  在他心裡 啊 終於
[00:02:13.460 --> 00:02:15.340]  今天真是糟糕了
