
[00:00:00.000 --> 00:00:05.000]  OK,我相信做事工,做任何事,我們都需要有信心,是嗎?
[00:00:05.000 --> 00:00:09.000]  我們今天去講到我們的信心足不足夠呢?
[00:00:09.000 --> 00:00:12.000]  我們小小重溫,我們其實這次是最後一次了
[00:00:12.000 --> 00:00:15.000]  我們問足不足夠,我們一直問足不足夠
[00:00:15.000 --> 00:00:18.000]  看回我們那個bulletin的封面
[00:00:18.000 --> 00:00:23.000]  封面一開始我們就問我們夠不夠善良呢?
[00:00:23.000 --> 00:00:26.000]  夠不夠?夠不夠善良?
[00:00:26.000 --> 00:00:28.000]  不夠了,是嗎?
[00:00:28.000 --> 00:00:31.000]  我擁有足夠嗎?
[00:00:31.000 --> 00:00:34.000]  夠,有些夠有些不夠,很特別
[00:00:34.000 --> 00:00:38.000]  第三個,有基督已經足夠嗎?
[00:00:38.000 --> 00:00:41.000]  這些全部標準答案,夠,OK
[00:00:41.000 --> 00:00:43.000]  我夠不夠屬靈呢?
[00:00:43.000 --> 00:00:47.000]  不夠,即是這些很標準答案,但很明白,即是怎樣回答
[00:00:47.000 --> 00:00:50.000]  最後一個問題,我信心夠不夠?
[00:00:50.000 --> 00:00:53.000]  不夠,有人說不夠,OK,怎樣都好
[00:00:53.000 --> 00:00:56.000]  有很多人其實是缺乏信心的,也許你是其中一個
[00:00:56.000 --> 00:00:59.000]  這個不稀奇的,因為我們人很渺小,很脆弱,是嗎?
[00:00:59.000 --> 00:01:02.000]  但如果我們真的沒有一個基本的信心
[00:01:02.000 --> 00:01:07.000]  我們基本上可能是不能夠過一個正常的生活
[00:01:07.000 --> 00:01:09.000]  什麼意思呢?
[00:01:09.000 --> 00:01:12.000]  有一個姐妹,她很久沒來教會了
[00:01:12.000 --> 00:01:15.000]  我見到她的時候,很久沒見你了,為什麼你不來?
[00:01:15.000 --> 00:01:17.000]  她說,我沒有信心
[00:01:17.000 --> 00:01:20.000]  我說,不是吧?你對神沒有信心?為什麼?
[00:01:20.000 --> 00:01:24.000]  她說,不是,她說我開車沒有信心
[00:01:24.000 --> 00:01:28.000]  她說,不是自己開車沒有信心,是對其他人開車沒有信心
[00:01:28.000 --> 00:01:34.000]  她說,她上到公路,曾經試過有些人在旁邊風馳電擊,叫做飆車
[00:01:34.000 --> 00:01:37.000]  左穿右插,很緊張
[00:01:37.000 --> 00:01:42.000]  她說,她不太敢開車上公路,整天不來教會,要找人載她
[00:01:42.000 --> 00:01:47.000]  當然,你問那些大學生,或者剛剛拿車牌的人,會不會很害怕?
[00:01:47.000 --> 00:01:52.000]  她說,我不會,我跟他們一起賽跑,一起繼續賽車
[00:01:52.000 --> 00:01:57.000]  如果你不能夠有足夠信心,不但不能開車
[00:01:57.000 --> 00:02:00.000]  可能你連出去餐館吃東西都不敢
[00:02:00.000 --> 00:02:02.000]  不敢出去餐廳吃東西,為什麼?
[00:02:02.000 --> 00:02:05.000]  因為你不知道他怎樣煮,你不知道他用什麼材料給你
[00:02:05.000 --> 00:02:10.000]  就有一個廚師說,他連自己煮的他都不敢吃
[00:02:10.000 --> 00:02:13.000]  為什麼?因為全部都是MSG
[00:02:13.000 --> 00:02:17.000]  他的上司叫他一勺一匙一匙地舀下去
[00:02:17.000 --> 00:02:19.000]  他說,會吃死人的
[00:02:19.000 --> 00:02:22.000]  最後他慨嘆一句
[00:02:22.000 --> 00:02:28.000]  我們舌尖上的中國人,天天都在進行化學實驗
[00:02:28.000 --> 00:02:33.000]  我們的身體,有防腐劑,有麥劑,有MSG等等
[00:02:33.000 --> 00:02:38.000]  所以很多人很挑剔,挑飲挑食
[00:02:38.000 --> 00:02:44.000]  以前我們挑飲挑食,就是專吃肥差,專吃不健康的東西
[00:02:44.000 --> 00:02:52.000]  專挑健康的東西,很有機的,現在全部都是有機男女
[00:02:52.000 --> 00:02:57.000]  有一次請吃飯的時候,很尷尬,有個朋友請吃飯
[00:02:57.000 --> 00:03:01.000]  他請吃飯的時候,想著要點菜
[00:03:01.000 --> 00:03:03.000]  點菜的時候,點了大家喜歡吃什麼
[00:03:03.000 --> 00:03:10.000]  其中一個朋友就說,嘩,這個東西,致癌
[00:03:10.000 --> 00:03:13.000]  嘩,這個這麼鹹,致癌
[00:03:13.000 --> 00:03:18.000]  嘩,這個這樣煮,很油炸,致癌
[00:03:18.000 --> 00:03:21.000]  還沒點菜的時候,他就說致癌,致癌,致癌
[00:03:21.000 --> 00:03:23.000]  請吃飯的時候,他很尷尬
[00:03:23.000 --> 00:03:25.000]  那你可以吃些什麼?
[00:03:25.000 --> 00:03:30.000]  他看著看著,不用了,你們吃吧,不用理我
[00:03:30.000 --> 00:03:33.000]  嘩,那個人很尷尬
[00:03:33.000 --> 00:03:39.000]  當他請吃飯,想點一道菜的時候,就好像害了一條人命
[00:03:39.000 --> 00:03:43.000]  拿著菜單,還不是菜單,是十幾條人命
[00:03:43.000 --> 00:03:45.000]  很緊張
[00:03:45.000 --> 00:03:48.000]  最後那個人有沒有吃呢?你猜到嗎?
[00:03:48.000 --> 00:03:54.000]  有人勸他,他說,如果你吃完這一餐,真的不幸地有癌症
