
[00:00:00.000 --> 00:00:01.720]  各位主內大兄姊妹早晨
[00:00:01.720 --> 00:00:05.680]  今年的教會有個新主題
[00:00:05.680 --> 00:00:07.480]  剛才大家都看到
[00:00:07.480 --> 00:00:10.160]  個個的報告
[00:00:10.160 --> 00:00:14.040]  同工都設計了一個很漂亮的海報
[00:00:14.040 --> 00:00:17.600]  一會兒都可以在門口
[00:00:17.600 --> 00:00:19.640]  或者將會有通出來
[00:00:19.640 --> 00:00:22.360]  我們第一季就會以基督為中心
[00:00:22.360 --> 00:00:25.320]  做一個教會的主題
[00:00:25.320 --> 00:00:27.480]  我們期望我們今年
[00:00:27.480 --> 00:00:29.160]  能夠有以基督為中心
[00:00:29.160 --> 00:00:30.440]  跟著彼此連接
[00:00:30.440 --> 00:00:34.560]  跟著將衛生在教會的意象方面
[00:00:34.560 --> 00:00:35.840]  去齊心努力
[00:00:35.840 --> 00:00:39.080]  我們在接下來這個星期一
[00:00:39.080 --> 00:00:40.320]  其實很多地方
[00:00:40.320 --> 00:00:41.640]  很多有些同事
[00:00:41.640 --> 00:00:44.520]  或者是學校的學生都放假
[00:00:44.520 --> 00:00:48.120]  如果你看到這個時候
[00:00:48.120 --> 00:00:50.120]  都會想起原來
[00:00:50.120 --> 00:00:51.600]  我們放假是什麼原因
[00:00:51.600 --> 00:00:55.920]  紀念馬丁路德金的紀念日
[00:00:55.920 --> 00:00:57.920]  其實我們中國人
[00:00:57.920 --> 00:01:03.680]  以前在大約1869年的時候
[00:01:03.680 --> 00:01:06.480]  都開始了有個
[00:01:06.480 --> 00:01:11.160]  所謂追求我們的美國夢的階段
[00:01:11.160 --> 00:01:15.440]  在1869年的時候
[00:01:15.440 --> 00:01:17.440]  當時的林肯總統
[00:01:17.440 --> 00:01:20.440]  他就希望我們國家能夠
[00:01:20.440 --> 00:01:24.000]  將這個東西案能夠連接起來
[00:01:24.000 --> 00:01:26.080]  藉著鐵路連接起來
[00:01:26.080 --> 00:01:31.280]  所以他在東西鐵路
[00:01:31.280 --> 00:01:34.080]  在加州的Sacramento
[00:01:34.080 --> 00:01:40.360]  以及西岸中間的中部地區
[00:01:40.360 --> 00:01:45.480]  有70英里的地方
[00:01:45.480 --> 00:01:47.760]  60英里的地方
[00:01:47.760 --> 00:01:50.640]  將兩邊東西鐵路能夠連接起來
[00:01:50.640 --> 00:01:54.880]  這個是當時他們所提到的計劃
[00:01:54.880 --> 00:01:56.960]  所以他在1862年
[00:01:56.960 --> 00:02:00.960]  在美國內戰的期間
[00:02:00.960 --> 00:02:03.280]  簽署一個法案
[00:02:03.280 --> 00:02:05.640]  叫做Pacific Railway Act
[00:02:05.640 --> 00:02:08.000]  這個法案就動員
[00:02:08.000 --> 00:02:11.000]  將兩邊的鐵路連接
[00:02:11.000 --> 00:02:13.520]  但是開始招募人員的時候
[00:02:13.520 --> 00:02:15.360]  沒有什麼人參加
[00:02:15.360 --> 00:02:18.320]  結果在加州的地方
[00:02:18.320 --> 00:02:19.880]  就找了一班中國人
[00:02:19.880 --> 00:02:21.400]  50個人的隊伍
[00:02:21.400 --> 00:02:25.200]  就開始做這件工作
[00:02:25.200 --> 00:02:26.680]  他們做得非常好
[00:02:26.680 --> 00:02:29.800]  結果就說不如再請多些人
[00:02:29.800 --> 00:02:34.800]  報告請人去到廣東省
[00:02:34.800 --> 00:02:36.480]  請更多的人過來
[00:02:36.480 --> 00:02:40.800]  結果最後就一萬二千個中國的工人
[00:02:40.800 --> 00:02:43.240]  同時建立了這條鐵路
[00:02:43.240 --> 00:02:45.120]  這個鐵路就是由
[00:02:45.120 --> 00:02:48.320]  看到這個城市是Terrace Yuta的地方
