
[00:00:00.000 --> 00:00:03.000]  弟姐妹平安 晚安
[00:00:03.000 --> 00:00:06.800]  很高興今晚我們可以成為群體
[00:00:06.800 --> 00:00:09.960]  回來一起去敬拜我們的主
[00:00:09.960 --> 00:00:14.120]  求主也幫助我們今晚可以一起去學習
[00:00:14.120 --> 00:00:16.360]  我們也一起先去禱告
[00:00:16.360 --> 00:00:22.040]  創天造地的阿伯父
[00:00:22.040 --> 00:00:26.120]  感謝主祢今晚仍然讓我們可以一起
[00:00:26.120 --> 00:00:28.680]  敬拜、服侍祢的時間
[00:00:28.680 --> 00:00:32.840]  求主祢不僅給我們一個清醒的頭腦
[00:00:32.840 --> 00:00:36.520]  也求主祢的靈打開我們的心
[00:00:36.520 --> 00:00:40.640]  讓祢的道能夠扎根在我們的生命當中
[00:00:40.640 --> 00:00:44.440]  讓我們行事為人都對得起主祢
[00:00:44.440 --> 00:00:48.360]  也幫助我們在日常生活之中
[00:00:48.360 --> 00:00:52.280]  實踐我們所相信的價值和信念
[00:00:52.280 --> 00:00:55.640]  求主保守 奉主名求 阿們
[00:00:58.800 --> 00:01:02.040]  從我小時候開始信主
[00:01:02.040 --> 00:01:03.720]  就是中學的時間
[00:01:03.720 --> 00:01:07.160]  很多人都教我一件事
[00:01:07.160 --> 00:01:11.720]  就是信徒信仰成長的一個指標
[00:01:11.720 --> 00:01:16.120]  就是你對神的信心有多少
[00:01:16.120 --> 00:01:19.200]  彷彿一種的說法就是
[00:01:19.200 --> 00:01:23.640]  如果你對神的信心越高越大
[00:01:23.640 --> 00:01:27.680]  你的生命就越成熟
[00:01:27.680 --> 00:01:31.200]  所以每當我們談到信心的時候
[00:01:31.200 --> 00:01:34.080]  阿伯拉罕或者今日經文所說
[00:01:34.080 --> 00:01:36.440]  那個未改名的阿伯蘭
[00:01:36.440 --> 00:01:40.240]  就成為了一個指標
[00:01:40.240 --> 00:01:43.200]  就是我們要學習的對象
[00:01:43.200 --> 00:01:46.680]  而他也可以說是在以色列人當中
[00:01:46.680 --> 00:01:49.520]  其中一個最偉大的人物
[00:01:49.520 --> 00:01:55.280]  他對上帝的信心可以說是他的金漆招牌
[00:01:55.280 --> 00:02:00.400]  在我們一直想起阿伯拉罕的時候
[00:02:00.400 --> 00:02:05.800]  我不知道大家通常會想起什麼事件
[00:02:05.800 --> 00:02:09.200]  我就一直中學到現在
[00:02:09.200 --> 00:02:11.840]  經常都聽他們兩個的事件
[00:02:11.840 --> 00:02:15.400]  就是講到他離開哈蘭
[00:02:15.400 --> 00:02:18.560]  他離開的本地本族附加
[00:02:18.560 --> 00:02:22.240]  往上帝所要他 指示他去的地方
[00:02:22.240 --> 00:02:26.280]  另外一件事就是講到他獻以撒
[00:02:26.280 --> 00:02:29.360]  就是獻他的兒子的一件事情
[00:02:29.360 --> 00:02:32.720]  正如新約希伯來書的作者
[00:02:32.720 --> 00:02:36.080]  在講到一系列信心偉人的時間
[00:02:36.080 --> 00:02:41.000]  就在第十一章八和第十七節這樣去講
[00:02:41.000 --> 00:02:42.240]  第八節這樣講
[00:02:42.240 --> 00:02:46.200]  「因著信 阿伯拉罕蒙照的時間
[00:02:46.200 --> 00:02:48.080]  就遵命出去
