
[00:00:00.000 --> 00:00:05.220]  今天我們一起看羅馬書第十章
[00:00:05.220 --> 00:00:11.700]  大家對保羅的行事為人有什麼認識呢?
[00:00:11.700 --> 00:00:16.980]  他是否也是一個很執著的人呢?
[00:00:16.980 --> 00:00:20.640]  我們看第一至第三節請梅特讀出
[00:00:20.640 --> 00:00:25.040]  我們一同看聖經羅馬書十章一到三節
[00:00:25.040 --> 00:00:30.680]  弟兄們,我心裏所願的,向神所求的,是要以撕裂人得救
[00:00:30.680 --> 00:00:35.280]  我可以證明他們向神有熱心,但不是按照真知識
[00:00:35.280 --> 00:00:40.040]  因為不知道神的意,想要立自己的意,就不顧神的意了
[00:00:40.040 --> 00:00:46.240]  保羅好像許多當時的猶太人一樣
[00:00:46.240 --> 00:00:52.600]  很虔誠,對宗教事務很熱心
[00:00:52.600 --> 00:00:56.720]  在史徒行傳第九章中
[00:00:56.720 --> 00:01:04.600]  我們可以看到他向大祭司拿文書
[00:01:04.600 --> 00:01:10.200]  合法地去追捕基督徒
[00:01:10.200 --> 00:01:14.400]  要將他們害死,要把他們迫害致死
[00:01:14.400 --> 00:01:24.560]  直到他在大馬錫的路上,也就是大馬士革的路上
[00:01:24.560 --> 00:01:27.160]  被神光照
[00:01:27.160 --> 00:01:31.880]  主耶穌在大光中向他講說話
[00:01:31.880 --> 00:01:37.640]  從此他整個人生就改變了
[00:01:37.640 --> 00:01:42.920]  他成為了主所揀選的史徒
[00:01:42.920 --> 00:01:48.760]  到外邦人那裏,就是非猶太人那裏,為主耶穌基督作見證
[00:01:48.760 --> 00:01:55.720]  宣揚祂的名
[00:01:55.720 --> 00:02:02.960]  但在他心底裏,他還是很熱愛他的同胞
[00:02:02.960 --> 00:02:16.800]  所以他說:「弟兄們,我心裏所願的,向神所求的,是要以色列人得救」
[00:02:16.800 --> 00:02:26.960]  保羅指出猶太人即是以色列人犯了很大的錯誤
[00:02:26.960 --> 00:02:36.000]  他們沒有按照真理的知識去追求真理
[00:02:36.000 --> 00:02:42.000]  以色列人雖然擁有神所賜的律法
[00:02:42.000 --> 00:02:49.960]  但他們在熱心遵循神的律法過程中
[00:02:49.960 --> 00:02:59.560]  用錯了方法,到了一個地步,他們是拘泥於怎樣去遵循律法的細節
[00:02:59.560 --> 00:03:07.440]  而忽略了神的本意,忽略了神的恩典
[00:03:07.440 --> 00:03:12.480]  他們看不到神的恩典,到了最後
[00:03:12.480 --> 00:03:22.920]  因為不知道神的意,想要立自己的意,就不服神的意了
[00:03:22.920 --> 00:03:33.720]  以色列人是注重了行為,以為靠著嚴守律法的行為
[00:03:33.720 --> 00:03:44.400]  就可以被神看為正確,得稱為義,哪知道他們完全錯了
[00:03:44.400 --> 00:03:50.960]  因為他們不知道神的意的真正標準是甚麼
[00:03:50.960 --> 00:04:02.880]  他們用行為討神喜悅,以為可以因此被神稱為義
[00:04:02.880 --> 00:04:11.560]  卻不知道他們這樣做根本達不到神的意的準則
[00:04:11.560 --> 00:04:14.920]  他們只是自以為義
[00:04:14.920 --> 00:04:23.240]  因為神的意是唯有憑著信心才可以得到的
[00:04:23.240 --> 00:04:26.200]  就是要相信基督
[00:04:26.200 --> 00:04:27.720]  為甚麼呢?
[00:04:27.720 --> 00:04:31.960]  因為聖經很清楚告訴我們一個很重要的經文
[00:04:31.960 --> 00:04:34.920]  因為聖經很清楚告訴我們
[00:04:34.920 --> 00:04:39.520]  律法的總結就是基督,持凡信他的都得著義
[00:04:39.520 --> 00:04:43.360]  保羅指出律法的總結就是基督
[00:04:43.360 --> 00:04:46.200]  保羅指出律法的總結就是基督
[00:04:46.200 --> 00:04:48.320]  總結可以解為目標
[00:04:48.320 --> 00:04:51.600]  總結換句話說可以解作為目標
[00:04:51.600 --> 00:04:57.480]  即是說以色列人遵守律法的目標就是耶穌基督
[00:04:57.480 --> 00:05:01.520]  那就是說以色列人遵循律法的目標就是耶穌基督
[00:05:01.520 --> 00:05:06.200]  原來神賜律法給以色列人
[00:05:06.200 --> 00:05:11.480]  就是要讓他們知道靠人自己的能力
[00:05:11.480 --> 00:05:17.520]  是無法勝過人犯罪的本性
[00:05:17.520 --> 00:05:21.280]  所以世上沒有一個義人
[00:05:21.280 --> 00:05:24.440]  每一個人都犯了罪
[00:05:24.440 --> 00:05:28.880]  人靠自己稱義是不可能的
[00:05:28.880 --> 00:05:33.720]  只要仰賴從神而來的幫助
[00:05:33.720 --> 00:05:40.960]  保羅說以色列人應該以耶穌基督作為遵守律法的最終目標
