
[00:00:00.000 --> 00:00:04.000]  今日我們要思考教會和團契的關係
[00:00:04.000 --> 00:00:12.000]  團契這個字眼在教會的圈子以外是很少聽到的
[00:00:12.000 --> 00:00:17.000]  一般的俱樂部、會所之類的組織是沒有團契的
[00:00:17.000 --> 00:00:19.000]  只有在教會裏面有
[00:00:19.000 --> 00:00:25.000]  所以我們今天要從約翰一書來去了解團契的意義
[00:00:26.000 --> 00:00:30.000]  提醒大家弟兄姊妹相信主之後應該有的行為
[00:00:30.000 --> 00:00:33.000]  首先我想問問大家
[00:00:33.000 --> 00:00:36.000]  當你來到教會參加教會的團契
[00:00:36.000 --> 00:00:40.000]  和弟兄姊妹一起崇拜的時候有什麼感受呢?
[00:00:40.000 --> 00:00:46.000]  是喜樂?還是覺得很愁苦?還是覺得沒什麼感受?
[00:00:46.000 --> 00:00:51.000]  只不過是盡一下基督徒的義務來參加聚會而已
[00:00:51.000 --> 00:00:54.000]  有沒有人覺得開心?
[00:00:55.000 --> 00:00:57.000]  好像主席說的很開心
[00:00:57.000 --> 00:01:03.000]  去了幾個禮拜度假回來很開心
[00:01:03.000 --> 00:01:09.000]  當司徒約翰寫這封信給信徒的時候
[00:01:09.000 --> 00:01:11.000]  他的目的是什麼呢?
[00:01:11.000 --> 00:01:15.000]  他說是讓我們大家的喜樂滿溢
[00:01:15.000 --> 00:01:22.000]  為什麼約翰寫信給信徒他都這麼開心呢?
[00:01:24.000 --> 00:01:30.000]  原因是因為他曾經將生命之道傳給了修信的人
[00:01:30.000 --> 00:01:33.000]  而一些修信的人
[00:01:33.000 --> 00:01:37.000]  他們收到了生命之道又信了的人
[00:01:37.000 --> 00:01:43.000]  他們和約翰和上帝就有了團契
[00:01:43.000 --> 00:01:48.000]  簡單來說團契的意義可以說是彼此分享
[00:01:48.000 --> 00:01:53.000]  顧及彼此好處的一種很緊密的聯繫
[00:01:54.000 --> 00:01:56.000]  可以說是人與人之間的關係
[00:01:56.000 --> 00:02:01.000]  也可以說是人與神之間的契合
[00:02:01.000 --> 00:02:06.000]  我們在上帝裡面包括神與人都有這種契合
[00:02:06.000 --> 00:02:09.000]  在今天的經文第三節就說
[00:02:09.000 --> 00:02:13.000]  我們把所看見所聽見的也傳給你們
[00:02:13.000 --> 00:02:17.000]  好使你們能跟我們共享團契
[00:02:17.000 --> 00:02:23.000]  這個團契是我們和天父和他的兒子耶穌基督所共有的
[00:02:24.000 --> 00:02:27.000]  進入了團契的圈子裡面
[00:02:27.000 --> 00:02:30.000]  這次經文的意思是說
[00:02:30.000 --> 00:02:35.000]  約翰和天父和他的兒子耶穌基督先有了團契
[00:02:35.000 --> 00:02:42.000]  而當他將這個消息傳給其他人的時候
[00:02:42.000 --> 00:02:45.000]  而聽到的人如果他相信的話
[00:02:45.000 --> 00:02:49.000]  就一起加入天父和他的兒子耶穌基督
[00:02:49.000 --> 00:02:52.000]  和其他所有弟兄姊妹的團契
[00:02:53.000 --> 00:02:56.000]  這一件真是令人興奮和開心的事
[00:02:56.000 --> 00:03:00.000]  為什麼呢?因為如果我們跳到第三章一看
[00:03:00.000 --> 00:03:04.000]  第三章一節就說你們看天父多麼愛我們
[00:03:04.000 --> 00:03:07.000]  甚至稱我們為上帝的兒女
[00:03:07.000 --> 00:03:11.000]  實際上我們就是他的兒女
[00:03:11.000 --> 00:03:15.000]  這個真是生命之道的好消息
[00:03:15.000 --> 00:03:18.000]  原來人一生下來的時候
[00:03:19.000 --> 00:03:23.000]  他是有父母的 他和上帝是沒有什麼關係的
[00:03:23.000 --> 00:03:27.000]  有父母的人當然是很幸福的
[00:03:27.000 --> 00:03:32.000]  但是父母在一般正常情況下
[00:03:32.000 --> 00:03:37.000]  都是只能夠為子女提供一些有限的照顧
[00:03:37.000 --> 00:03:43.000]  我記得我女兒小時候師母都是比較緊張去照顧她的
[00:03:43.000 --> 00:03:47.000]  但是後來女兒慢慢長大了 要上學了
[00:03:48.000 --> 00:03:52.000]  所以父母不可能在她身邊在學校陪著她
[00:03:52.000 --> 00:03:58.000]  我們只能夠依靠上帝來照顧她
[00:03:58.000 --> 00:04:02.000]  假如我們不認識上帝 和上帝沒有關係的話
[00:04:02.000 --> 00:04:05.000]  我們就沒有依靠了
[00:04:05.000 --> 00:04:10.000]  所以現在有些現代教導父母的課程
