
[00:00:00.000 --> 00:00:02.800]  犧牲節前三個月
[00:00:02.800 --> 00:00:07.600]  牧師邀請你負責一個 Good Friday 的福音聚會
[00:00:07.600 --> 00:00:11.320]  你既興奮又有些緊張
[00:00:11.320 --> 00:00:14.520]  犧牲節前的一個月
[00:00:14.520 --> 00:00:19.600]  你仍然未想到那個福音聚會的主題
[00:00:19.600 --> 00:00:21.840]  再沒有任何的興奮
[00:00:21.840 --> 00:00:24.320]  只有持續的緊張
[00:00:24.320 --> 00:00:27.360]  當全世界,尤其是《聖惡報》
[00:00:27.360 --> 00:00:31.240]  窮追猛打,咄咄逼人的時候
[00:00:31.240 --> 00:00:34.680]  你的腦袋就更加的空白
[00:00:34.680 --> 00:00:39.280]  最後你決定只好抽籤了斷
[00:00:39.280 --> 00:00:42.440]  你拿起一本聖經,扔到地上
[00:00:42.440 --> 00:00:45.600]  打開那一頁,就在那一頁裏面
[00:00:45.600 --> 00:00:48.920]  找一句金句做主題
[00:00:48.920 --> 00:00:50.480]  第一支籤出來
[00:00:50.480 --> 00:00:53.520]  竟然是以蔡霞書五十三章
[00:00:53.520 --> 00:00:55.280]  是上上籤
[00:00:55.280 --> 00:00:59.360]  於是你選了以蔡霞書第五十三章
[00:00:59.360 --> 00:01:02.080]  第七節做那句金句
[00:01:02.080 --> 00:01:05.200]  她被欺壓受苦卻不開口
[00:01:05.200 --> 00:01:10.680]  她像羔羊被牽去宰殺
[00:01:10.680 --> 00:01:12.840]  你高興感謝上帝
[00:01:12.840 --> 00:01:15.320]  祂聽了你的禱告
[00:01:15.320 --> 00:01:18.640]  不過你心裏仍然有少少不服氣
[00:01:18.640 --> 00:01:20.440]  你想抽第二支籤
[00:01:20.440 --> 00:01:22.000]  你不想交行貨
[00:01:22.000 --> 00:01:23.960]  你希望有些新的嘗試
[00:01:23.960 --> 00:01:27.880]  於是你拿起聖經再扔第二次
[00:01:27.880 --> 00:01:29.520]  第二支籤
[00:01:29.520 --> 00:01:31.880]  這次落出來的是
[00:01:31.880 --> 00:01:33.800]  《針研》第二十章
[00:01:33.800 --> 00:01:35.280]  真是每次都在籤
[00:01:35.280 --> 00:01:38.640]  平時都很少讀到這段聖經
[00:01:38.640 --> 00:01:41.320]  於是你勉強找了一句金句
[00:01:41.320 --> 00:01:44.400]  《針研》第二十章第二節
[00:01:44.400 --> 00:01:48.640]  王的威嚇如獅子嘲叫
[00:01:48.640 --> 00:01:53.200]  激怒他的是自己害命
[00:01:53.200 --> 00:01:56.040]  這兩節聖經你會選哪一節
[00:01:56.040 --> 00:02:00.720]  做犧牲節崇拜的主題呢?
[00:02:00.720 --> 00:02:03.120]  你會選沉默的羔羊
[00:02:03.120 --> 00:02:07.000]  還是會選兇猛的獅子呢?
[00:02:07.000 --> 00:02:09.480]  每年都是選羔羊
[00:02:09.480 --> 00:02:13.000]  所以我今年決定選獅子
[00:02:13.000 --> 00:02:14.400]  今天我講到的經文是
[00:02:14.400 --> 00:02:17.320]  《讓福音》第十八章一至十一節
[00:02:17.320 --> 00:02:24.480]  我講到的題目是「獅王的咆哮」
[00:02:24.480 --> 00:02:28.600]  如果明晚傍晚你來聽我們的周六崇拜
[00:02:28.600 --> 00:02:31.400]  你會聽到我講獅王的復活
[00:02:31.400 --> 00:02:33.320]  今天講的是上集
[00:02:33.320 --> 00:02:36.880]  明天講的是下集
[00:02:36.880 --> 00:02:38.640]  《讓福音》第十八章第一節這樣說
[00:02:38.640 --> 00:02:40.800]  耶穌說了這些話
[00:02:40.800 --> 00:02:42.800]  就從門徒出去
[00:02:42.800 --> 00:02:44.240]  過了及倫溪
[00:02:44.240 --> 00:02:48.400]  在那裡一個原子他和門徒進去了
[00:02:48.400 --> 00:02:49.520]  故事開始的時候
[00:02:49.520 --> 00:02:52.480]  約翰立刻給了我們一個地理的標誌
[00:02:52.480 --> 00:02:55.320]  叫做及倫溪
