
[00:00:00.000 --> 00:00:04.700]  今天這個題目叫「心中富有」是我選擇的
[00:00:04.700 --> 00:00:12.320]  多謝貴教會問我有哪個題目想分享呢?
[00:00:12.320 --> 00:00:17.440]  似乎這四個字是導進了我的經歷
[00:00:17.440 --> 00:00:21.120]  和到現在一生的濃縮
[00:00:21.120 --> 00:00:23.960]  就是要追求富有
[00:00:23.960 --> 00:00:27.800]  不過不一定是口袋裏面的富有
[00:00:27.800 --> 00:00:30.040]  是心中富有
[00:00:30.040 --> 00:00:34.760]  當然最近曾俊華師匠將這句話
[00:00:34.760 --> 00:00:37.440]  道出了多少道理
[00:00:37.440 --> 00:00:43.320]  不過應該是一個很嚴肅的人生道理
[00:00:43.320 --> 00:00:46.840]  對我來說應該是最有意思的
[00:00:46.840 --> 00:00:48.480]  因為我叫榮富
[00:00:48.480 --> 00:00:54.880]  在座有沒有朋友改這些名字的呢?
[00:00:54.880 --> 00:00:57.720]  有呀 竟然有
[00:00:57.720 --> 00:01:00.000]  我見到有女士舉手未必是榮富
[00:01:00.000 --> 00:01:03.080]  是不是大金還是大銀呢?
[00:01:03.080 --> 00:01:07.560]  我又不是說我不認識你
[00:01:07.560 --> 00:01:11.360]  我相信我只可以說我認識的大金、大銀
[00:01:11.360 --> 00:01:17.600]  事實上我認識的都不是真的帶了什麼金、什麼銀來的
[00:01:17.600 --> 00:01:20.520]  多數都是沒有才改這些名字的
[00:01:20.520 --> 00:01:27.560]  有錢人應該是改什麽扎街、扎他
[00:01:27.560 --> 00:01:31.880]  很肯定我改了榮富這個名字
[00:01:31.880 --> 00:01:38.160]  應該是我的長輩對我的期望
[00:01:38.160 --> 00:01:41.320]  你可以推斷不單止是沒有錢
[00:01:41.320 --> 00:01:44.240]  應該是貧窮到出汁的
[00:01:44.240 --> 00:01:46.840]  不然怎會說我要富有
[00:01:46.840 --> 00:01:49.680]  而且要永遠都富有
[00:01:49.680 --> 00:01:52.840]  好像是要一手拿回來
[00:01:52.840 --> 00:01:56.120]  我記得我長大之後
