
[00:00:00.000 --> 00:00:02.320]  各位親愛的兄弟姐妹 你們好
[00:00:02.320 --> 00:00:07.260]  連續四堂的《趙明蘭答》 去到最後一堂了
[00:00:07.260 --> 00:00:12.000]  雖然我們只是匆匆四堂的分享
[00:00:12.000 --> 00:00:14.500]  但是我很感謝神明有機會和大家一起
[00:00:14.500 --> 00:00:16.500]  了解讀神的話語
[00:00:16.500 --> 00:00:19.660]  在最後一堂裏面 我們會講到保羅
[00:00:19.660 --> 00:00:22.060]  我們看過《阿伯拉罕》
[00:00:22.060 --> 00:00:26.860]  《阿伯拉罕》只是記載他的事蹟在創世紀基本上
[00:00:26.860 --> 00:00:30.760]  接著我們看《摩西》 《摩西》比《阿伯拉罕》的內容
[00:00:30.760 --> 00:00:35.220]  豐富更多了 因為不單單在《出埃及記》
[00:00:35.220 --> 00:00:40.520]  更加在其他《生命記》、《文素記》都有記載
[00:00:40.520 --> 00:00:43.620]  接著我們看《新約》的彼得
[00:00:43.620 --> 00:00:46.140]  彼得就在四幅音書裏面
[00:00:46.140 --> 00:00:49.700]  還有彼得自己寫的《彼得前後書》
[00:00:49.700 --> 00:00:52.660]  但是這次我們看保羅
[00:00:52.660 --> 00:00:57.680]  保羅的生平是真的很傳奇 不僅如此
[00:00:57.680 --> 00:01:00.100]  他還寫了很多保羅書信
[00:01:00.100 --> 00:01:05.060]  所以如果我們要一次過看完保羅的生平
[00:01:05.060 --> 00:01:07.060]  是不可能的一件事
[00:01:07.060 --> 00:01:10.500]  所以我們會集中在《仕途行傳》
[00:01:10.500 --> 00:01:15.300]  因為《仕途行傳》裏面記載到保羅的歸向主
[00:01:15.300 --> 00:01:19.040]  他侍奉的時候面對的挑戰是怎樣
[00:01:19.040 --> 00:01:23.220]  另外我們會稍稍從《菲勒比書》、《哥林多後書》
[00:01:23.220 --> 00:01:27.480]  看保羅他自己所分享的一些感受
[00:01:27.480 --> 00:01:30.360]  因為《菲勒比書》和《哥林多後書》
[00:01:30.360 --> 00:01:33.760]  是保羅最情深的分享
[00:01:33.760 --> 00:01:35.760]  不過很截然不同
[00:01:35.760 --> 00:01:39.020]  對著菲勒比的教會
[00:01:39.020 --> 00:01:42.860]  保羅很開心跟他講他自己的福事
[00:01:42.860 --> 00:01:46.740]  就好像一個媽媽對著自己很疼愛的兒子
[00:01:46.740 --> 00:01:50.700]  兒子很孝順就跟他講 我怎樣為了你們
[00:01:50.700 --> 00:01:54.160]  真是甘心命底了 你這麼乖
[00:01:54.160 --> 00:01:57.140]  但是《哥林多後書》是令到保羅激起的
[00:01:57.140 --> 00:01:59.800]  因為那些人質疑保羅
