
[00:00:00.000 --> 00:00:04.900]  好 我們讀兩段聖經在這裡
[00:00:04.900 --> 00:00:08.600]  第一段聖經在格林多前書第12章27節
[00:00:08.600 --> 00:00:10.360]  這裡說你們就是基督的生子
[00:00:10.360 --> 00:00:13.000]  並且各自做肢體
[00:00:13.000 --> 00:00:15.000]  第二段聖經在菲律賓書第2章
[00:00:15.000 --> 00:00:17.000]  第2到第5節
[00:00:17.000 --> 00:00:19.000]  這裡說你們就要意念相同
[00:00:19.000 --> 00:00:20.100]  愛心相同
[00:00:20.100 --> 00:00:21.400]  有一樣的心思
[00:00:21.400 --> 00:00:22.900]  有一樣的意念
[00:00:22.900 --> 00:00:25.500]  使我的喜樂可以滿足
[00:00:25.500 --> 00:00:26.600]  凡事不可結黨
[00:00:26.600 --> 00:00:29.000]  不可貪圖屈服的榮耀
[00:00:29.000 --> 00:00:30.400]  只要存心謙卑
[00:00:30.400 --> 00:00:33.000]  個人看別人比自己強
[00:00:33.000 --> 00:00:34.700]  個人不要單顧自己的事
[00:00:34.700 --> 00:00:36.500]  也要顧別人的事
[00:00:36.500 --> 00:00:38.700]  最後第5節我們一同來念來
[00:00:38.700 --> 00:00:41.900]  你們當以基督耶穌的心為心
[00:00:41.900 --> 00:00:44.000]  我們就讀到這裡
[00:00:44.000 --> 00:00:45.800]  在這裡再一次代表教會
[00:00:45.800 --> 00:00:47.000]  謝謝張牧師師母
[00:00:47.000 --> 00:00:51.000]  這些年在我們教會的侍奉跟拜上
[00:00:51.000 --> 00:00:54.200]  我想這些年我們經歷了同心合意
[00:00:54.200 --> 00:00:56.900]  心望福 因的喜樂
[00:00:56.900 --> 00:00:59.200]  我們也一同經歷了團隊侍奉
[00:00:59.200 --> 00:01:02.000]  所帶來的侍奉的果效
[00:01:02.000 --> 00:01:04.000]  今天當你在生命和
[00:01:04.000 --> 00:01:05.900]  你一定要需要明白
[00:01:05.900 --> 00:01:08.000]  生命和是一個非常助動
[00:01:08.000 --> 00:01:11.000]  團隊侍奉的一個教會
[00:01:11.000 --> 00:01:12.600]  生命和的侍功
[00:01:12.600 --> 00:01:15.500]  這些年這麼快速的擴展
[00:01:15.500 --> 00:01:17.100]  我告訴你絕對不是
[00:01:17.100 --> 00:01:20.900]  因為任何一個人的智慧跟力量
[00:01:20.900 --> 00:01:22.500]  而是因為在這裡
[00:01:22.500 --> 00:01:24.900]  我們真的是有一個團隊
[00:01:24.900 --> 00:01:27.800]  而且是很大的團隊
[00:01:27.800 --> 00:01:31.700]  就好像保羅在前書第12章27節所說的
[00:01:31.700 --> 00:01:33.900]  當每一個肢體
[00:01:33.900 --> 00:01:37.300]  都能夠各盡所能的彼此配搭的時候
[00:01:37.300 --> 00:01:41.500]  一個榮耀的教會就能夠被建造起來
[00:01:41.500 --> 00:01:43.300]  所以今天早上從三方面
[00:01:43.300 --> 00:01:46.900]  我們來思想一下團隊侍奉這個概念
