
[00:00:00.000 --> 00:00:02.000]  聖經裡面其中一個特色就是
[00:00:02.000 --> 00:00:04.000]  聖經裡面用很多的小人物
[00:00:04.000 --> 00:00:06.000]  去為主去侍奉,為主去發光
[00:00:06.000 --> 00:00:08.000]  耶穌要求我們成為
[00:00:08.000 --> 00:00:10.000]  世上的光,世上的炎
[00:00:10.000 --> 00:00:12.000]  我想問大家,有幾個人覺得
[00:00:12.000 --> 00:00:14.000]  自己可以成為世上的光,世上的炎
[00:00:14.000 --> 00:00:16.000]  舉起你的手,你覺得可以成為
[00:00:16.000 --> 00:00:18.000]  世上的光,世上的炎,都不是很多
[00:00:18.000 --> 00:00:20.000]  有些很客氣的
[00:00:20.000 --> 00:00:22.000]  幾個中國人,其實
[00:00:22.000 --> 00:00:24.000]  一方面就是,去到哪一舊
[00:00:24.000 --> 00:00:26.000]  問這個問題都不容易的
[00:00:26.000 --> 00:00:28.000]  但同樣,大家都盡力
[00:00:28.000 --> 00:00:30.000]  但做了多少真的不知道
[00:00:30.000 --> 00:00:32.000]  人生裡面,其實我們有時
[00:00:32.000 --> 00:00:34.000]  發覺自己在這個世界裡面很微小
[00:00:34.000 --> 00:00:36.000]  有時面對這個世界的
[00:00:36.000 --> 00:00:38.000]  習俗,競爭
[00:00:38.000 --> 00:00:40.000]  甚至一些很強大的
[00:00:40.000 --> 00:00:42.000]  勢力裡面的時候
[00:00:42.000 --> 00:00:44.000]  那時候很渺小,不知道做到什麼
[00:00:44.000 --> 00:00:46.000]  我們一杯涼水的敬虔
[00:00:46.000 --> 00:00:48.000]  在這個複雜的世代
[00:00:48.000 --> 00:00:50.000]  能夠做到什麼呢
[00:00:50.000 --> 00:00:52.000]  甚至有些人覺得,自己做基督徒
[00:00:52.000 --> 00:00:54.000]  有時要侍奉,可能
[00:00:54.000 --> 00:00:56.000]  未必有蒙福,有時
[00:00:56.000 --> 00:00:58.000]  有逆境也不奇怪
[00:00:58.000 --> 00:01:00.000]  不知道大家有沒有遭遇過,有一段時間很勤力
[00:01:00.000 --> 00:01:02.000]  去侍奉,服侍神
[00:01:02.000 --> 00:01:04.000]  但剛好家裡工作
[00:01:04.000 --> 00:01:06.000]  身體接二連三的
[00:01:06.000 --> 00:01:08.000]  逆境,有時
[00:01:08.000 --> 00:01:10.000]  都有這些情況,那敬虔
[00:01:10.000 --> 00:01:12.000]  是否有意義呢,敬虔
[00:01:12.000 --> 00:01:14.000]  是否能夠改變世界呢
[00:01:14.000 --> 00:01:16.000]  因為基文解釋記,在一個很強勢
