
[00:00:00.000 --> 00:00:02.720]  今日嘅講題呢就係「人獸鬼」
[00:00:02.720 --> 00:00:05.640]  今日講到呢個「狼獸龜」
[00:00:05.640 --> 00:00:07.200]  「狼獸龜」
[00:00:07.200 --> 00:00:10.800]  「龜」呢個字呢就最啱古音
[00:00:10.800 --> 00:00:13.560]  即係「龜」呢個字呢就正正係個音
[00:00:13.560 --> 00:00:17.840]  而家講苦話同埋國語呢都讀唔起咗音
[00:00:17.840 --> 00:00:24.040]  即係江東話跟北京話呢就係個音做咗歪去
[00:00:24.040 --> 00:00:27.120]  「鬼」字嘅古音「鬼者龜也」
[00:00:27.120 --> 00:00:30.080]  「龜」即係「鬼」咩就即係「龜」
[00:00:30.080 --> 00:00:32.840]  「龜」國語咪講即係「龜」囉
[00:00:32.840 --> 00:00:35.160]  係咪呀「鬼者龜也」
[00:00:35.160 --> 00:00:38.400]  係咪呀「龜」呀「龜」呀「龜」呀
[00:00:38.400 --> 00:00:39.680]  依家唔識讀個「龜」
[00:00:39.680 --> 00:00:42.080]  依家唯有頭先係「龜」「龜」
[00:00:42.080 --> 00:00:43.680]  得咪南華識讀個「龜」
[00:00:43.680 --> 00:00:45.760]  問南華就講「龜」
[00:00:45.760 --> 00:00:47.440]  所以啱嘅呢個字好開心
[00:00:47.440 --> 00:00:49.000]  見到呢個字最好
[00:00:49.000 --> 00:00:50.000]  好
[00:00:50.000 --> 00:00:53.480]  經文呢就係《老家福音》第八章二十六至三十九節
[00:00:53.480 --> 00:00:57.240]  經文呢就係《老家福音》第八章二十六至三十九節
[00:00:57.240 --> 00:00:58.760]  過啦經文唔使唔再讀
[00:00:58.760 --> 00:01:00.800]  頭先已經讀「龜」啦唔好再讀啦
[00:01:00.800 --> 00:01:03.080]  呢個嘅經文好簡單嘅啫
[00:01:03.080 --> 00:01:04.480]  即係經文真簡單
[00:01:04.480 --> 00:01:05.640]  講咗一個地方名
[00:01:05.640 --> 00:01:07.200]  講咗一個所在
[00:01:07.200 --> 00:01:08.120]  四個地方
[00:01:08.120 --> 00:01:09.120]  四個所在
[00:01:09.120 --> 00:01:10.320]  三種人物
[00:01:10.320 --> 00:01:10.920]  有三個人
[00:01:10.920 --> 00:01:11.560]  一國
[00:01:11.560 --> 00:01:12.600]  三個主格
[00:01:12.600 --> 00:01:14.280]  嗰啲老人夾月餅嗰啲唔計下
[00:01:14.280 --> 00:01:16.480]  即係其他人嗰啲唔算
[00:01:16.480 --> 00:01:17.680]  個地方叫「格拉森」
[00:01:17.680 --> 00:01:19.800]  個所在叫「吉麗潛」
[00:01:19.800 --> 00:01:23.120]  係地圖呢「格拉森」呢就係喺加利利海好遠嘅
[00:01:23.120 --> 00:01:26.800]  喺地圖嗰邊嘅經歷上就係加利利海漸遠嘅
[00:01:26.800 --> 00:01:30.120]  所以我哋嘅經文呢就有個附註話
[00:01:30.120 --> 00:01:33.040]  有古卷話呢個地方名叫做「格大拉」
