
[00:00:00.000 --> 00:00:01.000]  各位靚姐妹
[00:00:01.000 --> 00:00:03.400]  有沒有試過有人對你不好
[00:00:03.400 --> 00:00:05.320]  當然有啦
[00:00:05.320 --> 00:00:09.140]  我對人不好也試過
[00:00:09.140 --> 00:00:10.640]  誠實點我們想一下
[00:00:10.640 --> 00:00:13.640]  我會對人不好,人也會對我不好
[00:00:13.640 --> 00:00:17.460]  人對你不好的時候,那你做什麼呢?
[00:00:17.460 --> 00:00:20.080]  我更想你想一下這件事
[00:00:20.080 --> 00:00:23.480]  當人對你不好的時候,你又做什麼呢?
[00:00:23.480 --> 00:00:26.820]  給半分鐘你們嘗試想一想
[00:00:26.820 --> 00:00:30.040]  你以往曾經發生過做過的
[00:00:30.040 --> 00:00:38.280]  人對你不好
[00:00:38.280 --> 00:00:40.020]  接著你做什麼呢?
[00:00:40.020 --> 00:00:42.020]  你怎樣對他呢?
[00:00:42.020 --> 00:00:47.680]  都沒什麼的,所以我都不太記仇
[00:00:47.680 --> 00:00:51.840]  又或者你已經想起一件兩件三件更多的事
[00:00:51.840 --> 00:00:53.720]  都很容易的
[00:00:54.820 --> 00:00:57.200]  記住這件事,再看一看聖經
[00:00:57.200 --> 00:01:00.120]  其實今天想跟大家看完整個《撒梅爾記》上的25章
[00:01:00.120 --> 00:01:02.060]  所以你夾住都可以
[00:01:02.060 --> 00:01:05.700]  因為讀44節,讀完就可以守聖餐
[00:01:05.700 --> 00:01:08.540]  所以就不一次過讀完,因為都很長
[00:01:08.540 --> 00:01:12.560]  但是都希望在羅學友會交代我的事情
[00:01:12.560 --> 00:01:14.380]  需要你去翻看聖經
[00:01:14.380 --> 00:01:16.640]  其實如果你們還記得在過去的兩個禮拜
[00:01:16.640 --> 00:01:19.140]  我們一直都在看關於大衛的事
[00:01:19.140 --> 00:01:21.400]  大衛、訴羅之間很多瓜葛
[00:01:21.400 --> 00:01:23.640]  或者上個禮拜梁牧澤牧師也說給你們聽
[00:01:23.640 --> 00:01:25.860]  訴羅的生命有多少不妥的地方
[00:01:25.860 --> 00:01:28.620]  多少做人不應該要做的事
[00:01:28.620 --> 00:01:30.960]  去到這裡有很多人說一件事
[00:01:30.960 --> 00:01:34.860]  其實大衛已經去到好像落草為寇一樣
[00:01:34.860 --> 00:01:36.160]  他不是真的做賊
[00:01:36.160 --> 00:01:38.060]  但是情況就被人趕走了
[00:01:38.060 --> 00:01:39.320]  在抗疫那裡
[00:01:39.320 --> 00:01:41.440]  被訴羅追殺的
[00:01:41.440 --> 00:01:43.220]  但是我一直
[00:01:43.220 --> 00:01:44.540]  因為聖經不是第一天看
[00:01:44.540 --> 00:01:47.180]  小孩子看就覺得情節很奇怪
[00:01:47.180 --> 00:01:49.460]  追殺人的那個過半路又去大解
[00:01:49.460 --> 00:01:52.540]  然後又被人抓到割了一件衣服出來
[00:01:52.540 --> 00:01:56.000]  大衛有一個機會去殺了訴羅的
[00:01:56.000 --> 00:01:57.020]  但是又沒有
[00:01:57.020 --> 00:01:59.740]  之間放過你放過我的時候
[00:01:59.740 --> 00:02:01.220]  經歷了很多次
[00:02:01.220 --> 00:02:02.620]  但終歸來講
[00:02:02.620 --> 00:02:04.800]  那一刻訴羅是不是王
[00:02:04.800 --> 00:02:06.320]  還是王
[00:02:06.320 --> 00:02:08.520]  大衛跑到哪裡去了
[00:02:08.520 --> 00:02:09.540]  抗疫
[00:02:09.540 --> 00:02:11.060]  他真的逃亡跑了出去
[00:02:11.060 --> 00:02:12.820]  真的跑了出去
[00:02:12.820 --> 00:02:13.820]  甚至你會問一件事
[00:02:13.820 --> 00:02:14.520]  不是啊
[00:02:14.520 --> 00:02:18.340]  大衛怎麼算都是女婿嘛
[00:02:18.340 --> 00:02:20.360]  但是如果上個禮拜看聖經的時候
[00:02:20.360 --> 00:02:23.040]  你記得女婿怎麼樣一樣割了他
[00:02:23.040 --> 00:02:25.600]  但更重要的是如果25章你看到最後那一節
[00:02:25.600 --> 00:02:27.320]  聖經是我附著的
[00:02:27.320 --> 00:02:29.080]  就是講到原來那時候訴羅
[00:02:29.080 --> 00:02:31.500]  是已經將他自己的女兒米格
[00:02:31.500 --> 00:02:33.340]  本來是許配給了大衛的
[00:02:33.340 --> 00:02:34.660]  不過不好意思大衛我和你翻臉
[00:02:34.660 --> 00:02:36.180]  於是拿了女兒回來
[00:02:36.180 --> 00:02:37.200]  那又怎麼樣
[00:02:37.200 --> 00:02:38.640]  給了另一個
[00:02:38.640 --> 00:02:40.200]  也挺慘的你明白嗎
[00:02:40.200 --> 00:02:41.500]  本來是駙馬
[00:02:41.500 --> 00:02:43.800]  我們的叫法叫駙馬
[00:02:43.800 --> 00:02:45.260]  本來是駙馬
[00:02:45.260 --> 00:02:46.980]  現在就褫奪了你駙馬
[00:02:46.980 --> 00:02:48.460]  女兒又可以給了另一個
[00:02:48.460 --> 00:02:50.880]  本來你應該是身邊的人
[00:02:50.880 --> 00:02:51.960]  但是不好意思
[00:02:51.960 --> 00:02:53.020]  不好意思
[00:02:53.020 --> 00:02:55.380]  現在要追殺你
[00:02:55.380 --> 00:02:57.600]  追殺到這個地步就去到迦勒的地方
[00:02:57.600 --> 00:02:59.100]  又去到剛才讀經的地方
[00:02:59.100 --> 00:03:00.620]  在曠野那裡
[00:03:00.620 --> 00:03:02.300]  大衛跟隨的那群人
[00:03:02.300 --> 00:03:04.600]  真的要在那裡捱女孩子
[00:03:04.600 --> 00:03:07.420]  在山寨開棚
[00:03:07.420 --> 00:03:08.860]  營幕的地方
[00:03:08.860 --> 00:03:10.080]  在那裡捱著世界
[00:03:10.080 --> 00:03:11.620]  捱著的地方在迦勒有一個人
[00:03:11.620 --> 00:03:12.860]  一個有錢人
[00:03:12.860 --> 00:03:16.260]  今天這件事是牽涉幾個人而已
[00:03:16.260 --> 00:03:18.140]  那個有錢人叫什麼名字
[00:03:18.140 --> 00:03:18.940]  喇叭
[00:03:18.940 --> 00:03:20.760]  知道什麼意思嗎
[00:03:20.760 --> 00:03:22.460]  蠢
[00:03:22.460 --> 00:03:23.260]  說什麼媽的
[00:03:23.260 --> 00:03:23.820]  改名蠢
[00:03:23.820 --> 00:03:24.660]  真是蠢
[00:03:24.660 --> 00:03:27.020]  因為如果你看
[00:03:27.020 --> 00:03:29.060]  二十五節
[00:03:29.060 --> 00:03:30.400]  他老婆也說的
[00:03:30.400 --> 00:03:31.260]  二十五節後面
[00:03:31.260 --> 00:03:32.860]  他名叫喇叭
[00:03:32.860 --> 00:03:34.300]  聖經中括著的
[00:03:34.300 --> 00:03:35.260]  就是愚頑
