
[00:00:00.000 --> 00:00:02.640]  今日教的經文是《讓風音》21章
[00:00:02.640 --> 00:00:06.760]  題目是「你願意一生侍奉主嗎?」
[00:00:06.760 --> 00:00:10.200]  《讓風音》21章是給予一段很低沉的時期
[00:00:10.200 --> 00:00:12.200]  他經歷了三次不認主
[00:00:12.200 --> 00:00:14.680]  自己生命很多沒信心的時期
[00:00:14.680 --> 00:00:17.120]  但耶穌基督在最低沉的時期
[00:00:17.120 --> 00:00:19.120]  就好像呼召他去侍奉主
[00:00:19.120 --> 00:00:21.120]  願這經文都成為我們的幫助
[00:00:21.120 --> 00:00:24.520]  我們看21章14到22節
[00:00:24.520 --> 00:00:27.400]  第一章讀雙數節,之後讀單數節
[00:00:27.400 --> 00:00:32.920]  耶穌從死裡復活以後向門徒顯現,這是第三次。
[00:00:32.920 --> 00:00:50.400]  「我聽見耶穌說,耶穌對他說,你愛我,你賜我」
[00:00:50.400 --> 00:00:53.400]  耶穌第二次又對他說,
[00:00:53.400 --> 00:00:56.400]  「讓你的兒子西門,你愛我嗎?」
[00:00:56.400 --> 00:01:00.400]  彼得說:「主也是的,你知道我愛你」
[00:01:00.400 --> 00:01:03.400]  耶穌說:「你勿養我的羊」
[00:01:03.400 --> 00:01:23.400]  「你對他說,主也是的,你知道我愛你」
[00:01:23.400 --> 00:01:30.400]  「我實實在在的告訴你,你年少的時候自己束上帶子,隨意往來」
[00:01:30.400 --> 00:01:38.400]  「年老的時候,你要伸出手來,別人要把你束上,帶你到不願意去的地方」
[00:01:38.400 --> 00:01:43.400]  「耶穌說的話,你不需要給人養成自己的原則」
[00:01:43.400 --> 00:01:48.400]  「說的話,就給他發說,給人從何下」
[00:01:48.400 --> 00:01:52.400]  彼得轉過來,看見耶穌所愛的那門徒跟著
[00:01:52.400 --> 00:01:59.400]  「就是在晚飯的時候,靠著耶穌空堂說,主也賣你的舌髓的那門徒」
[00:01:59.400 --> 00:02:12.400]  「耶穌對他說,我若要他等到我來的時候,與你何干,你跟從我吧」
[00:02:12.400 --> 00:02:16.400]  《舊經文》裏面說到彼得在一個經歷了很多黑暗失敗
[00:02:16.400 --> 00:02:21.400]  不單是自己的失敗,是時代很多黑暗失敗裏面
[00:02:21.400 --> 00:02:25.400]  他再次神要挑戰他一生的事夢主
[00:02:25.400 --> 00:02:29.400]  同樣在我們生命裏面,經歷人生的黑暗失敗的時候
[00:02:29.400 --> 00:02:32.400]  有難阻我們一生為生事夢主嗎?
[00:02:32.400 --> 00:02:37.400]  當我們見到世途的艱難,蓬勃的軟弱,和自己的失敗的時候
[00:02:37.400 --> 00:02:42.400]  我們是比這個挑戰裏面更有意象,更為生事夢主嗎?
[00:02:42.400 --> 00:02:44.400]  還是我們灰心喪意呢?
[00:02:44.400 --> 00:02:48.400]  基督徒需要經歷一個生命的挑戰
[00:02:48.400 --> 00:02:52.400]  我們是否真的願意背上十字架,一生侍奉神呢?
[00:02:52.400 --> 00:02:55.400]  彼得經歷了多重的失敗之後
[00:02:55.400 --> 00:03:01.400]  竟然又成為神能夠忠心侍奉喜悅的一個僕人
[00:03:01.400 --> 00:03:03.400]  《舊經文》裏面說到耶穌的寓言是
