
[00:00:00.000 --> 00:00:03.140]  如果從上帝的角度去講
[00:00:03.140 --> 00:00:05.300]  今日講章的題目叫做
[00:00:05.300 --> 00:00:07.300]  「我的奠喻你的家室」
[00:00:07.300 --> 00:00:09.400]  但如果從人的角度去講
[00:00:09.400 --> 00:00:11.900]  就是「你的奠喻我的家室」
[00:00:11.900 --> 00:00:12.900]  為何這樣講呢?
[00:00:12.900 --> 00:00:15.400]  因為我們知道在大衛的生平裏面
[00:00:15.400 --> 00:00:20.900]  有一天他望見上帝的孟子
[00:00:20.900 --> 00:00:22.900]  即是他的帳幕
[00:00:22.900 --> 00:00:25.100]  他就開始有一個感觸
[00:00:25.100 --> 00:00:26.600]  這個感觸就是這樣講的
[00:00:26.600 --> 00:00:27.900]  《撒慕爾記》第七章第二節
[00:00:27.900 --> 00:00:30.900]  「那時王就對先知拿丹講一看
[00:00:30.900 --> 00:00:33.400]  我住在香柏木的宮中
[00:00:33.400 --> 00:00:36.900]  神的約貴凡是在孟子裏面」
[00:00:36.900 --> 00:00:38.400]  他的意思是甚麼呢?
[00:00:38.400 --> 00:00:41.400]  他說「我住在香柏木起的皇宮這麼漂亮
[00:00:41.400 --> 00:00:45.400]  但竟然這麼偉大的上帝在那裏露營」
[00:00:45.400 --> 00:00:47.400]  很不對稱
[00:00:47.400 --> 00:00:49.400]  當他這樣講的時候
[00:00:49.400 --> 00:00:50.900]  先知又怎樣回應呢?
[00:00:50.900 --> 00:00:53.400]  你見到從兩段經文就看到
[00:00:53.400 --> 00:00:55.400]  拿丹先知的性格
[00:00:55.400 --> 00:00:57.900]  他跟其他先知的性格不一樣
[00:00:57.900 --> 00:01:00.400]  他不是一個很敢言直率的人
[00:01:00.400 --> 00:01:04.400]  是一個講話比較鬼祟曖昧
[00:01:04.400 --> 00:01:09.400]  以及要和平皇帝的一個先知
[00:01:09.400 --> 00:01:11.400]  很明顯在這裏
[00:01:11.400 --> 00:01:13.400]  他沒有上帝的感召
[00:01:13.400 --> 00:01:15.400]  也沒有上帝的話語
[00:01:15.400 --> 00:01:18.400]  只是很隨便地去拆皇帝的鞋
[00:01:18.400 --> 00:01:19.400]  就這樣講
[00:01:19.400 --> 00:01:22.400]  他說「你可以照你的心意而行
[00:01:22.400 --> 00:01:24.900]  因為耶和華與你同在」
[00:01:24.900 --> 00:01:26.900]  講完這句話之後
[00:01:26.900 --> 00:01:28.900]  拿丹先知就回到自己的家
[00:01:28.900 --> 00:01:30.900]  上帝就跟他講說話
[00:01:30.900 --> 00:01:32.900]  上帝跟他講說話的時候
[00:01:32.900 --> 00:01:34.900]  在撒末爾記下第七章第五到第七節
[00:01:34.900 --> 00:01:35.900]  上帝就說
[00:01:35.900 --> 00:01:37.900]  「在以色列歷史裏面
[00:01:37.900 --> 00:01:41.900]  從來我沒有要求過有人要為我起聖殿」
[00:01:41.900 --> 00:01:45.900]  上帝這番說話不是要否定大衛起聖殿
[00:01:45.900 --> 00:01:46.900]  而是想說
[00:01:46.900 --> 00:01:50.900]  上帝容許大衛起聖殿是來自上帝的憐憫
[00:01:50.900 --> 00:01:58.900]  起聖殿處理的問題是比較複雜的
[00:01:58.900 --> 00:02:01.900]  到了所羅門大衛的兒子
[00:02:01.900 --> 00:02:03.900]  起了聖殿之後
[00:02:03.900 --> 00:02:05.900]  聖殿的獻殿禮
[00:02:05.900 --> 00:02:07.900]  所羅門的土文就說
[00:02:07.900 --> 00:02:10.900]  上帝你是創天造地的那位
[00:02:10.900 --> 00:02:12.900]  天地是你的寶座
[00:02:12.900 --> 00:02:15.900]  我起的聖殿多麼華美
[00:02:15.900 --> 00:02:18.900]  也不能夠容得下你
[00:02:18.900 --> 00:02:20.900]  這是一個很明顯的事實
[00:02:20.900 --> 00:02:21.900]  所以
[00:02:21.900 --> 00:02:25.900]  你叫上帝屈就於地球
[00:02:25.900 --> 00:02:27.900]  都已經難了
[00:02:27.900 --> 00:02:30.900]  還要屈就於一個小聖殿裏面
[00:02:30.900 --> 00:02:32.900]  我們人造的華美
[00:02:32.900 --> 00:02:35.900]  不及上帝造的美麗
[00:02:35.900 --> 00:02:40.900]  上帝的大自然總比我們的教堂美麗
[00:02:40.900 --> 00:02:42.900]  總比我們的教堂華美
[00:02:42.900 --> 00:02:44.900]  對不對?
[00:02:44.900 --> 00:02:48.900]  所以上帝從沒有要求過人為我起聖殿
[00:02:48.900 --> 00:02:53.900]  因為沒有聖殿可以代表我
[00:02:53.900 --> 00:02:56.900]  不過上帝的恩典憐憫很偉大
[00:02:56.900 --> 00:02:59.900]  上帝是容許大衛起聖殿
[00:02:59.900 --> 00:03:03.900]  但是是容許他的後代起
[00:03:03.900 --> 00:03:04.900]  為什麼呢?
[00:03:04.900 --> 00:03:08.900]  他提出的原因是因為大衛流過無辜人的血的手
[00:03:08.900 --> 00:03:11.900]  一個打仗一定殺過一些無辜的人
[00:03:11.900 --> 00:03:12.900]  所以不容許他起
[00:03:12.900 --> 00:03:15.900]  只容許他預備聖殿的材料
