
[00:00:00.000 --> 00:00:02.000]  請在坐下之前和你旁邊的姐妹說一聲
[00:00:02.000 --> 00:00:04.000]  你要保守你的心
[00:00:04.000 --> 00:00:08.000]  深水清的弟妹姐妹
[00:00:08.000 --> 00:00:10.000]  大家知道我總有一篇道會講這個題目
[00:00:10.000 --> 00:00:12.000]  因為在聖經裏面確實有這樣的經文
[00:00:12.000 --> 00:00:14.000]  我們講過你要保守你的眼
[00:00:14.000 --> 00:00:16.000]  你要保守你的耳
[00:00:16.000 --> 00:00:18.000]  今天我們講的是要保守你的心
[00:00:18.000 --> 00:00:20.000]  在針研第四章23節說
[00:00:20.000 --> 00:00:22.000]  你要保守你的心勝過保守一切
[00:00:22.000 --> 00:00:24.000]  因為心的果效是由心發出
[00:00:24.000 --> 00:00:26.000]  這個是我們和本的翻譯
[00:00:26.000 --> 00:00:28.000]  在新譯本的翻譯就說
[00:00:28.000 --> 00:00:30.000]  你要緊守你的心勝過緊守一切
[00:00:30.000 --> 00:00:32.000]  因為生命的傳源
[00:00:32.000 --> 00:00:34.000]  是由此而出
[00:00:34.000 --> 00:00:36.000]  當我們讀新譯本的時候
[00:00:36.000 --> 00:00:38.000]  我們更加不明白究竟講什麼
[00:00:38.000 --> 00:00:40.000]  但反而新譯本是將
[00:00:40.000 --> 00:00:42.000]  原文希伯來文的意思
[00:00:42.000 --> 00:00:44.000]  是翻譯出來的
[00:00:44.000 --> 00:00:46.000]  猶太人很喜歡說話的時候
[00:00:46.000 --> 00:00:48.000]  是用一些圖像
[00:00:48.000 --> 00:00:50.000]  一些圖畫
[00:00:50.000 --> 00:00:52.000]  去表達
[00:00:52.000 --> 00:00:56.000]  例如這段經文所講的
[00:00:56.000 --> 00:00:58.000]  是針研第四章23節所提到的
[00:00:58.000 --> 00:01:00.000]  我們要好像
[00:01:00.000 --> 00:01:02.000]  生命的傳源湧出來
[00:01:02.000 --> 00:01:04.000]  是代表著
[00:01:04.000 --> 00:01:06.000]  你見到傳水的
[00:01:06.000 --> 00:01:08.000]  源頭是很重要的
[00:01:08.000 --> 00:01:10.000]  源頭所湧出來的水
[00:01:10.000 --> 00:01:12.000]  是怎樣的話
[00:01:12.000 --> 00:01:14.000]  是流下來的
[00:01:14.000 --> 00:01:16.000]  無論是上游中游下游的水
[00:01:16.000 --> 00:01:18.000]  就會是怎樣
[00:01:18.000 --> 00:01:20.000]  如果源頭的水被污染
[00:01:20.000 --> 00:01:22.000]  出來的水就是污染
[00:01:22.000 --> 00:01:24.000]  如果源頭的水出來是清澈的
[00:01:24.000 --> 00:01:26.000]  就是清澈的
[00:01:26.000 --> 00:01:28.000]  所以我本來的翻譯是
[00:01:28.000 --> 00:01:30.000]  一生的果效
[00:01:30.000 --> 00:01:32.000]  是從我們的心發出
[00:01:32.000 --> 00:01:34.000]  就是將它的
[00:01:34.000 --> 00:01:36.000]  一個圖像的意義
[00:01:36.000 --> 00:01:38.000]  是翻譯出來的
[00:01:38.000 --> 00:01:40.000]  但是原文的意思
[00:01:40.000 --> 00:01:42.000]  是比我們更加容易
[00:01:42.000 --> 00:01:44.000]  去記得
[00:01:44.000 --> 00:01:46.000]  因為這個很圖像化的表達
[00:01:46.000 --> 00:01:48.000]  其實希伯來文的心
[00:01:48.000 --> 00:01:50.000]  和我們中文的心
[00:01:50.000 --> 00:01:52.000]  是有出入的
[00:01:52.000 --> 00:01:54.000]  中文的心我們會提到
[00:01:54.000 --> 00:01:56.000]  會傷心 會心痛
[00:01:56.000 --> 00:01:58.000]  我們的心是其中
[00:01:58.000 --> 00:02:00.000]  代表著我們的情緒
[00:02:00.000 --> 00:02:02.000]  但是希伯來文的心是更加接近的
[00:02:02.000 --> 00:02:04.000]  是在說心思
[00:02:04.000 --> 00:02:06.000]  和情緒是無關的
[00:02:06.000 --> 00:02:08.000]  它在說的是
[00:02:08.000 --> 00:02:10.000]  思想和意志
[00:02:10.000 --> 00:02:12.000]  就是說我們要謹守我們的思想和意志
[00:02:12.000 --> 00:02:14.000]  因為一生的果效
[00:02:14.000 --> 00:02:16.000]  是從這一切
