
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹 牧者平安
[00:00:03.000 --> 00:00:08.000]  感謝神今天能夠和大家一起繼續分享神的說話
[00:00:08.000 --> 00:00:11.000]  繼續在耳筆所書裡的經文
[00:00:11.000 --> 00:00:14.000]  由我們一起先得頭祈禱
[00:00:14.000 --> 00:00:20.000]  親愛的天父 你是全能的神 又是愛我們的天父
[00:00:20.000 --> 00:00:23.000]  配得我們的讚美敬拜
[00:00:23.000 --> 00:00:27.000]  多謝你眷顧我們 又眷顧我們的教會
[00:00:27.000 --> 00:00:35.000]  此刻我們祈求天父你挪開我們心裡面種種的雜念、煩惱
[00:00:35.000 --> 00:00:38.000]  親自對我們每個人說話
[00:00:38.000 --> 00:00:44.000]  讓你的話語成為我們去面對工作、生活和侍奉你的力量
[00:00:44.000 --> 00:00:48.000]  我們這樣禱告奉靠主耶穌基督的名 阿們
[00:00:48.000 --> 00:00:54.000]  根據Gemini AI給我的資料
[00:00:54.000 --> 00:00:58.000]  一個標準男性成人的健康身體裡
[00:00:58.000 --> 00:01:02.000]  有大概30兆個細胞
[00:01:02.000 --> 00:01:05.000]  一兆是什麼概念呢
[00:01:05.000 --> 00:01:08.000]  就是一之後有12個零
[00:01:08.000 --> 00:01:14.000]  而同一個人體裡大概有39兆個細菌
[00:01:14.000 --> 00:01:21.000]  這個資料和我以前讀書時候認識的很不同
[00:01:21.000 --> 00:01:28.000]  因為當時是說人體裡的細菌比細胞的數量是幾倍的多
[00:01:28.000 --> 00:01:32.000]  於是我再去搜尋一下AI給我的資料的來源
[00:01:32.000 --> 00:01:35.000]  我發現原來我以前知道的東西
[00:01:35.000 --> 00:01:43.000]  已經在2014年因為在以色列的研究院裡所做的研究推翻了
[00:01:43.000 --> 00:01:45.000]  他們在完成這個研究之後
[00:01:45.000 --> 00:01:48.000]  發現其實一個標準男性成人的身體裡
[00:01:48.000 --> 00:01:56.000]  細菌的數量和細胞的數量比例其實是幾乎差不多的
[00:01:56.000 --> 00:01:59.000]  我為什麼要和大家分享這個資料呢
[00:01:59.000 --> 00:02:04.000]  因為我們從這個資料裡都可以理解到一件事
[00:02:04.000 --> 00:02:09.000]  一個健康的身體裡不是完全沒有細菌的
[00:02:09.000 --> 00:02:15.000]  同樣一間健康的教會也不是完全沒有問題的教會
[00:02:15.000 --> 00:02:20.000]  細菌在人體裡是有益有害的
[00:02:20.000 --> 00:02:25.000]  如果那些有益的細菌有什麼問題發揮不了功能
[00:02:25.000 --> 00:02:28.000]  那些平衡就會失去了
[00:02:28.000 --> 00:02:32.000]  那些不好的細菌就會影響我們健康
[00:02:32.000 --> 00:02:38.000]  但是要保持這個身體健康的方法不是說要將所有細菌清除的
[00:02:38.000 --> 00:02:42.000]  同樣我們在教會裡如果要保持教會健康
[00:02:42.000 --> 00:02:47.000]  不是說要將那些我們覺得有問題的人趕走
[00:02:47.000 --> 00:02:52.000]  也更加不是將我們覺得有問題的事掃入地氈底
[00:02:52.000 --> 00:02:58.000]  要身體健康人是要在日常生活裡去留意和實踐
