
[00:00:00.000 --> 00:00:06.000]  回到CCAC之後,我發覺自己很偏心
[00:00:06.000 --> 00:00:10.000]  說了好幾個母親節的訊息
[00:00:10.000 --> 00:00:13.000]  但父親節好像說得很少
[00:00:13.000 --> 00:00:18.000]  通常父親節,我都是說那些港獨的系列
[00:00:18.000 --> 00:00:22.000]  找一篇頂替了父親節的訊息
[00:00:22.000 --> 00:00:25.000]  我現在說的是天堂的系列
[00:00:25.000 --> 00:00:28.000]  下一個訊息應該是說什麼?
[00:00:28.000 --> 00:00:32.000]  人死了之後到底去了哪裡?
[00:00:32.000 --> 00:00:37.000]  這個訊息相信是很不符合父親節
[00:00:37.000 --> 00:00:39.000]  風馬牛不相合
[00:00:39.000 --> 00:00:44.000]  所以我今天是真真正正實實在在要說一個父親節的訊息
[00:00:44.000 --> 00:00:48.000]  叫做如何做一個蒙福的父親
[00:00:48.000 --> 00:00:54.000]  經文是記載在詩篇的128篇
[00:00:54.000 --> 00:00:58.000]  其實我很想說一個有關詩篇的系列
[00:00:58.000 --> 00:01:02.000]  我最近才說完《針研》的系列
[00:01:02.000 --> 00:01:04.000]  很想說一個詩篇的系列
[00:01:04.000 --> 00:01:10.000]  《針研》你可以將不同的主題放在一起
[00:01:10.000 --> 00:01:13.000]  就成為一個個的訊息
[00:01:13.000 --> 00:01:17.000]  但在詩篇來說就比較困難
[00:01:17.000 --> 00:01:19.000]  但詩篇也有它的好處
[00:01:19.000 --> 00:01:23.000]  就是我們知道詩篇可以分為五部書
[00:01:23.000 --> 00:01:27.000]  而每一部書的分段都是非常明顯
[00:01:27.000 --> 00:01:29.000]  書與書之間
[00:01:29.000 --> 00:01:31.000]  你看到最後那一篇詩篇
[00:01:31.000 --> 00:01:34.000]  你能夠看到有雙重的祝福
[00:01:34.000 --> 00:01:36.000]  有雙重的阿門
[00:01:36.000 --> 00:01:38.000]  你就知道這是一個分段
[00:01:38.000 --> 00:01:41.000]  又開始另一部新的書
[00:01:41.000 --> 00:01:44.000]  而猶太人也看到
[00:01:44.000 --> 00:01:46.000]  這個詩篇的五部書
[00:01:46.000 --> 00:01:51.000]  與摩西五經有非常相似的地方
