
[00:00:00.000 --> 00:00:04.120]  長林旗的蠟燭已經點了三支
[00:00:04.120 --> 00:00:07.120]  即是說我們期盼的日子
[00:00:07.120 --> 00:00:08.720]  越來越近
[00:00:08.720 --> 00:00:10.440]  時間過得很快
[00:00:10.440 --> 00:00:12.760]  主一定會再回來
[00:00:12.760 --> 00:00:15.360]  就算主不回來
[00:00:15.360 --> 00:00:18.800]  我們的時間都一樣會消逝
[00:00:18.800 --> 00:00:21.800]  所以趁著有時間的時候
[00:00:21.800 --> 00:00:26.240]  讓我們就一起學習怎樣來侍奉主
[00:00:26.240 --> 00:00:31.120]  今天的訊息是主任牧師和堂會主席
[00:00:31.120 --> 00:00:34.040]  請我來跟大家分享的
[00:00:34.040 --> 00:00:39.320]  因為我們明年五月就要有新一屆執事的選舉
[00:00:39.320 --> 00:00:41.280]  所以是要鼓勵大家
[00:00:41.280 --> 00:00:42.760]  同心合力
[00:00:42.760 --> 00:00:48.200]  能夠起來承擔這個執事的職份
[00:00:48.200 --> 00:00:50.280]  當然想到要講執事
[00:00:50.280 --> 00:00:54.800]  最自然的經文一定是講提摩太前書
[00:00:54.800 --> 00:00:58.720]  不過我反而最先浮現在心裡面的
[00:00:58.720 --> 00:01:01.480]  就在跟執事們聊天
[00:01:01.480 --> 00:01:06.360]  跟一些在堂會裡面服侍很久的弟兄姊妹聊天
[00:01:06.360 --> 00:01:08.440]  開會的晚上
[00:01:08.440 --> 00:01:13.280]  我只想到這一段的約翰福音十三章的經文
[00:01:13.280 --> 00:01:16.560]  我覺得在一切的服侍裡面
[00:01:16.560 --> 00:01:19.840]  在一切的教會的職份裡面
[00:01:19.840 --> 00:01:23.440]  如果缺乏了約翰福音十三章
[00:01:23.440 --> 00:01:25.080]  這個榜樣
[00:01:25.080 --> 00:01:27.320]  這個氣質的話
[00:01:27.320 --> 00:01:29.520]  其實其他東西都是空談
[00:01:29.520 --> 00:01:31.960]  我很相信主在今天
[00:01:31.960 --> 00:01:34.000]  會在我們的心裡面
[00:01:34.000 --> 00:01:36.240]  再一次感動我們
[00:01:36.240 --> 00:01:38.640]  雖然我們距離祂的心意
[00:01:38.640 --> 00:01:41.800]  距離祂想我們有的氣質
[00:01:41.800 --> 00:01:43.560]  有的榜樣
[00:01:43.560 --> 00:01:45.480]  真的很飄忽
[00:01:45.480 --> 00:01:48.600]  有時候我們覺得自己真的很好
[00:01:48.600 --> 00:01:51.400]  但是有時候不知道你會不會好像我一樣
[00:01:51.400 --> 00:01:55.520]  覺得自己真的完全不堪
[00:01:55.520 --> 00:01:57.320]  完全是不消體
[00:01:57.320 --> 00:01:58.920]  不過無論如何
[00:01:58.920 --> 00:02:02.160]  我們今天既然在主的面前聚集
[00:02:02.160 --> 00:02:06.160]  我相信祂一定要向我們的心說話
[00:02:06.160 --> 00:02:08.760]  這段經文是大家很熟悉的
[00:02:08.760 --> 00:02:13.280]  通常都是在受難節的時候才說的
[00:02:13.280 --> 00:02:17.400]  那就是說做執事跟受難有什麼關係呢?
[00:02:17.400 --> 00:02:19.200]  那當然未必是
[00:02:19.200 --> 00:02:21.520]  不過我們在這裡就聽見
[00:02:21.520 --> 00:02:24.240]  主耶穌知道幾樣東西
[00:02:24.240 --> 00:02:28.120]  自己離世歸附的時候到了
[00:02:28.120 --> 00:02:32.120]  但是祂在知道這個時限的時候
[00:02:32.120 --> 00:02:33.640]  聖經又告訴我們
[00:02:33.640 --> 00:02:38.200]  祂心裡面有一種東西在這裡
[00:02:38.200 --> 00:02:40.120]  那一種就是愛
[00:02:40.120 --> 00:02:41.960]  祂愛自己的人
[00:02:41.960 --> 00:02:44.960]  甚至愛他們到底
[00:02:44.960 --> 00:02:47.560]  又再說耶穌知道
[00:02:47.560 --> 00:02:51.080]  賦予將萬有交在祂的手裡面
[00:02:51.080 --> 00:02:55.000]  又知道自己是從神出來的
[00:02:55.000 --> 00:02:59.080]  又要歸到神那裡去
[00:02:59.080 --> 00:03:01.920]  就離席站起來
[00:03:01.920 --> 00:03:04.800]  剛才生命執事幫我們讀了
[00:03:04.800 --> 00:03:07.600]  我們看見這裡有幾個知道
[00:03:07.600 --> 00:03:11.040]  知道自己的時間到了
[00:03:11.040 --> 00:03:15.720]  知道自己有賦將萬有交在祂手裡了
[00:03:15.720 --> 00:03:19.640]  知道自己是從神那裡出去的
[00:03:19.640 --> 00:03:22.200]  可以說有三個知道
[00:03:22.200 --> 00:03:25.480]  然後有一份的愛
[00:03:25.480 --> 00:03:29.200]  接著就是有一條毛巾
[00:03:29.200 --> 00:03:31.440]  有一盤的水
[00:03:31.440 --> 00:03:34.360]  我想大家很容易記得這幾樣東西
[00:03:34.360 --> 00:03:36.040]  三個知道
[00:03:36.040 --> 00:03:37.520]  一個愛
[00:03:37.520 --> 00:03:39.080]  一條毛巾
[00:03:39.080 --> 00:03:41.560]  一盤的水
[00:03:41.560 --> 00:03:45.720]  當祂知道祂的時間到了有限
[00:03:45.720 --> 00:03:49.360]  當祂知道祂的身份尊貴
[00:03:49.360 --> 00:03:53.160]  當祂的心是被愛來激勵
[00:03:53.160 --> 00:03:57.240]  祂的行動就有所不同
[00:03:57.240 --> 00:03:58.440]  親愛的
[00:03:58.440 --> 00:04:00.320]  你又知道些什麼呢?
[00:04:00.320 --> 00:04:02.240]  你對自己的認識
[00:04:02.240 --> 00:04:03.960]  對自己的定價
[00:04:03.960 --> 00:04:07.360]  對自己的身份又是怎樣看法呢?
[00:04:07.360 --> 00:04:10.520]  對自己的時間又想著怎樣管理呢?
[00:04:10.520 --> 00:04:14.520]  怎樣看自己和上主和人的關係呢?
[00:04:14.520 --> 00:04:16.840]  令我非常詫異
[00:04:16.840 --> 00:04:18.880]  也極之感動
[00:04:18.880 --> 00:04:22.520]  就是在主祂尊貴的身份
[00:04:22.520 --> 00:04:26.360]  和祂所採取的行動之間
[00:04:26.360 --> 00:04:29.760]  出現了一個極大極大的落差
[00:04:29.760 --> 00:04:32.280]  不知道你覺不覺得到呢?
[00:04:32.280 --> 00:04:34.120]  覺不覺?
