
[00:00:00.000 --> 00:00:03.360]  今日我講嘅題目就好靚
[00:00:03.360 --> 00:00:05.080]  因為係陳牧師定
[00:00:05.080 --> 00:00:07.800]  我從來冇腦可以諗到咁靚嘅題目
[00:00:07.800 --> 00:00:11.400]  佢話「譜出快樂情緒的旋律」
[00:00:11.400 --> 00:00:13.440]  所以我就唔識講
[00:00:13.440 --> 00:00:19.800]  佢就吩咐我講我啲唱歌同埋我啲工作
[00:00:19.800 --> 00:00:23.000]  我記得人梗係要講童年
[00:00:23.000 --> 00:00:26.480]  最近我講座都叫人畫幅畫
[00:00:26.480 --> 00:00:27.640]  就係佢嘅童年
[00:00:27.640 --> 00:00:30.040]  有啲人就畫有啲人就唔識畫
[00:00:30.040 --> 00:00:32.560]  但係每個人嘅畫都係唔同
[00:00:32.560 --> 00:00:34.400]  亦都好有意思
[00:00:34.400 --> 00:00:38.200]  我童年未出世嘅時候就已經有幅畫
[00:00:38.200 --> 00:00:39.560]  我爹地話畀我聽
[00:00:39.560 --> 00:00:41.760]  你知唔知我同你媽咪拍拖嘅時候
[00:00:41.760 --> 00:00:44.640]  就喺廈門鼓浪聚
[00:00:44.640 --> 00:00:48.720]  我爹地放工之後就去拍拖
[00:00:48.720 --> 00:00:50.320]  拖住我阿媽
[00:00:50.320 --> 00:00:53.360]  佢話喺黃昏嘅時候
[00:00:53.360 --> 00:00:54.960]  炊煙四起
[00:00:54.960 --> 00:00:57.040]  啲人真係煮飯有煙
[00:00:57.040 --> 00:00:59.240]  然後佢就行嗰條路
[00:00:59.240 --> 00:01:02.640]  旁邊盡係琴聲噴漲
[00:01:02.640 --> 00:01:07.440]  佢話鼓浪聚當年已經係全中國最多鋼琴嘅地方
[00:01:07.440 --> 00:01:11.520]  佢話一黃昏個個屋企都係有人彈琴
[00:01:11.520 --> 00:01:13.040]  嘩係好美妙
[00:01:13.040 --> 00:01:17.720]  所以我喺阿媽肚裏頭已經聽好多音
[00:01:17.720 --> 00:01:21.560]  可能呢啲就係所謂胎教都有原因
[00:01:21.560 --> 00:01:26.600]  咁你話有無遺傳都有
[00:01:26.600 --> 00:01:28.600]  我阿媽其實唔識彈琴
[00:01:28.600 --> 00:01:30.840]  但係有幾次佢幫我揭譜
[00:01:30.840 --> 00:01:34.040]  幫我個琴師揭譜我唔得彈琴
[00:01:34.040 --> 00:01:36.480]  我琴師竟然話你阿媽好勁
[00:01:36.480 --> 00:01:38.680]  佢竟然識得幾時揭
[00:01:38.680 --> 00:01:39.600]  唔知點解
[00:01:39.600 --> 00:01:43.080]  唔學都有啲咁嘅遺傳喺度
[00:01:43.080 --> 00:01:44.680]  咁唱歌幾時起呢
[00:01:44.680 --> 00:01:45.480]  我講俾你聽
[00:01:45.480 --> 00:01:48.080]  我小學嘅時候
[00:01:48.080 --> 00:01:51.800]  六年班嗰時叫做小學會考
[00:01:51.800 --> 00:01:54.120]  你睇下咁你知道我幾老
[00:01:54.120 --> 00:01:57.080]  小學會考都未係升中士
[00:01:57.080 --> 00:01:59.480]  咁我有個中文老師好得意
[00:01:59.480 --> 00:02:01.000]  佢係非常之愛主
[00:02:01.000 --> 00:02:06.520]  朝朝同我哋睇聖經同埋靈修先開始上堂
[00:02:06.520 --> 00:02:07.520]  中文老師
[00:02:07.520 --> 00:02:10.200]  咁佢就教我哋經文歌
[00:02:10.200 --> 00:02:12.640]  我唔知你哋識幾多首經文歌
[00:02:12.640 --> 00:02:13.440]  我講俾你聽
[00:02:13.440 --> 00:02:15.800]  其中有一首就係話
[00:02:15.800 --> 00:02:16.320]  佢話
[00:02:16.320 --> 00:02:21.880]  少年人用什麼潔淨他的行為呢
[00:02:21.880 --> 00:02:25.400]  是要遵行你的話
[00:02:25.400 --> 00:02:30.080]  呢啲完全係詩篇119篇9節
[00:02:30.080 --> 00:02:32.520]  佢話少年人用什麼潔淨他的行為
[00:02:32.520 --> 00:02:34.240]  係要遵行佢嘅話
[00:02:34.240 --> 00:02:35.880]  呢啲好容易入口
[00:02:35.880 --> 00:02:37.800]  因為又簡單
[00:02:37.800 --> 00:02:41.280]  佢日日都唱細佬歌
[00:02:41.280 --> 00:02:42.800]  係好好記性
[00:02:42.800 --> 00:02:45.040]  咁尤其另外一首就係
[00:02:45.040 --> 00:02:50.720]  他的怒氣不過是轉眼之間
[00:02:50.720 --> 00:02:56.680]  他的恩典乃是一生之久
[00:02:56.680 --> 00:03:02.640]  也屬雖然有好日
[00:03:02.640 --> 00:03:07.480]  早上便變歡呼
[00:03:07.480 --> 00:03:09.680]  呢個係神嘅怒氣
[00:03:09.680 --> 00:03:10.920]  不過係轉眼之間
[00:03:10.920 --> 00:03:12.800]  佢嘅恩典係一生之久
[00:03:12.800 --> 00:03:15.640]  呢個係詩篇30篇5節
[00:03:15.640 --> 00:03:17.720]  所以乜嘢都唔記得
[00:03:17.720 --> 00:03:19.480]  總之有啲人係嬲
[00:03:19.480 --> 00:03:20.560]  不過唔嬲得耐
[00:03:20.560 --> 00:03:22.400]  有恩典係咁長久
[00:03:22.400 --> 00:03:25.800]  呢個渴慕呢個神嘅心意
[00:03:25.800 --> 00:03:27.600]  係嗰時種落去
[00:03:27.600 --> 00:03:30.880]  所以人係好受周圍嘅人影響
[00:03:30.880 --> 00:03:32.880]  我哋一路活嘅時候
[00:03:32.880 --> 00:03:34.760]  我哋識講話識做嘢
[00:03:34.760 --> 00:03:37.760]  我哋對周圍嘅人係影響非常之大
[00:03:37.760 --> 00:03:39.320]  如果我哋用正面嘅
[00:03:39.320 --> 00:03:41.360]  我哋就散發正能量
[00:03:41.360 --> 00:03:43.440]  有啲人就係成日喺度怒氣
[00:03:43.440 --> 00:03:45.240]  嬲呀投訴人呀鬧人呀
[00:03:45.240 --> 00:03:46.320]  乜嘢都唔啱
[00:03:46.320 --> 00:03:49.200]  呢啲我就話喺屋企散發負能量
[00:03:49.200 --> 00:03:51.400]  全部人都係好淒涼
[00:03:51.400 --> 00:03:53.040]  咁我話Daddy又點啦
[00:03:53.040 --> 00:03:54.800]  我唱歌冇咩好
[00:03:54.800 --> 00:03:56.560]  不過唱得好大聲
[00:03:56.560 --> 00:03:59.560]  咁我就喺教會C班唱歌
[00:03:59.560 --> 00:04:03.320]  咁我Daddy就坐去大堂
[00:04:03.320 --> 00:04:04.920]  我喺九龍塘做禮拜
[00:04:04.920 --> 00:04:06.960]  大堂有個樓上
