
[00:00:00.000 --> 00:00:06.500]  我們很感謝神接着保羅把這一句話寫出來
[00:00:06.500 --> 00:00:08.500]  師比獸更爲有福
[00:00:08.500 --> 00:00:09.500]  我們一起禱告
[00:00:09.500 --> 00:00:11.500]  我們在天上的父神
[00:00:11.500 --> 00:00:13.000]  我們來到你面前
[00:00:13.000 --> 00:00:16.000]  讓我們存在一個謙卑順服的心
[00:00:16.000 --> 00:00:18.500]  讓我們存在一個敬畏你的心
[00:00:18.500 --> 00:00:20.500]  讓我們存在一個愛你的心
[00:00:20.500 --> 00:00:23.500]  因爲你是我們的拯救
[00:00:23.500 --> 00:00:25.000]  你是我們的磐石
[00:00:25.000 --> 00:00:26.500]  你是我們的山寨
[00:00:26.500 --> 00:00:28.500]  你是我們的神
[00:00:28.500 --> 00:00:30.000]  我們謝謝你
[00:00:30.000 --> 00:00:31.500]  祝我們今天來到你的面前
[00:00:31.500 --> 00:00:33.500]  祝讓我們能夠
[00:00:33.500 --> 00:00:35.500]  真的是好像詩人所說的
[00:00:35.500 --> 00:00:37.500]  當我們醒來的時候
[00:00:37.500 --> 00:00:39.500]  我們的見你的形象
[00:00:39.500 --> 00:00:41.500]  我們就心滿意足
[00:00:41.500 --> 00:00:43.500]  祝我們謝謝你
[00:00:43.500 --> 00:00:45.500]  求你自己用你的話來教導我們
[00:00:45.500 --> 00:00:47.000]  來激勵我們
[00:00:47.000 --> 00:00:50.500]  我們感謝禱告師父主耶穌基督的聖明
[00:00:50.500 --> 00:00:51.500]  阿們
[00:00:51.500 --> 00:00:53.500]  今天我要和大家講的
[00:00:53.500 --> 00:00:55.500]  是做神的好管家
[00:00:55.500 --> 00:00:57.500]  那麼本來我的題目
[00:00:57.500 --> 00:01:01.500]  是想要說師比壽更爲有福
[00:01:01.500 --> 00:01:02.500]  但是呢
[00:01:02.500 --> 00:01:05.500]  我自己思想這個問題思想了很久
[00:01:05.500 --> 00:01:08.500]  那麼我就在想
[00:01:08.500 --> 00:01:11.500]  因爲是的的確確
[00:01:11.500 --> 00:01:14.500]  我們上次講到以父所書第四章二十八節
[00:01:14.500 --> 00:01:16.500]  後面兩段
[00:01:16.500 --> 00:01:17.500]  後面兩句話
[00:01:17.500 --> 00:01:18.500]  那麼就講到
[00:01:18.500 --> 00:01:22.500]  其實就是講到跟我們做管家很有關係
[00:01:22.500 --> 00:01:24.500]  那麼我自己心裏面呢
[00:01:24.500 --> 00:01:25.500]  就覺得說
[00:01:25.500 --> 00:01:28.500]  那我們就講做一個好管家
[00:01:28.500 --> 00:01:32.500]  神託付我們的東西是很多的
[00:01:32.500 --> 00:01:34.500]  當我們信了主之後
[00:01:34.500 --> 00:01:35.500]  我們過去不了解
[00:01:35.500 --> 00:01:36.500]  但是我們聽了真理
[00:01:36.500 --> 00:01:38.500]  我們知道神的真理之後
[00:01:38.500 --> 00:01:42.500]  我們就曉得神託付我們的東西很多很多
[00:01:42.500 --> 00:01:44.500]  而且他要我們管理
[00:01:44.500 --> 00:01:46.500]  比方講我們的身體
[00:01:46.500 --> 00:01:47.500]  我們的心
[00:01:47.500 --> 00:01:48.500]  我們的聰明
[00:01:48.500 --> 00:01:49.500]  我們的才智
[00:01:49.500 --> 00:01:50.500]  我們的家
[00:01:50.500 --> 00:01:52.500]  如果你成立了家的話
[00:01:52.500 --> 00:01:56.500]  那麼我們的兒女都是神所賜的
[00:01:56.500 --> 00:01:59.500]  我們在地上的生命也是神所賜的
[00:01:59.500 --> 00:02:02.500]  那麼剛纔我們念生命記第八章十八節裏面
[00:02:02.500 --> 00:02:08.500]  講到說我們掙錢的能力都是神所賜的
[00:02:08.500 --> 00:02:09.500]  我今天呢
[00:02:09.500 --> 00:02:10.500]  我在分享
[00:02:10.500 --> 00:02:11.500]  我在講的呢
[00:02:11.500 --> 00:02:15.500]  我要着重是在金錢上的管理
[00:02:15.500 --> 00:02:18.500]  因爲主耶穌告訴我們
[00:02:18.500 --> 00:02:20.500]  其實我們每一個人都知道金錢是很重要的
[00:02:20.500 --> 00:02:21.500]  對不對
[00:02:21.500 --> 00:02:24.500]  另外一個很重要的就是我們的時間
[00:02:24.500 --> 00:02:25.500]  那麼時間呢
[00:02:25.500 --> 00:02:27.500]  是過去之後就回不來的了
