
[00:00:00.000 --> 00:00:04.000]  讓我們開始之前,我們先一同的禱告
[00:00:04.000 --> 00:00:06.000]  真的不負感謝你
[00:00:06.000 --> 00:00:10.000]  因為你猜拍耶穌來到這個世間
[00:00:10.000 --> 00:00:14.000]  你猜拍耶穌來是讓我們得著這個救恩
[00:00:14.000 --> 00:00:18.000]  亦都在救恩的裏面,我們重拾你的關係
[00:00:18.000 --> 00:00:21.000]  主人,你猜拍耶穌這件事是一件歷史的事實
[00:00:21.000 --> 00:00:25.000]  亦都是一個莫大的福氣對全人類
[00:00:25.000 --> 00:00:31.000]  所以主人讓我們深信你所猜拍的耶穌是真實無偽的
[00:00:31.000 --> 00:00:37.000]  亦都是能夠和我們的生命當中產生很多很美好的關係
[00:00:37.000 --> 00:00:41.000]  主人今日願你的聖靈來到我們的當中
[00:00:41.000 --> 00:00:44.000]  去做更新,做改變的工作
[00:00:44.000 --> 00:00:47.000]  讓你的話藏在我們的心裏面
[00:00:47.000 --> 00:00:51.000]  亦都讓我們不斷思想,以致生發果效
[00:00:51.000 --> 00:00:54.000]  多謝你,願你自己得著你當得的榮耀
[00:00:54.000 --> 00:00:58.000]  聽我們禱告,奉耶穌名求,阿們
[00:01:24.000 --> 00:01:27.000]  要在信仰的路上不斷地長進
[00:01:27.000 --> 00:01:33.000]  顯出各樣的善行,與蒙召的恩相稱
[00:01:33.000 --> 00:01:38.000]  現在今日那段經文裏面,彼得就將筆鋒一轉
[00:01:38.000 --> 00:01:45.000]  轉到談及耶穌的大能和他在來的真實性
[00:01:45.000 --> 00:01:51.000]  彼得身處的年代,假教師假先知四處興起
[00:01:51.000 --> 00:01:56.000]  對於耶穌的身份,他的能力,以及他的在臨
[00:01:56.000 --> 00:01:58.000]  有著不同的說法
[00:01:58.000 --> 00:02:03.000]  為此彼得在這一段經文,他要再三地去強調
[00:02:03.000 --> 00:02:10.000]  基督的福音的可靠性和持守真道
[00:02:10.000 --> 00:02:13.000]  是他鼓勵信徒要去做的事
[00:02:13.000 --> 00:02:18.000]  所以今日我們透過彼得後書的第一章
[00:02:18.000 --> 00:02:25.000]  16-21節,我們去了解主耶穌的大能和在來的真實性
[00:02:25.000 --> 00:02:29.000]  以及三個隨之而來的提醒
[00:02:29.000 --> 00:02:33.000]  我們打開經文,回到彼得後書的第一章
[00:02:33.000 --> 00:02:37.000]  我們先去讀第16-18節
[00:02:37.000 --> 00:02:42.000]  找到的時候請我們一同去讀和合本的版本
[00:02:42.000 --> 00:02:48.000]  預備,一二三,我們從前將我們主耶穌基督的大能
[00:02:48.000 --> 00:02:51.000]  和他降臨的事告訴你們
