
[00:00:00.000 --> 00:00:08.720]  在講到之前,也很想問問大家,你們最近好嗎?
[00:00:08.720 --> 00:00:21.020]  在剛剛那兩個星期,相信對於香港,甚至對於我們來說,不是一個很容易的時候,甚至很艱難。
[00:00:21.020 --> 00:00:29.420]  大埔雲福園的大火,令到很多家庭一夜之間失去了他們的至親。
[00:00:30.320 --> 00:00:41.380]  失去了他們的家園,親人和朋友,還有很多他們很珍惜的東西,很多的回憶,一下子沒有了。
[00:00:41.380 --> 00:00:54.340]  面對這些突如其來的災難,我們每天打開新聞,我們只可以看看今天有多少個家庭受影響,
[00:00:54.920 --> 00:01:01.840]  有多少人還沒找回,有多少人在火災裏面已經過世了。
[00:01:01.840 --> 00:01:11.520]  其實心裏可能真的很無力,就好像有一塊大石,扎住在自己的心口一樣,
[00:01:11.520 --> 00:01:16.560]  透不出氣,不知道大家會不會有這種感覺。
[00:01:17.800 --> 00:01:26.880]  可能你會覺得,我真的不知道可以怎樣做,或者你會覺得很彷徨,甚至你不知道你的心情怎樣去說出來。
[00:01:26.880 --> 00:01:33.720]  或者你連祈禱的時候,你一開口跟上帝說天父,然後你已經說不下去了。
[00:01:33.720 --> 00:01:42.080]  在這場災難裏面,我們發現原來人真的可以很渺小。
[00:01:43.280 --> 00:01:48.840]  我們再多的計劃和努力,原來都敵不過的是一場意外。
[00:01:48.840 --> 00:01:57.200]  我記得那時候,剛剛頭幾天的時候,我每一次去打開每一個社交媒體的時候,
[00:01:57.200 --> 00:02:01.560]  我都要深呼吸,我要做好心理準備。
[00:02:01.560 --> 00:02:06.720]  因爲你一打開不同的社交媒體的時候,你見到的就是那些親屬,
[00:02:06.720 --> 00:02:12.480]  不停在帖子裏面說,我找不到自己的家人,有沒有人見過他們。
[00:02:12.840 --> 00:02:19.120]  我很想見回他們,那種無力感,那種悲痛,你沒有辦法去說出來。
[00:02:19.120 --> 00:02:25.920]  而當時很多社交媒體,甚至我身邊的人都會問,神啊,你去了哪裏?
[00:02:25.920 --> 00:02:28.760]  爲什麼你會讓這場大火發生?
[00:02:28.760 --> 00:02:35.400]  甚至有人說,上帝你不是可以用一場大雨就可以淋溼它的嗎?
[00:02:35.400 --> 00:02:37.560]  爲什麼你要這樣做?
[00:02:38.640 --> 00:02:43.320]  或者在你的心裏面,可能你都會去問這句話,爲什麼?
[00:02:43.320 --> 00:02:45.200]  爲什麼要發生?
[00:02:45.200 --> 00:02:47.480]  爲什麼神你不出手?
[00:02:47.480 --> 00:02:53.880]  而在這些苦難的面前,我們有很多解不開的問題在我們的心裏面,
[00:02:53.880 --> 00:02:57.520]  甚至我們會懷疑和氣餒。
[00:02:57.520 --> 00:03:02.720]  如果基督已經復活作王的話,
[00:03:02.720 --> 00:03:07.080]  那爲什麼苦難仍然會繼續?
[00:03:09.640 --> 00:03:11.640]  今天我們要說的但爾裏,
[00:03:11.640 --> 00:03:15.880]  他所面對的環境,同樣一樣的艱難,
[00:03:15.880 --> 00:03:20.040]  甚至是我們完全估計不了。
[00:03:20.040 --> 00:03:25.600]  但爾裏的國家其實一早已經被侵略,被破碎,
[00:03:25.600 --> 00:03:29.760]  他和很多百姓都一樣被撈到外邦,
[00:03:29.760 --> 00:03:34.440]  住在一個完全陌生,沒有自由,沒有希望的地方,
[00:03:34.440 --> 00:03:37.960]  他的國家變得一片荒涼。
[00:03:39.000 --> 00:03:42.440]  生活的裏面,他其實都找不到一些曙光。
[00:03:42.440 --> 00:03:46.280]  面對這些無力的現實,
[00:03:46.280 --> 00:03:49.320]  他不僅是肉身在受苦,
[00:03:49.320 --> 00:03:52.760]  其實他心裏面都存在着很多的懷疑,
[00:03:52.760 --> 00:03:54.840]  很多的焦慮,
[00:03:54.840 --> 00:03:58.280]  甚至他對未來都充滿着很多的疑問。
[00:03:58.280 --> 00:04:02.760]  但是在這個背景下,
[00:04:02.760 --> 00:04:05.320]  但爾裏的回應是怎樣的?
[00:04:05.320 --> 00:04:07.880]  他如何去堅持他的信仰?
[00:04:08.120 --> 00:04:10.320]  他如何去和神對話?
[00:04:10.320 --> 00:04:15.840]  今天我們講的經文是但爾裏書九章一至十九節,
[00:04:15.840 --> 00:04:18.520]  在講到之前,我們一起祈禱。
[00:04:18.520 --> 00:04:24.680]  天父上帝,多謝禰讓我們仍然可以回到教會,
[00:04:24.680 --> 00:04:26.480]  去聽禰的話語,
[00:04:26.480 --> 00:04:30.760]  求禰也讓我們心裏面各樣不同的焦慮,
[00:04:30.760 --> 00:04:32.400]  或者各樣的煩惱,
[00:04:32.400 --> 00:04:34.200]  可以暫時放下,
[00:04:34.200 --> 00:04:36.880]  我們能夠聚焦在禰的面前。
[00:04:37.560 --> 00:04:41.720]  求禰也讓今天的信息能夠和我們每一個人去說話,
[00:04:41.720 --> 00:04:44.720]  因爲上帝禰的話語是充滿着能力,
