
[00:00:00.000 --> 00:00:05.280]  今天的講道題目叫「此國彼國」
[00:00:05.280 --> 00:00:09.360]  近這一年近一陣子
[00:00:09.360 --> 00:00:11.980]  大家不看新聞都會知道
[00:00:11.980 --> 00:00:15.500]  都被很多不開心的新聞影響了你
[00:00:15.500 --> 00:00:17.640]  都要看一看
[00:00:17.640 --> 00:00:22.240]  主席上來都難免地要提一提
[00:00:22.240 --> 00:00:25.500]  這些世界事件都實在影響著我們
[00:00:25.500 --> 00:00:27.400]  雖然好像很嚴遠
[00:00:27.400 --> 00:00:31.040]  但都令到我們的心很不舒服
[00:00:31.040 --> 00:00:32.660]  發生這些事情
[00:00:32.660 --> 00:00:35.960]  所以今次講道
[00:00:35.960 --> 00:00:37.920]  都無可避免地
[00:00:37.920 --> 00:00:40.200]  我用了這個作為一個引子
[00:00:40.200 --> 00:00:42.380]  帶大家進去看
[00:00:42.380 --> 00:00:44.040]  我們心中一些的真理
[00:00:44.040 --> 00:00:47.200]  我不是去討論研究
[00:00:47.200 --> 00:00:52.000]  這個原本的伊斯蘭國的話題
[00:00:52.000 --> 00:00:54.500]  只不過是提一提一些資料
[00:00:54.500 --> 00:01:00.500]  無意去作出評論或者一些意見
[00:01:00.500 --> 00:01:05.860]  藉著它帶我們去認識我們的信仰是怎樣
[00:01:05.860 --> 00:01:08.740]  為何要藉著伊斯蘭國來講呢
[00:01:08.740 --> 00:01:11.060]  因為大家都看新聞看到
[00:01:11.060 --> 00:01:13.220]  大家都對它所做的事情
[00:01:13.220 --> 00:01:15.760]  都有一些見到
[00:01:15.760 --> 00:01:16.780]  在新聞裏面
[00:01:16.780 --> 00:01:19.780]  都有沒有入到你的心
[00:01:19.780 --> 00:01:21.220]  都有是嗎
[00:01:21.220 --> 00:01:23.060]  所以今日再講多一點這個
[00:01:23.060 --> 00:01:28.380]  希望你能夠聯繫到一些真理上的問題
[00:01:28.380 --> 00:01:29.700]  這個伊斯蘭國
[00:01:29.700 --> 00:01:32.740]  我們見到它在新聞上
[00:01:32.740 --> 00:01:35.220]  都稱呼中文叫伊斯蘭國
[00:01:35.220 --> 00:01:37.780]  英文會叫ISIS
[00:01:37.780 --> 00:01:42.220]  英文亦有另一個叫法叫ISIL
[00:01:42.220 --> 00:01:45.300]  如果你有心看詳細一點
[00:01:45.300 --> 00:01:49.580]  ISIS就是Islamic State of Iraq and Syria
[00:01:49.580 --> 00:01:51.980]  即是伊拉克及敘利亞
[00:01:51.980 --> 00:01:57.780]  即是在那個位置興起的伊斯蘭宗教
[00:01:57.780 --> 00:02:00.100]  說要立國
[00:02:00.100 --> 00:02:05.140]  或者叫Islamic State of Iraq and Lebanon
[00:02:05.140 --> 00:02:11.380]  即是他們用的字是指地中海東面的地帶
[00:02:11.380 --> 00:02:13.300]  所以簡稱叫ISIL
[00:02:13.300 --> 00:02:15.700]  其實它是甚麼來的呢
[00:02:15.700 --> 00:02:17.580]  即是經常聽到很多恐怖襲擊
[00:02:17.580 --> 00:02:18.940]  都有很多恐怖襲擊
[00:02:18.940 --> 00:02:22.220]  譬如敘利亞都出幾個 炸這裏也炸那裏
[00:02:22.220 --> 00:02:25.660]  它好似其實都沒有分別
[00:02:25.660 --> 00:02:27.140]  起初是沒有分別的
[00:02:27.140 --> 00:02:30.020]  其實它起初都是一個普通的恐怖組織
[00:02:30.020 --> 00:02:33.180]  為了他們自己的一些理想
[00:02:33.180 --> 00:02:37.860]  用這些手法去做事
[00:02:37.860 --> 00:02:43.140]  他們最起初做的事情為甚麼呢
[00:02:43.140 --> 00:02:48.180]  其實在伊拉克、伊朗那邊都是伊斯蘭教
[00:02:48.180 --> 00:02:52.620]  但是伊斯蘭教他們又分順理派又分什理派
[00:02:52.620 --> 00:02:58.860]  然後有人當了政府上邊的領袖的時候
[00:02:58.860 --> 00:03:00.380]  當然他有他的施政
[00:03:00.380 --> 00:03:02.460]  他有他的做法
[00:03:02.460 --> 00:03:04.100]  我們都聽過
[00:03:04.100 --> 00:03:07.500]  很多時候我們西方社會或者現代社會
[00:03:07.500 --> 00:03:11.940]  都很崇尚一個文明自由的制度
[00:03:11.940 --> 00:03:16.620]  嘗試去影響這些國家
[00:03:16.620 --> 00:03:19.860]  希望他們走上一個這樣的民主制度
