
[00:00:00.000 --> 00:00:17.000]  有一日孔子的學生子路就去問他的老師一個問題,他說我們應該怎樣去侍奉鬼神呢?
[00:00:17.000 --> 00:00:42.000]  孔子就說未能是人,焉能是鬼,連在生的那些人都未能好好地去服侍祂,又哪有時間去想要去服侍那些鬼神呢?
[00:00:42.000 --> 00:00:55.000]  子路又再問,到底甚麼是死呢?死亡是甚麼事呢?
[00:00:55.000 --> 00:01:06.000]  孔子的回答和剛才的回答一樣,未知生,焉知死呢?
[00:01:06.000 --> 00:01:23.000]  連我們人生的道理都未能夠想得清清楚楚,還哪有時間去理會死亡的事呢?
[00:01:23.000 --> 00:01:46.000]  到底孔子是否不知道死亡是甚麼,到底孔子是否很怕死亡,所以避而不談死亡的事,還是孔子是一個務實的主義者,或者是一個存在主義者?
[00:01:46.000 --> 00:02:06.000]  他很想去跟他的學生說,在儒家的思想裏面,就是我們要去務實地去活好我們當下的生活,先做好這件事,如果這件事都未做好的話,就不要去想一些未來未發生的事。
[00:02:06.000 --> 00:02:35.000]  有可能孔子是有這樣的想法,不過未知生,焉知死,這種儒家思想一直流傳下去的時候,可能就令到我們很多中國人有少少的誤解,不如我們不要去說那麼多關於死亡的事了,避而不談。
[00:02:35.000 --> 00:03:01.000]  越是不說就越是不知,越是不知就越是恐懼,所以在中國人的社會裏面,我們很少去說人死了之後的事情,因為我們覺得不吉利,最好就不要說那麼多。
[00:03:01.000 --> 00:03:30.000]  但是在基督教的信仰裏面,剛剛相反,有沒有想過?在基督教的信仰裏面剛剛相反,在基督教的信仰裏面,我們一定要去說死亡,如果孔子說未知生焉知死,在基督教的信仰裏面,就是未知死又焉知生呢?
[00:03:30.000 --> 00:03:48.000]  如果我們不是很清楚去明白人死了之後要去那裏,我又怎樣能夠好好地去生活下去呢?這個是基督教的思想。
[00:03:48.000 --> 00:04:02.000]  我們是要去明白耶穌基督的死,以致到我們作為基督徒,我們有一個生存的盼望。
[00:04:02.000 --> 00:04:20.000]  正是因為這樣,所以在貼撒羅尼加前書,保羅就對著當時的教會,跟他們去說道有關於人死了之後的事情。
[00:04:20.000 --> 00:04:40.000]  不單止未信主的人,對於死亡是有很多的不清楚,不了解,就算是回了教會,信了耶穌的人,有時候我們對於死亡這個課題,都有一些不了解,不清晰。
[00:04:40.000 --> 00:04:54.000]  所以在以下這短短的二十分鐘的時間,我們嘗試就從貼撒羅尼加前書第四章這段經文,來去了解死亡的真相。
[00:04:54.000 --> 00:05:04.000]  這段經文,在差不多每一次我們去舉行基督教的安息禮拜,都會重讀的經文。
[00:05:04.000 --> 00:05:16.000]  我們就花些時間去了解。在這段經文裏面,只是講了一個的思想告訴我們,是關於死亡的。
[00:05:16.000 --> 00:05:27.000]  那個的理解就是,死亡是什麼呢?是一個去到一個更好的地方的一個中途站。
[00:05:27.000 --> 00:05:35.000]  死亡是去到一個更好的地方的一個中途站。
[00:05:35.000 --> 00:05:44.000]  所以,我們就分開兩方面去理解死亡。
[00:05:44.000 --> 00:05:53.000]  第一,死亡並不是一個終站。第二,死亡是會帶給我們有盼望。
[00:05:53.000 --> 00:06:03.000]  第一方面,死亡並不是終站。死亡並不是人生的終點站。
[00:06:03.000 --> 00:06:13.000]  我們聽了很多,在我們的社會裏面,人死如燈滅。
