
[00:00:00.000 --> 00:00:04.000]  希望大家都會感覺日子過得很快
[00:00:04.000 --> 00:00:09.000]  不知不覺將要踏入2016年的2月了
[00:00:09.000 --> 00:00:15.000]  亦都是我們的農曆新年已經將近了
[00:00:15.000 --> 00:00:20.000]  在這裡也預祝大家有一個蒙恩的農曆新年
[00:00:25.000 --> 00:00:33.000]  在上次我講到C篇23篇上半部頭三節
[00:00:33.000 --> 00:00:38.000]  講題是「踏使我的靈魂甦醒」
[00:00:38.000 --> 00:00:42.000]  「甦醒」就是「復興」這個字的意思
[00:00:42.000 --> 00:00:47.000]  我們今年的主題就是「尋求復興」
[00:00:47.000 --> 00:00:50.000]  「復興」是什麼意思呢?
[00:00:50.000 --> 00:00:52.000]  怎樣才算是「復興」呢?
[00:00:52.000 --> 00:00:55.000]  跟大家溫習一下
[00:00:55.000 --> 00:01:00.000]  「復興」就是人的靈甦醒過來
[00:01:00.000 --> 00:01:05.000]  我亦引用了兩位聖經學者的一些定義
[00:01:05.000 --> 00:01:12.000]  第一「復興」就是神的喚醒臨到他的子民
[00:01:12.000 --> 00:01:14.000]  觸動他們的心
[00:01:14.000 --> 00:01:20.000]  將神的恩典深化在他們的生命裡
[00:01:20.000 --> 00:01:25.000]  被神復興的人就會活出神的心意
[00:01:25.000 --> 00:01:27.000]  這是巴赫所說的
[00:01:27.000 --> 00:01:31.000]  第二「復興」就是神的子民
[00:01:31.000 --> 00:01:36.000]  醒覺到他們真正的本質和人生目標
[00:01:36.000 --> 00:01:41.000]  被神復興的人就會追求過聖潔的生活
[00:01:41.000 --> 00:01:44.000]  和履行傳福音的大使命
[00:01:44.000 --> 00:01:47.000]  這是高文所說的
[00:01:51.000 --> 00:01:57.000]  這篇詩的上半部是講述作者大衛
[00:01:57.000 --> 00:02:00.000]  他經歷過在神裡的那種安穩
[00:02:00.000 --> 00:02:02.000]  是怎樣的安穩呢?
[00:02:02.000 --> 00:02:06.000]  就好像羊躺臥在青草地上
[00:02:06.000 --> 00:02:09.000]  安潔在平靜的溪水旁
[00:02:09.000 --> 00:02:14.000]  那種平靜安穩的恩典
[00:02:14.000 --> 00:02:20.000]  因此他決定一生全心去依靠神
[00:02:20.000 --> 00:02:22.000]  就好像羊一樣
[00:02:22.000 --> 00:02:29.000]  是全心完全依靠神來生活一樣
[00:02:29.000 --> 00:02:33.000]  我們看看詩篇23篇第三節
[00:02:33.000 --> 00:02:38.000]  大衛說「他使我的靈魂蘇醒」
[00:02:38.000 --> 00:02:47.000]  我可以明白大衛的心和靈都很清楚知道
[00:02:47.000 --> 00:02:50.000]  只要他全心依靠神
[00:02:50.000 --> 00:02:53.000]  神必定會一生看顧他
[00:02:53.000 --> 00:02:55.000]  會保守他
[00:02:55.000 --> 00:02:59.000]  縱使前面的路很崎嶇難行
[00:02:59.000 --> 00:03:06.000]  但是他知道深信神仍然滿滿有恩典
[00:03:06.000 --> 00:03:09.000]  神的福氣會跟隨著他
[00:03:09.000 --> 00:03:14.000]  這也是我今天想和大家一起學的功課
[00:03:14.000 --> 00:03:17.000]  就是在我們的生活裡
[00:03:17.000 --> 00:03:21.000]  這條生活的路雖然會很崎嶇難行
[00:03:21.000 --> 00:03:27.000]  但是神必定會用他的恩典慈愛
