
[00:00:00.000 --> 00:00:05.440]  在我做工的地方,我們在上個星期開會
[00:00:05.440 --> 00:00:09.880]  開會的時候,也不只是談公事,也會聊聊天
[00:00:09.880 --> 00:00:14.680]  我們的帶領者提出兩個問題
[00:00:14.680 --> 00:00:22.000]  他就說,你收過最有意義的禮物是什麼呢?
[00:00:22.000 --> 00:00:24.480]  他當然特別說是聖誕禮物
[00:00:24.480 --> 00:00:29.240]  其實我的分享裡面,他說很難想像
[00:00:29.240 --> 00:00:31.600]  因為我家裡也不是信耶穌的
[00:00:31.600 --> 00:00:36.440]  聖誕禮物,所以我就想到是一雙皮鞋
[00:00:36.440 --> 00:00:37.200]  為什麼呢?
[00:00:37.200 --> 00:00:40.640]  因為我們那個年代,就是新年之前
[00:00:40.640 --> 00:00:43.840]  你才會一年買一雙鞋,就是那個時候
[00:00:43.840 --> 00:00:47.920]  我就不覺得有什麼,但是後來我再想一下
[00:00:47.920 --> 00:00:49.920]  其實也不是
[00:00:49.920 --> 00:00:53.840]  其實禮物就是我在大學畢業的時候
[00:00:53.840 --> 00:00:56.880]  我就進去神學院讀書
[00:00:56.880 --> 00:00:59.840]  我爸爸那時候是不信耶穌的
[00:00:59.840 --> 00:01:02.840]  但是不要緊,大學你也讀完了
[00:01:02.840 --> 00:01:05.240]  你說你去讀神學,你就去讀神學吧
[00:01:05.240 --> 00:01:06.240]  他也沒什麼意思
[00:01:06.240 --> 00:01:09.480]  但是突然之間,我回到家裡
[00:01:09.480 --> 00:01:11.640]  他給我一件東西
[00:01:11.640 --> 00:01:18.840]  送了一個天梳的自動防水不鏽鋼
[00:01:18.840 --> 00:01:20.840]  那個時候是很貴的東西
[00:01:20.840 --> 00:01:27.080]  這個可以說是他對他的兒子的一個期望
[00:01:27.080 --> 00:01:28.520]  一個很貴重的
[00:01:28.520 --> 00:01:30.400]  雖然他說我不明白
[00:01:30.400 --> 00:01:32.240]  當然他不是真的這麼同意
[00:01:32.240 --> 00:01:36.440]  你為什麼不讀完書,你去找一份工作去讀神學呢?
[00:01:36.440 --> 00:01:39.480]  但是他也是對他的兒子的一個期望
[00:01:39.480 --> 00:01:42.680]  我們收取禮物,我們送禮物的時候
[00:01:42.680 --> 00:01:46.240]  是表示我們對對方的一個期望
[00:01:46.240 --> 00:01:48.440]  我們對對方的一個認識
[00:01:48.440 --> 00:01:51.080]  接受禮物
[00:01:51.080 --> 00:01:53.640]  但是同時,當我們年紀大了
[00:01:53.640 --> 00:01:55.640]  我們會想到是送禮物
[00:01:55.640 --> 00:01:57.440]  所以我們開會的時候
[00:01:57.440 --> 00:01:59.280]  就問另一個問題
[00:01:59.280 --> 00:02:00.440]  那個問題就說
[00:02:00.440 --> 00:02:03.640]  如果錢不是問題的時候
[00:02:03.640 --> 00:02:05.240]  如果錢不是問題的時候
[00:02:05.240 --> 00:02:08.040]  你會給你心愛的人
[00:02:08.040 --> 00:02:10.560]  你會送一份什麼樣的禮物呢?
[00:02:10.560 --> 00:02:13.120]  這個真的更難想像
[00:02:13.120 --> 00:02:14.520]  我不知道在這個時候
[00:02:14.520 --> 00:02:18.440]  你心裡面,你最愛的人是誰呢?
[00:02:18.440 --> 00:02:20.240]  是你的配偶,是你的父母
[00:02:20.240 --> 00:02:24.320]  是你的兒女,或者你未來的配偶
[00:02:24.320 --> 00:02:25.840]  如果錢不是問題
[00:02:25.840 --> 00:02:26.920]  你會送什麼給他
[00:02:26.920 --> 00:02:30.120]  當然同樣的考量也是
[00:02:30.120 --> 00:02:31.840]  有時候我們不是說他需要什麼
[00:02:31.840 --> 00:02:34.840]  如果對方什麼都有的時候
[00:02:34.840 --> 00:02:35.840]  你會想想
[00:02:35.840 --> 00:02:40.440]  送什麼能夠配得上他的身份
[00:02:40.440 --> 00:02:43.720]  在剛才我們所讀過的一段英文
[00:02:43.720 --> 00:02:46.320]  在《馬太福音》第二章第十一節
[00:02:46.320 --> 00:02:48.120]  我們會見到的
[00:02:48.120 --> 00:02:51.720]  就是東方的博士
[00:02:51.720 --> 00:02:55.720]  來到房子
[00:02:55.720 --> 00:02:59.920]  看見小孩子和他母親瑪利亞
[00:02:59.920 --> 00:03:06.320]  就俯伏敬拜這個小孩子
[00:03:06.320 --> 00:03:07.640]  揭開寶盒
[00:03:07.640 --> 00:03:12.920]  拿黃金、乳香、抹藥為禮物獻給他
[00:03:12.920 --> 00:03:16.520]  東方的幾個博士
[00:03:16.520 --> 00:03:19.320]  這幾個博士我不知道他們是怎樣讀回來的
[00:03:19.320 --> 00:03:19.920]  但我們不知道
[00:03:19.920 --> 00:03:21.920]  其實聖經說他們是一個智者
[00:03:21.920 --> 00:03:24.520]  他們是有智慧的人
[00:03:24.520 --> 00:03:27.720]  他們會看見世代的需要
[00:03:27.720 --> 00:03:30.920]  可能他會仰觀天象
[00:03:30.920 --> 00:03:32.720]  看見一個明星照耀
[00:03:32.720 --> 00:03:35.920]  覺得有一位君王要降生
[00:03:35.920 --> 00:03:39.520]  很多的聖經學者就在那個年代的時候
[00:03:39.520 --> 00:03:43.520]  其實人是想尋找出路
[00:03:43.520 --> 00:03:46.320]  羅馬是一個很強的政權
[00:03:46.320 --> 00:03:49.920]  但當然很多人都在鐵蹄之下
[00:03:49.920 --> 00:03:54.520]  而西方的哲學也好像找不到出路
[00:03:54.520 --> 00:03:58.320]  在猶太的宗教裏面就留為這個律法主義
[00:03:58.320 --> 00:04:02.320]  他們期望能夠有一個明君的降世
[00:04:02.320 --> 00:04:03.920]  其實和中原都很相似
[00:04:03.920 --> 00:04:06.720]  我們都經常去等一位明君
