
[00:00:00.000 --> 00:00:02.240]  今年我們教會的主題是
[00:00:02.240 --> 00:00:06.540]  創造文化 影響世代
[00:00:06.540 --> 00:00:09.800]  為什麼我們選擇這個主題呢
[00:00:09.800 --> 00:00:12.060]  因為自從Cindy Jacob來到我們教會
[00:00:12.060 --> 00:00:14.160]  prophesize說我們教會
[00:00:14.160 --> 00:00:17.400]  會成為一個有影響力的教會之後
[00:00:17.400 --> 00:00:19.400]  我們就一直在思想一件事情
[00:00:19.400 --> 00:00:23.640]  怎麼樣在這樣一個遠離神的世代裡面
[00:00:23.640 --> 00:00:29.240]  能夠積極正面的帶來一些影響力呢
[00:00:29.240 --> 00:00:31.100]  除了禱告之外
[00:00:31.100 --> 00:00:33.400]  除了參與社區之外
[00:00:33.400 --> 00:00:37.700]  除了進入影響世界的七大領域之外
[00:00:37.700 --> 00:00:40.440]  我們越來越看見文化
[00:00:40.440 --> 00:00:43.900]  是一個非常重要的關鍵
[00:00:43.900 --> 00:00:45.800]  首先我們第一點來看到
[00:00:45.800 --> 00:00:50.440]  文化的影響力
[00:00:50.440 --> 00:00:52.200]  什麼是文化
[00:00:52.200 --> 00:00:57.900]  簡單的說文化就是一個社會的價值觀
[00:00:57.900 --> 00:01:03.840]  文化就是一個社會的生活方式
[00:01:03.840 --> 00:01:08.700]  每一個社區都有它不同的文化在那裡
[00:01:08.700 --> 00:01:13.340]  就好像你到海灘你就會打赤膊
[00:01:13.340 --> 00:01:15.040]  如果你穿著西裝
[00:01:15.040 --> 00:01:16.700]  打著領帶躺在沙灘上
[00:01:16.700 --> 00:01:19.800]  人家覺得你是神經病
[00:01:19.800 --> 00:01:22.000]  反過來當你來到教會
[00:01:22.000 --> 00:01:24.740]  你一定穿戴整齊
[00:01:24.740 --> 00:01:26.540]  如果你打赤膊走進教會
[00:01:26.540 --> 00:01:28.460]  一定有人瞪你一眼
[00:01:28.460 --> 00:01:29.200]  對不對
[00:01:29.200 --> 00:01:31.700]  太不成體統了
[00:01:31.700 --> 00:01:38.740]  文化就決定了我們的生活方式跟型態
[00:01:38.740 --> 00:01:42.800]  早期的美國是一個基督教立國的國家
[00:01:42.800 --> 00:01:47.440]  所以基督教文化一直是一個主流的文化
[00:01:47.440 --> 00:01:50.660]  在那個時候就算你不是基督徒
[00:01:50.660 --> 00:01:54.700]  你也是會按照聖經的原則來生活
[00:01:54.700 --> 00:01:57.400]  因為那就是主流文化
[00:01:57.400 --> 00:01:59.200]  不管你是不是基督徒
[00:01:59.200 --> 00:02:02.760]  你都會按照聖經的原則去做
[00:02:02.760 --> 00:02:05.700]  你在學校一定會參加禱告
[00:02:05.700 --> 00:02:08.000]  無論你是不是基督徒都會禱告
[00:02:08.000 --> 00:02:08.460]  為什麼
[00:02:08.460 --> 00:02:10.940]  因為那是一個主流文化
[00:02:10.940 --> 00:02:14.960]  你會做那文化要你去做的事情
[00:02:14.960 --> 00:02:19.240]  而現在我們看見美國已經進入所謂的後基督教時代
[00:02:19.240 --> 00:02:20.740]  什麼叫後基督教時代
[00:02:20.740 --> 00:02:22.060]  那個意思就是
[00:02:22.060 --> 00:02:26.940]  基督教文化已經不再是美國的主流文化
[00:02:26.940 --> 00:02:29.800]  現在在主導美國文化的
[00:02:29.800 --> 00:02:34.060]  是所謂的世俗主義以及人本主義的思想
[00:02:34.060 --> 00:02:37.660]  在主導美國的文化
[00:02:37.660 --> 00:02:40.200]  所以以前在基督教文化之下
[00:02:40.200 --> 00:02:43.000]  你覺得很自然而然做的事情
[00:02:43.000 --> 00:02:46.000]  如今就不見得帶來同樣的果效
[00:02:46.000 --> 00:02:50.400]  而事實上有時候會帶來一些衝突的
[00:02:50.400 --> 00:02:52.940]  就譬如說資本主義
[00:02:52.940 --> 00:02:59.160]  當資本主義在基督教的文化的影響下在發展的時候
[00:02:59.160 --> 00:03:03.160]  你看見基本主義的確發展它的優點
[00:03:03.160 --> 00:03:07.600]  它的確能夠帶來個人潛能的發揮
[00:03:07.600 --> 00:03:11.460]  它能夠帶來社區經濟的成長
[00:03:11.460 --> 00:03:13.900]  因為它按照聖經的文化
[00:03:13.900 --> 00:03:17.240]  聖經的原則來運作
[00:03:17.240 --> 00:03:20.300]  可是一旦資本主義進入到現今的世代
[00:03:20.300 --> 00:03:24.100]  到現今世俗主義人本主義的文化當中的時候
[00:03:24.100 --> 00:03:26.900]  就發現資本主義出了問題了
[00:03:26.900 --> 00:03:29.400]  就變成貪婪主義了
[00:03:29.400 --> 00:03:33.640]  為什麼2008年銀行倒閉的事情發生
[00:03:33.640 --> 00:03:38.600]  因為人不再按照聖經的原則來生活了
[00:03:38.600 --> 00:03:42.640]  人只是尋求自己的益處
[00:03:42.640 --> 00:03:46.500]  譬如現在最流行的話題槍枝管制
[00:03:46.500 --> 00:03:50.000]  以前在基督教的文化之下
[00:03:50.000 --> 00:03:54.240]  槍枝管制是不需要太多的律法的
[00:03:54.240 --> 00:03:56.400]  因為人們還是無論如何
[00:03:56.400 --> 00:03:57.540]  就算不是基督徒
[00:03:57.540 --> 00:04:01.800]  他還是按照聖經的原則來生活
[00:04:01.800 --> 00:04:03.800]  但如今當我們進入到
[00:04:03.800 --> 00:04:07.400]  世俗主義人本主義的文化當中的時候
[00:04:07.400 --> 00:04:12.340]  我們就看見槍枝成為很嚴重的問題了
[00:04:12.340 --> 00:04:18.540]  這一切都是因為一個主導社會的文化
[00:04:18.540 --> 00:04:21.040]  開始改變了
[00:04:21.040 --> 00:04:25.440]  所以今天我們若想影響世代
[00:04:25.440 --> 00:04:30.400]  自終我們一定要創造新的文化
[00:04:30.400 --> 00:04:34.140]  事實上如果你不創造新的文化的話
[00:04:34.140 --> 00:04:34.860]  那我告訴你
[00:04:34.860 --> 00:04:38.840]  自終教會甚至基督徒
[00:04:38.840 --> 00:04:43.400]  也同樣會跟隨世界的文化潮流而走
[00:04:43.400 --> 00:04:45.960]  因為那是主流文化
[00:04:45.960 --> 00:04:47.740]  有時在過去
[00:04:47.740 --> 00:04:49.700]  基督教文化是主流文化的時候
[00:04:49.700 --> 00:04:50.940]  不管你是基督徒、非基督徒
[00:04:50.940 --> 00:04:53.740]  都按照聖經的原則去做
[00:04:53.740 --> 00:04:56.940]  如今世俗主義跟人本主義
[00:04:56.940 --> 00:04:58.240]  是主流文化的時候
[00:04:58.240 --> 00:04:59.040]  你發現一個現象
[00:04:59.040 --> 00:05:00.000]  無論基督徒、非基督徒
[00:05:00.000 --> 00:05:02.600]  也照樣按照世俗主義、人本主義去走
[00:05:02.600 --> 00:05:06.300]  因為這就是主流文化所帶來的影響
[00:05:06.300 --> 00:05:09.660]  如果今天我們不創造新的文化
[00:05:09.660 --> 00:05:14.800]  我們必然走在這個世界的文化當中
[00:05:14.800 --> 00:05:19.160]  當然創造新文化不是一件簡單的事情
[00:05:19.160 --> 00:05:21.960]  這是經過很長遠的過程
[00:05:21.960 --> 00:05:25.000]  今天這個講章不是只有一個禮拜準備出來的
[00:05:25.000 --> 00:05:27.200]  我花了很長的時間
[00:05:27.200 --> 00:05:30.460]  讀了很多的書整理出來的
[00:05:30.460 --> 00:05:31.340]  今天很多的話
[00:05:31.340 --> 00:05:33.400]  今天所講的話是經過很久的思想
[00:05:33.400 --> 00:05:36.100]  才整理出一句話出來的
[00:05:36.100 --> 00:05:39.940]  值得你寫下來有些東西
[00:05:39.940 --> 00:05:41.300]  這也會影響到我們教會
[00:05:41.300 --> 00:05:47.340]  長遠在前面我們的道路跟我們的方向的
[00:05:47.340 --> 00:05:51.200]  我們看見文化的影響力是很重要的
[00:05:51.200 --> 00:05:55.940]  今天雖然創造新文化是個長遠的過程
[00:05:55.940 --> 00:05:58.000]  但至少我常常覺得
[00:05:58.000 --> 00:06:01.260]  應該先從我們教會開始吧
[00:06:01.260 --> 00:06:03.640]  先從我們自己開始吧
[00:06:03.640 --> 00:06:05.640]  如果今天我們在教會當中
[00:06:05.640 --> 00:06:08.460]  我們都不能夠活出一個新的文化
[00:06:08.460 --> 00:06:10.100]  如果今天在教會當中
[00:06:10.100 --> 00:06:12.540]  我們都不能活出一個新的生活型態
[00:06:12.540 --> 00:06:16.940]  那我們怎麼能夠說我們去影響世代呢
[00:06:16.940 --> 00:06:20.400]  文化的影響力是太大了
[00:06:20.400 --> 00:06:21.900]  第二點我要講到
[00:06:21.900 --> 00:06:25.860]  為什麼今天教會失去影響力呢
[00:06:25.860 --> 00:06:28.260]  為什麼教會失去影響力
[00:06:28.260 --> 00:06:32.160]  為什麼教會對社區失去影響力
[00:06:32.160 --> 00:06:38.440]  為什麼教會對社區的文化失去了主導權呢
[00:06:38.440 --> 00:06:40.440]  最主要有兩個原因
[00:06:40.440 --> 00:06:41.700]  第一個原因
[00:06:41.700 --> 00:06:47.360]  因為信仰已經變成了宗教儀式
[00:06:47.360 --> 00:06:53.460]  多少時候信仰只是變成一個宗教活動而已
[00:06:53.460 --> 00:06:56.500]  在北美我們看見多少的基督徒
[00:06:56.500 --> 00:07:00.200]  只是把信仰當作是禮拜天的活動而已
[00:07:00.200 --> 00:07:01.760]  不是嗎
[00:07:01.760 --> 00:07:03.640]  禮拜一到禮拜六
[00:07:03.640 --> 00:07:05.760]  我們忙別的事情
[00:07:05.760 --> 00:07:09.700]  我們的心思意念也在別的事情上
[00:07:09.700 --> 00:07:11.300]  只有禮拜天
[00:07:11.300 --> 00:07:15.060]  其實只有禮拜天早上
[00:07:15.060 --> 00:07:18.940]  而且如果沒有別的事的話
[00:07:18.940 --> 00:07:21.400]  我們才會來到教會
[00:07:21.400 --> 00:07:23.040]  坐一下禮拜
[00:07:23.040 --> 00:07:27.900]  然後希望牧師講一篇好道給我們聽
[00:07:27.900 --> 00:07:30.160]  才沒有白來一趟
[00:07:30.160 --> 00:07:31.760]  當然最重要還不是這些
[00:07:31.760 --> 00:07:34.760]  最重要的是有機會跟弟兄姊妹見一下
[00:07:34.760 --> 00:07:38.200]  我們一個禮拜都沒見好多話要講
[00:07:38.200 --> 00:07:43.240]  你急忙找你所熟悉的弟兄姊在分享交通聊天
[00:07:43.240 --> 00:07:45.040]  事實上在你的信仰生活當中
[00:07:45.040 --> 00:07:48.300]  你發現你直接跟神有溝通
[00:07:48.300 --> 00:07:51.960]  直接發生關係的時間是非常少的
[00:07:51.960 --> 00:07:59.060]  我們的信仰常常只成為忙碌生活的活動中的一部分而已
