
[00:00:00.000 --> 00:00:06.800]  主持人:大英主持人,早晨,在今天就和各位分享這首詩篇,第八篇。
[00:00:06.800 --> 00:00:18.800]  詩篇一百五十篇是可以唱的,是詩集,包含很多的朝代,也包含很多不同的作者。
[00:00:18.800 --> 00:00:25.400]  詩篇裏面有很多支序,最長的詩篇,最短的詩篇都有。
[00:00:25.800 --> 00:00:36.200]  除了詩篇之外,《詩歌智慧書》,都知道除了詩篇都有《雅歌書》之類的。
[00:00:36.200 --> 00:00:43.200]  除了《詩歌智慧書》之外,另外有一卷是先知的詩歌,
[00:00:43.200 --> 00:00:54.000]  叫做《耶利米哀歌》,都是先知所寫出來的歌曲。
[00:00:54.600 --> 00:01:07.000]  有學者認為,所有先知的講論,甚至乎大部分,或者全部,
[00:01:07.000 --> 00:01:09.800]  他們的講論都是可以唱出來的。
[00:01:09.800 --> 00:01:16.600]  所以當我們去看《俄巴底亞書》,或者《爾賽亞書》這些,
[00:01:16.600 --> 00:01:20.400]  全部都是唱出來的,不是我們今天這樣讀出來的。
[00:01:21.000 --> 00:01:27.600]  這樣對希伯來人來說一點也不稀奇,因為在歷代至上,第二十五章一節,
[00:01:27.600 --> 00:01:34.000]  在這裏講得很清楚,大衛和眾手領分派阿薩希曼並耶路頓的子孫彈琴,
[00:01:34.000 --> 00:01:36.400]  鼓膝敲筆唱歌。
[00:01:36.400 --> 00:01:43.200]  在聖經裏面,不是《適經書》,是聖經自己翻譯的那裏,
[00:01:43.600 --> 00:01:53.400]  寫著「原民族語言」,即是先知將他第一首神的說話用唱來表達出來。
[00:01:53.400 --> 00:02:00.600]  但是這些詩歌,原創的旋律已經不見了,
[00:02:00.600 --> 00:02:09.800]  有人跟你說:「大衛當日是這樣寫,抱上這一首詩歌,你不需要相信他。」
[00:02:10.400 --> 00:02:17.000]  但是這樣的緣故,就會讓我們有不同的創作。
[00:02:17.000 --> 00:02:22.400]  就像詩篇二十三篇一樣,有不同的創作,有不同的版本,
[00:02:22.400 --> 00:02:30.600]  希伯來調的有,中國調的也有,還有美國調的也有,
[00:02:30.600 --> 00:02:33.200]  都是在說詩篇第二十三篇。
[00:02:34.200 --> 00:02:40.400]  剛才唱的第一首《世紀重贊》,第九十六首,
[00:02:40.400 --> 00:02:46.400]  這一首詩歌是在一七七九年Everett所寫出來的一些歌詞,
[00:02:46.400 --> 00:02:55.400]  我們所唱的版本是一百三百年寫的,
[00:02:55.400 --> 00:02:58.600]  有四節的,為什麼我們要唱三節呢?
[00:02:58.800 --> 00:03:05.800]  不用怕,你踐到後面的九十七首就有四節的,都是同一個歌詞,
[00:03:05.800 --> 00:03:07.400]  但是不同的旋律。
[00:03:07.400 --> 00:03:17.400]  而一七七九年,即是跟這個詩歌同樣一個時間印刷出來的,
[00:03:17.400 --> 00:03:22.200]  就是有一個叫William的,一七七九年,去到普城的,
[00:03:22.400 --> 00:03:29.200]  「So do do do re mi re do re, so la so fa mi re do」,是這個旋律來的。
[00:03:29.200 --> 00:03:33.800]  今天第一兒童詩班唱的二十三篇,
[00:03:33.800 --> 00:03:38.200]  也讓我看到這一首詩歌越唱越年輕化。
[00:03:38.200 --> 00:03:42.200]  《人》,當年我唱這首詩歌的時候是中學生的時候,
[00:03:42.200 --> 00:03:45.000]  現在還沒入學已經開始唱了。
[00:03:45.000 --> 00:03:51.800]  神是容許人多方面的創作的,
[00:03:52.800 --> 00:03:55.600]  人不能夠創造,只有神才能創造。
[00:03:55.600 --> 00:04:01.600]  人是創作,是將已存的,已經有的,來重新組合,
[00:04:01.600 --> 00:04:04.000]  來呈現在人的面前。
[00:04:04.000 --> 00:04:08.200]  只有神才能從一個沒有變成有。
[00:04:08.200 --> 00:04:15.000]  所以我們怎樣去到創作也好,也不及得上神的創造。
[00:04:15.000 --> 00:04:22.200]  如果我們的創作是一種藝術品,神的創造更加是藝術品。
[00:04:23.000 --> 00:04:27.000]  我們先看看前後左右的大興展會,
[00:04:27.000 --> 00:04:30.000]  可以眼金金地看著它。
[00:04:30.000 --> 00:04:31.800]  為甚麼呢?
[00:04:31.800 --> 00:04:34.600]  當我們去到一些藝術館、博物館,
[00:04:34.600 --> 00:04:37.000]  看著那幅畫是怎樣?眼金金的。
[00:04:37.000 --> 00:04:40.000]  所以我們也是眼金金地看著它。
[00:04:40.000 --> 00:04:48.200]  這不是一種褻瀆,而是欣賞,是一種欣賞。
[00:04:48.200 --> 00:04:51.200]  我們看到花,這些花很漂亮,
[00:04:51.800 --> 00:04:54.000]  看到孔雀,這隻孔雀很漂亮,
[00:04:54.000 --> 00:04:57.200]  這隻豬肥肥白白的,
[00:04:57.200 --> 00:05:03.000]  旁邊的人是神所創造的,所以它是最好的。
[00:05:03.000 --> 00:05:07.200]  因為病毒的緣故,
[00:05:07.200 --> 00:05:13.200]  教師班和青少年師班不能夠一起去唱詩,
[00:05:13.200 --> 00:05:16.400]  但是當他們聚在一起的時候,
[00:05:16.400 --> 00:05:18.600]  又是一幅美麗的圖畫。
[00:05:19.400 --> 00:05:25.800]  我們都盼望大家都為病毒能夠驅走祈禱,
[00:05:25.800 --> 00:05:30.000]  以致人與人之間的關係拉得更近。
[00:05:30.000 --> 00:05:35.200]  正如書中所說的,很多的內容都一樣。
[00:05:35.200 --> 00:05:42.200]  今天我們也是透過這一首詩篇第八篇,
[00:05:42.200 --> 00:05:47.800]  學習一種敬拜的情操,讓我們一同禱告。
[00:05:49.200 --> 00:05:51.200]  親愛的天父,求祢繼續幫助我們,
[00:05:51.200 --> 00:05:54.400]  讓我們在這裡不是去消閒,
[00:05:54.400 --> 00:05:58.800]  也不是去荒廢我們的時間,
[00:05:58.800 --> 00:06:03.200]  而是來到這裡親近祢,和敬拜祢。
[00:06:03.200 --> 00:06:05.800]  讓我們知道主祢自己的名字,
[00:06:05.800 --> 00:06:11.800]  讓我們去傾慕,去重贊。
[00:06:11.800 --> 00:06:13.400]  求祢願我們同在,
[00:06:13.400 --> 00:06:16.000]  討個賴奉主耶穌基督的名字祈求。
[00:06:18.600 --> 00:06:22.200]  在詩歌中的第一第二節,
[00:06:22.200 --> 00:06:26.600]  也跟我們說到神的榮美。
[00:06:26.600 --> 00:06:29.800]  神的榮美。
[00:06:29.800 --> 00:06:33.000]  詩歌中說:「耶穌說:「我們的主,
[00:06:33.000 --> 00:06:35.000]  祢的名在全地,何其美?
[00:06:35.000 --> 00:06:38.000]  祢將祢的榮耀彰顯於天。」
[00:06:38.000 --> 00:06:41.400]  祢將祢的榮耀彰顯於天。
[00:06:41.400 --> 00:06:45.800]  神的名字就是如此偉大,
[00:06:46.000 --> 00:06:48.800]  從天彼得顯露出來,
[00:06:48.800 --> 00:06:49.800]  顯現出來,
[00:06:49.800 --> 00:06:51.800]  讓世人是見得到,
[00:06:51.800 --> 00:06:53.400]  毫無遮掩的,
[00:06:53.400 --> 00:06:54.800]  見得到出來。
[00:06:54.800 --> 00:06:59.800]  然後在另一個角落,
[00:06:59.800 --> 00:07:03.200]  去到將神的榮耀,祂的能力,
[00:07:03.200 --> 00:07:05.800]  一一地述說出來。
[00:07:05.800 --> 00:07:10.800]  祂一說出來就是用「鷹蟹」和「敵人」,
[00:07:10.800 --> 00:07:14.600]  祂說從「鷹蟹」和「吃奶」的口中,
[00:07:14.800 --> 00:07:16.200]  建立了能力,
[00:07:16.200 --> 00:07:17.200]  為了什麼?
[00:07:17.200 --> 00:07:19.800]  仇敵見到這樣的情況之下,
[00:07:19.800 --> 00:07:22.000]  都閉口無言。
[00:07:22.000 --> 00:07:25.600]  按照詩篇這個鋪排的時候,
[00:07:25.600 --> 00:07:29.400]  這個「鷹蟹」和「吃奶」是指什麼呢?
[00:07:29.400 --> 00:07:33.800]  就這樣在詩篇裡面說,
[00:07:33.800 --> 00:07:38.400]  就是這個創造的天地萬物。
[00:07:38.400 --> 00:07:40.400]  我們都覺得很奇怪,
[00:07:40.400 --> 00:07:44.600]  這個天地萬物叫做「鷹蟹」和「吃奶」,
[00:07:45.800 --> 00:07:46.600]  就是這樣。
[00:07:46.600 --> 00:07:50.200]  藝術之所以藝術是有共同點的,
[00:07:50.200 --> 00:07:52.200]  就是誇張,
[00:07:52.200 --> 00:07:56.200]  用誇張的手法來表達出來。
[00:07:56.200 --> 00:08:00.200]  跳舞,朗誦,畫畫,或者舞台劇,
[00:08:00.200 --> 00:08:03.600]  這些都是,或者雕刻,
[00:08:03.600 --> 00:08:07.000]  都是用誇張的手法,
[00:08:07.000 --> 00:08:09.200]  將它來表達出來。
[00:08:10.200 --> 00:08:14.800]  就像剛才那首《啟現經文》裡面,
[00:08:14.800 --> 00:08:19.600]  是取材自這個詩篇裡面的,
[00:08:19.600 --> 00:08:22.200]  一開始的時候就在說什麼呢?
[00:08:22.200 --> 00:08:25.200]  如果我們就這樣讀的時候,
[00:08:25.200 --> 00:08:30.000]  我們就這樣讀的時候就好像平平無奇,
[00:08:30.000 --> 00:08:31.800]  很口語化這樣,
[00:08:31.800 --> 00:08:38.600]  但是如果我們加了一些叫做藝術表達的方式的時候,
[00:08:39.800 --> 00:08:42.400]  我們讀出來的整個味道是完全不同的。
[00:08:42.400 --> 00:08:49.200]  到那日,發出言語,
[00:08:49.200 --> 00:08:51.800]  這夜到那夜,
[00:08:51.800 --> 00:08:54.000]  傳出知識。
[00:08:54.000 --> 00:08:57.200]  很簡單的一個表達,
[00:08:57.200 --> 00:08:59.400]  但是將本來一個,
[00:08:59.400 --> 00:09:01.800]  我們說「諸天術說神的榮耀,
[00:09:01.800 --> 00:09:04.400]  從莊全陽他的手段」讀完就算了,
[00:09:04.400 --> 00:09:09.000]  但是加了一些這個藝術的方式,
[00:09:09.200 --> 00:09:10.400]  去到表達的時候,
[00:09:10.400 --> 00:09:12.000]  整個氣氛完全不同了,
[00:09:12.000 --> 00:09:15.800]  我們感覺「諸天術說神的榮耀」,
[00:09:15.800 --> 00:09:18.000]  因為那個低音的震撼,
[00:09:18.000 --> 00:09:21.400]  給我們突然間好像醒了起來。
[00:09:21.400 --> 00:09:24.600]  這個就是藝術的手法。
[00:09:24.600 --> 00:09:29.800]  我們日常的人不會像那些跳舞,
[00:09:29.800 --> 00:09:33.400]  或者是朗誦這些畫畫,
[00:09:33.400 --> 00:09:37.200]  這些在日常的生活中表達出來,
[00:09:38.000 --> 00:09:40.200]  這樣就…如果散會了,
[00:09:40.200 --> 00:09:43.000]  我們走的時候,
[00:09:43.000 --> 00:09:44.600]  我們不要這樣走,
[00:09:44.600 --> 00:09:47.000]  我們用芭蕾舞的方式,
[00:09:47.000 --> 00:09:48.800]  慢慢跳過去,
[00:09:48.800 --> 00:09:50.800]  地鐵站也好,什麼也好。
[00:09:50.800 --> 00:09:52.000]  接著,
[00:09:52.000 --> 00:09:54.000]  芭蕾舞太古典了,
[00:09:54.000 --> 00:09:54.600]  行不行?行不行?
[00:09:54.600 --> 00:09:55.200]  不要緊,不要緊。
