
[00:00:00.000 --> 00:00:07.000]  各位前輩如果你有聖經的話請你打開到創世紀第十八章
[00:00:07.000 --> 00:00:22.000]  創世紀第十八章我們從十六節
[00:00:22.000 --> 00:00:26.000]  我們今天我們要看從十六節一直到第十九節
[00:00:26.000 --> 00:00:30.000]  十九章最後一節因為時間的關係
[00:00:30.000 --> 00:00:35.000]  所以我們就不讀這些經文可是我就是用幾處經文
[00:00:35.000 --> 00:00:40.000]  我們藉著這幾處經文讓我們能夠看見一件事情
[00:00:40.000 --> 00:00:44.000]  就是神是誰然後祂做了什麼事情
[00:00:44.000 --> 00:00:50.000]  然後我們再看到人應該怎麼回應人的光景
[00:00:50.000 --> 00:00:54.000]  所以如果你有聖經的話就請你打開到創世紀第十八章
[00:00:54.000 --> 00:00:58.000]  從十六節開始我們先做一個禱告
[00:00:58.000 --> 00:01:02.000]  我們在天上的父神我們滿心的感謝你讚美你
[00:01:02.000 --> 00:01:05.000]  祝你自己是那位創造宇宙萬物的真神
[00:01:05.000 --> 00:01:08.000]  祝你坐在天上你的寶座在天上
[00:01:08.000 --> 00:01:10.000]  但是你卻察看我們世人
[00:01:10.000 --> 00:01:13.000]  祝你眷顧我們祝維持我們線上感謝
[00:01:13.000 --> 00:01:16.000]  祝你自己真的是來到我們當中
[00:01:16.000 --> 00:01:21.000]  讓我們能夠親眼看到我們也能夠親眼親手摸到
[00:01:21.000 --> 00:01:25.000]  我們也能夠跟你聯合我們維持線上感謝
[00:01:25.000 --> 00:01:28.000]  我們把下面時間都交在你自己的手中
[00:01:28.000 --> 00:01:31.000]  祝你自己恩待我們你自己開我們的眼睛
[00:01:31.000 --> 00:01:33.000]  讓我們看見你自己的光
[00:01:33.000 --> 00:01:40.000]  讓我們能夠行在光中禱告奉耶穌基督的聖名
[00:01:40.000 --> 00:01:45.000]  首先我看聖經就是這樣
[00:01:45.000 --> 00:01:48.000]  我先看神到底是誰然後祂做了些什麼事情
[00:01:48.000 --> 00:01:51.000]  我真的告訴你這是一個非常寶貴的
[00:01:51.000 --> 00:01:54.000]  非常非常讓你喜樂的一件事情
[00:01:54.000 --> 00:01:56.000]  因為你一開始就認識祂
[00:01:56.000 --> 00:01:57.000]  你越來越認識祂
[00:01:57.000 --> 00:01:59.000]  你越認識祂你就越愛祂
[00:01:59.000 --> 00:02:02.000]  你就越願意把你自己奉獻給祂
[00:02:02.000 --> 00:02:05.000]  很多時候我們因為對祂認識都不夠
[00:02:05.000 --> 00:02:07.000]  所以很多時候我們會懷疑
[00:02:07.000 --> 00:02:09.000]  很多時候我們會軟弱
[00:02:09.000 --> 00:02:11.000]  很多時候我們會想到別的事情
[00:02:11.000 --> 00:02:13.000]  但是我鼓勵弟兄姊妹
[00:02:13.000 --> 00:02:17.000]  我們每一處經文我們真的是都能夠看見
[00:02:17.000 --> 00:02:20.000]  神祂是誰祂做事情
[00:02:20.000 --> 00:02:25.000]  首先我們要看到的就是
[00:02:25.000 --> 00:02:28.000]  亞伯拉罕他接待了三個人
[00:02:28.000 --> 00:02:33.000]  這三個人中間有一個就是神的使者
[00:02:33.000 --> 00:02:35.000]  然後另外有兩個
[00:02:35.000 --> 00:02:40.000]  有很多人說這三個人裡面有一個就是聖子
[00:02:40.000 --> 00:02:43.000]  在那個時候他向人顯現
[00:02:43.000 --> 00:02:46.000]  不過這是我們不去看
[00:02:46.000 --> 00:02:48.000]  從十六節開始
[00:02:48.000 --> 00:02:50.000]  在這裡我們看見一件事情
[00:02:50.000 --> 00:02:54.000]  神就告訴在十七節
[00:02:54.000 --> 00:02:56.000]  耶和華說我所要做的事情
[00:02:56.000 --> 00:02:58.000]  豈可瞞著亞伯拉罕呢
[00:02:58.000 --> 00:03:00.000]  亞伯拉罕必要成為強大的國
[00:03:00.000 --> 00:03:03.000]  地上的萬國都必因他得福
[00:03:03.000 --> 00:03:04.000]  我眷顧他
[00:03:04.000 --> 00:03:08.000]  我也要叫他吩咐他的眾子和他的眷屬
[00:03:08.000 --> 00:03:11.000]  遵守我的道秉公行義
[00:03:11.000 --> 00:03:15.000]  使我所應許亞伯拉罕的話都成就了
[00:03:16.000 --> 00:03:17.000]  一件事情我們看見
[00:03:17.000 --> 00:03:20.000]  神告訴亞伯拉罕他要做的事情
[00:03:20.000 --> 00:03:22.000]  我們在其他的聖經裡面
[00:03:22.000 --> 00:03:25.000]  我們看見神稱亞伯拉罕為他的朋友
[00:03:25.000 --> 00:03:27.000]  但是在這裡他告訴我們
[00:03:27.000 --> 00:03:28.000]  他為什麼要告訴他
[00:03:28.000 --> 00:03:29.000]  有兩個原因
[00:03:29.000 --> 00:03:32.000]  第一個原因亞伯拉罕要成為大國
