
[00:00:00.000 --> 00:00:05.300]  在前兩個星期我們一同分享的信息是
[00:00:05.300 --> 00:00:08.700]  守安息 得安息
[00:00:08.700 --> 00:00:11.700]  這是強調我們在主日當中
[00:00:11.700 --> 00:00:14.600]  在我們的敬拜、侍奉
[00:00:14.600 --> 00:00:16.400]  甚至開會當中
[00:00:16.400 --> 00:00:21.100]  我們都能夠打開安息日的禮物
[00:00:21.100 --> 00:00:23.000]  享受安息
[00:00:23.000 --> 00:00:26.200]  享受神給我們的安息
[00:00:26.200 --> 00:00:29.300]  這是一種生活的態度
[00:00:29.300 --> 00:00:32.600]  是一種生活的方式
[00:00:32.600 --> 00:00:34.400]  其實在過往的半年
[00:00:34.400 --> 00:00:40.200]  我們越來越多談及祝福的行動
[00:00:40.200 --> 00:00:42.300]  在八月的第一個主日
[00:00:42.300 --> 00:00:45.900]  當我們再次提及這個行動的時候
[00:00:45.900 --> 00:00:49.500]  很開心見到弟兄姊妹們在崇拜之後
[00:00:49.500 --> 00:00:51.800]  就說我要拿這張單張
[00:00:51.800 --> 00:00:53.500]  這張書籤
[00:00:53.500 --> 00:00:55.200]  我要拿回這張書籤
[00:00:55.200 --> 00:00:59.600]  拿回家再去思想、再去禱告
[00:00:59.600 --> 00:01:02.200]  祝福Bless
[00:01:02.200 --> 00:01:05.200]  是我們生活的方式
[00:01:05.200 --> 00:01:08.200]  意思就是說天天祝福
[00:01:08.200 --> 00:01:10.600]  更像基督
[00:01:10.600 --> 00:01:12.800]  令人蒙福
[00:01:12.800 --> 00:01:17.100]  這是一個蒙福的行動
[00:01:17.100 --> 00:01:20.600]  Bless裡面所要求的是什麼?
[00:01:20.600 --> 00:01:22.900]  希望大家能夠一起去做的就是
[00:01:22.900 --> 00:01:26.700]  每個星期為三個人祈禱
[00:01:26.700 --> 00:01:30.400]  每個星期聽三個人的分享
[00:01:30.400 --> 00:01:32.800]  每個月與三個人吃飯
[00:01:32.800 --> 00:01:35.600]  每個月幫助三個人
[00:01:35.600 --> 00:01:38.800]  每兩個月是與三個人
[00:01:38.800 --> 00:01:42.400]  討論耶穌基督的福音故事
[00:01:42.400 --> 00:01:45.800]  所以整個祝福的行動就是強調要
[00:01:45.800 --> 00:01:50.900]  祈禱、談心、吃飯、幫助別人
[00:01:50.900 --> 00:01:53.300]  向人傳福音
[00:01:53.300 --> 00:01:55.300]  這個行動的背後
[00:01:55.300 --> 00:02:00.000]  其實是一種很深邃的靈性的實踐
