
[00:00:00.000 --> 00:00:03.200]  那今天晚上我要跟大家來思考的是
[00:00:03.200 --> 00:00:04.200]  整個
[00:00:04.200 --> 00:00:07.320]  教會宣教的使命
[00:00:07.320 --> 00:00:09.520]  我說宣教使命的教會
[00:00:09.520 --> 00:00:13.820]  剛才余弟兄帶我們唱宣教的中國
[00:00:13.820 --> 00:00:18.000]  如果神成就這個詩歌的心願
[00:00:18.000 --> 00:00:20.160]  那個作者林弟兄的心願
[00:00:20.160 --> 00:00:21.920]  我們也都共鳴
[00:00:21.920 --> 00:00:24.800]  我說從這個
[00:00:24.800 --> 00:00:27.080]  上個世紀90年代以後
[00:00:27.080 --> 00:00:30.160]  好像越來越多包括國內教會
[00:00:30.160 --> 00:00:33.160]  常常想到宣教的時候就會唱這首詩歌
[00:00:33.160 --> 00:00:36.240]  那宣教的中國的條件是什麼
[00:00:36.240 --> 00:00:39.280]  就是中國的教會是宣教的教會
[00:00:39.280 --> 00:00:41.040]  如果中國的教會都不宣教
[00:00:41.040 --> 00:00:42.500]  中國怎麼會宣教呢
[00:00:42.500 --> 00:00:43.400]  是不是
[00:00:43.400 --> 00:00:45.400]  那中國的教會要宣教
[00:00:45.400 --> 00:00:47.540]  就表示我們中國的信徒
[00:00:47.540 --> 00:00:49.040]  或是華人的信徒
[00:00:49.040 --> 00:00:52.240]  要成為有宣教使命的信徒
[00:00:52.240 --> 00:00:55.040]  那我們這幾天稍微提到一點
[00:00:55.040 --> 00:00:57.640]  所謂的教會並不是那個建築
[00:00:57.640 --> 00:00:59.640]  並不是那個組織
[00:00:59.640 --> 00:01:02.840]  那個教會其實就是門徒的群體
[00:01:02.840 --> 00:01:05.840]  就是我們這些主的門徒
[00:01:05.840 --> 00:01:09.340]  領受擔負起宣教的使命的
[00:01:09.340 --> 00:01:11.740]  早晨我們講到耶路撒冷
[00:01:11.740 --> 00:01:15.440]  全世界名符其實的First Church
[00:01:15.440 --> 00:01:18.140]  這個教會是在禱告裡面建立的
[00:01:18.140 --> 00:01:20.840]  這個教會是在聖靈的工作之下
[00:01:20.840 --> 00:01:23.640]  是主的應許產生的
[00:01:23.640 --> 00:01:25.640]  聖靈澆灌充滿
[00:01:25.640 --> 00:01:27.640]  他們得到口才
[00:01:27.640 --> 00:01:31.440]  他們就讓各地來的遊僑
[00:01:31.440 --> 00:01:33.640]  聽到悔改雜心
[00:01:33.640 --> 00:01:35.640]  然後成立了教會
[00:01:35.640 --> 00:01:37.140]  我想在這個之前
[00:01:37.140 --> 00:01:39.640]  他們並不知道他們要成立教會
[00:01:39.640 --> 00:01:42.040]  他們只是照著耶穌的吩咐
[00:01:42.040 --> 00:01:44.240]  也根據耶穌的應許
[00:01:44.240 --> 00:01:45.940]  在那裡禱告等候
[00:01:45.940 --> 00:01:47.440]  然後聖靈做工
[00:01:47.440 --> 00:01:50.240]  然後他們已經隨時準備好了
[00:01:50.240 --> 00:01:52.440]  所以就有溫柔敬畏的心
[00:01:52.440 --> 00:01:54.440]  有彼得代表眾使徒
[00:01:54.440 --> 00:01:56.940]  就同聲的宣揚了福音
