
[00:00:00.000 --> 00:00:02.000]  屋頂之門好,大家早安
[00:00:02.000 --> 00:00:05.500]  今天我們再次回到主道義先
[00:00:05.500 --> 00:00:08.000]  我們一起透過禱告
[00:00:08.000 --> 00:00:12.000]  將我們的心、身、靈交在主神的面前
[00:00:12.000 --> 00:00:14.000]  一起同心低頭禱告
[00:00:14.000 --> 00:00:16.000]  天父,我多謝祢
[00:00:16.000 --> 00:00:20.000]  讓我們能夠再次回到祢寶貴的說話的面前
[00:00:20.000 --> 00:00:23.000]  蒙主祢的教訓
[00:00:23.000 --> 00:00:27.000]  但願我們藉著祢的啟示
[00:00:27.000 --> 00:00:30.000]  祢的工作
[00:00:30.000 --> 00:00:34.000]  讓祢對祢多一層的了解
[00:00:34.000 --> 00:00:38.000]  讓祢認定我們這位主是怎樣的主
[00:00:38.000 --> 00:00:40.000]  怎樣的一位神
[00:00:40.000 --> 00:00:42.000]  好神,我們不會錯過
[00:00:42.000 --> 00:00:46.000]  或者誤會其他假冒偽善
[00:00:46.000 --> 00:00:50.000]  甚至偶像他們的敬拜
[00:00:50.000 --> 00:00:52.000]  求祢的幫助
[00:00:52.000 --> 00:00:55.000]  讓我們有這份屬靈的洞悉的能力
[00:00:55.000 --> 00:00:58.000]  我們將以後這段時間恭敬交上
[00:00:58.000 --> 00:01:00.000]  讓聖靈誘導我們每一個
[00:01:00.000 --> 00:01:02.000]  同心的禱告
[00:01:02.000 --> 00:01:05.000]  奉靠主耶穌基督得聖的名字而及
[00:01:05.000 --> 00:01:06.000]  阿們
[00:01:06.000 --> 00:01:10.000]  我相信大家在社會上
[00:01:10.000 --> 00:01:13.000]  都工作了好一段時間
[00:01:13.000 --> 00:01:16.000]  做事當然
[00:01:16.000 --> 00:01:19.000]  除了做人的下屬之外
[00:01:19.000 --> 00:01:23.000]  也都同時可能是做別人的上司
[00:01:23.000 --> 00:01:26.000]  或者在一個工作的位置上
[00:01:26.000 --> 00:01:30.000]  作為一個領導的位置
[00:01:30.000 --> 00:01:34.000]  不過如果在我自己的個人經歷
[00:01:34.000 --> 00:01:37.000]  或者在大家的工作經驗裏面
[00:01:37.000 --> 00:01:41.000]  如果當你有一天真的做人的上司的時候
[00:01:41.000 --> 00:01:45.000]  我相信其中一樣最令人擔心的事情
[00:01:45.000 --> 00:01:48.000]  或者令你自己最覺得頭痛的事情
[00:01:48.000 --> 00:01:51.000]  就是你自己的下屬很不妥
[00:01:51.000 --> 00:01:53.000]  很不妥的意思是什麼呢
[00:01:53.000 --> 00:01:55.000]  就是說很多時候
[00:01:55.000 --> 00:01:58.000]  他就將自己塑造成
