
[00:00:00.000 --> 00:00:02.240]  願我們低頭同心祈禱
[00:00:02.240 --> 00:00:03.840]  持我天賦上帝
[00:00:03.840 --> 00:00:08.080]  我們實在知道在社會、在世界、在人生裏面
[00:00:08.080 --> 00:00:09.600]  是有很多差異
[00:00:09.600 --> 00:00:12.520]  但是我們在主裏面我們看到共融
[00:00:12.520 --> 00:00:14.960]  在主裏面我們見到聯合
[00:00:14.960 --> 00:00:17.200]  我們就求主保守帶領我們
[00:00:17.200 --> 00:00:21.920]  讓我們從虛空和困擾的生命裏面
[00:00:21.920 --> 00:00:24.040]  找到合一的秘訣
[00:00:24.040 --> 00:00:25.400]  又願我口中的言語
[00:00:25.400 --> 00:00:27.000]  各位靈姐妹的心懷意念
[00:00:27.000 --> 00:00:28.920]  在上主面前得蒙月立
[00:00:28.920 --> 00:00:30.720]  我們祈禱奉主命求
[00:00:30.720 --> 00:00:31.800]  阿門
[00:00:58.920 --> 00:01:01.040]  我只會看打打殺殺
[00:01:01.040 --> 00:01:02.960]  亞諾舒華申尼加
[00:01:02.960 --> 00:01:05.360]  史太龍那些電影
[00:01:05.360 --> 00:01:06.960]  質素相當之低
[00:01:06.960 --> 00:01:09.920]  但是自從我讀了崇基之後
[00:01:09.920 --> 00:01:12.960]  我的恩師也是之前崇基的院長
[00:01:12.960 --> 00:01:14.280]  沈宣仁教授
[00:01:14.280 --> 00:01:17.760]  很多時候我們完課堂
[00:01:17.760 --> 00:01:18.640]  聊天
[00:01:18.640 --> 00:01:19.960]  說著說著的時候
[00:01:19.960 --> 00:01:22.160]  發現大家都喜歡看電影
[00:01:22.160 --> 00:01:24.560]  就是沈宣仁教授幫助我
[00:01:24.560 --> 00:01:27.920]  讓我能夠在電影的世界裏面
[00:01:27.920 --> 00:01:29.200]  越看越闊
[00:01:29.200 --> 00:01:33.360]  看到一些很精彩和有意思的電影
[00:01:33.360 --> 00:01:35.920]  從而在當中裏面做靈修
[00:01:35.920 --> 00:01:36.920]  做反省
[00:01:36.920 --> 00:01:38.000]  做思考
[00:01:38.000 --> 00:01:40.520]  以至於生命裏面透過這些電影
[00:01:40.520 --> 00:01:43.240]  幫助自己去思考人生
[00:01:43.240 --> 00:01:45.880]  我除了喜歡看電影之外
[00:01:45.880 --> 00:01:47.840]  也很喜歡看漫畫
[00:01:47.840 --> 00:01:51.640]  所以在近這一兩年
[00:01:51.640 --> 00:01:52.920]  尤其是今年裏面
[00:01:52.920 --> 00:01:56.400]  有很多美國的電影
[00:01:56.400 --> 00:01:58.960]  這些美國電影都很吸引我
[00:01:58.960 --> 00:02:02.800]  尤其是很多美國漫畫英雄的電影
[00:02:02.800 --> 00:02:04.040]  包括甚麼
[00:02:04.040 --> 00:02:06.040]  我們剛剛看到有
[00:02:06.040 --> 00:02:07.520]  Superman
[00:02:07.520 --> 00:02:08.640]  Batman
[00:02:08.640 --> 00:02:09.880]  Iron Man
[00:02:09.880 --> 00:02:10.440]  Avengers
[00:02:10.440 --> 00:02:12.280]  裏面有很多不同的人物
[00:02:12.280 --> 00:02:15.880]  但是有這麼多不同的美國超級英雄
[00:02:15.880 --> 00:02:17.480]  最吸引我的
[00:02:17.480 --> 00:02:20.280]  都是X-Men
[00:02:20.280 --> 00:02:24.080]  X-Men不像超人蝙蝠俠
[00:02:24.080 --> 00:02:26.440]  美國隊長Iron Man一樣
[00:02:26.440 --> 00:02:27.840]  堆砌劇情
[00:02:27.840 --> 00:02:29.680]  為打而打
[00:02:29.680 --> 00:02:32.880]  X-Men裏面有兩派的變種人
[00:02:32.880 --> 00:02:35.040]  他們之間有一些張力
[00:02:35.040 --> 00:02:37.120]  這些張力是很實在的
[00:02:37.120 --> 00:02:42.000]  是源自他們彼此之間信念裏面的分歧
[00:02:42.000 --> 00:02:44.400]  事實上我們面對社會主流
[00:02:44.400 --> 00:02:47.080]  歧視的當下
[00:02:47.080 --> 00:02:51.800]  到底我們選擇的是勇武抗爭
[00:02:51.800 --> 00:02:56.240]  還是要非暴力的精神去面對
[00:02:56.240 --> 00:02:58.560]  相信人與人之間
[00:02:58.560 --> 00:03:01.480]  差異其見當中
[00:03:01.480 --> 00:03:04.600]  能夠得到共融共存
[00:03:04.600 --> 00:03:06.480]  勇武抗爭
[00:03:06.480 --> 00:03:08.200]  非暴力
[00:03:08.200 --> 00:03:11.440]  到底應該要走一條甚麼的路呢
[00:03:11.440 --> 00:03:13.600]  似乎在X-Men
[00:03:13.600 --> 00:03:17.640]  這套電影或者這套美國漫畫裏面
[00:03:17.640 --> 00:03:19.240]  可能有些端倪
[00:03:19.240 --> 00:03:21.200]  給我們去反省
[00:03:21.200 --> 00:03:26.080]  X-Men這套漫畫其實是源自1963年面世的
[00:03:26.080 --> 00:03:27.400]  裏面有兩個角色
[00:03:27.400 --> 00:03:28.800]  是主要的角色
[00:03:28.800 --> 00:03:30.560]  是兩派的領袖
[00:03:30.560 --> 00:03:32.480]  一個叫Professor X
[00:03:32.480 --> 00:03:33.680]  X教授
[00:03:33.680 --> 00:03:35.080]  另一個Magneto
[00:03:35.080 --> 00:03:36.800]  這個叫磁力王
[00:03:36.800 --> 00:03:39.440]  這兩個領袖的靈感
[00:03:39.440 --> 00:03:42.480]  是取材自60年代
[00:03:42.480 --> 00:03:44.400]  兩個政治立場
[00:03:44.400 --> 00:03:49.560]  南轅北轍的美國黑人民權領袖
[00:03:49.560 --> 00:03:51.440]  一個大家都會認識
[00:03:51.440 --> 00:03:52.960]  就是Martin Luther King
[00:03:52.960 --> 00:03:54.960]  馬丁路德金
[00:03:54.960 --> 00:03:58.720]  而另一個就是Macron X
[00:03:58.720 --> 00:04:02.520]  馬丁路德金其實就是Professor X的原型
[00:04:02.520 --> 00:04:04.920]  他主張非暴力的抗爭
[00:04:04.920 --> 00:04:09.400]  不願意挑起黑人和白人之間的仇恨
