
[00:00:00.000 --> 00:00:01.760]  上星期跟大家
[00:00:01.760 --> 00:00:05.400]  從《迦拉太書》來看聖靈
[00:00:05.400 --> 00:00:09.360]  因為我們今年的主題經文
[00:00:09.360 --> 00:00:11.280]  是出自《迦拉太書》
[00:00:11.280 --> 00:00:14.360]  上星期就從整本《迦拉太書》
[00:00:14.360 --> 00:00:18.320]  關乎聖靈的一些真理
[00:00:18.320 --> 00:00:22.840]  以及大家給自己的提醒
[00:00:22.840 --> 00:00:26.120]  提醒我們時常留意聖靈的工作
[00:00:26.120 --> 00:00:29.040]  靠聖靈來行事
[00:00:29.040 --> 00:00:34.440]  今天我跟大家從《約翰福音》看聖靈
[00:00:34.440 --> 00:00:38.120]  我們知道在聖經裡面
[00:00:38.120 --> 00:00:41.720]  新約頭的四本就是福音書
[00:00:41.720 --> 00:00:43.680]  除了《保羅書信》
[00:00:43.680 --> 00:00:46.320]  是關乎聖靈很多的真理
[00:00:46.320 --> 00:00:48.680]  我們來看看
[00:00:48.680 --> 00:00:51.640]  從最初開始主耶穌基督
[00:00:51.640 --> 00:00:53.200]  祂自己來到這個世界
[00:00:53.200 --> 00:00:55.040]  在福音書記載裡面
[00:00:55.040 --> 00:00:58.760]  關乎聖靈的真理
[00:00:58.760 --> 00:01:02.240]  我們看到四本福音書裡
[00:01:02.240 --> 00:01:05.000]  都有記載關乎聖靈的
[00:01:05.000 --> 00:01:06.880]  一些很清楚的記錄
[00:01:06.880 --> 00:01:11.560]  或者祂行事的一些記錄
[00:01:11.560 --> 00:01:14.560]  但是以《路加福音》其實是最多的
[00:01:14.560 --> 00:01:18.040]  因為《路加》除了寫《路加福音》之外
[00:01:18.040 --> 00:01:20.520]  還寫了哪一本書?
[00:01:20.520 --> 00:01:21.560]  《使徒行傳》
[00:01:21.560 --> 00:01:25.560]  所以我們在前兩年開始就說《路加福音》
[00:01:25.560 --> 00:01:28.760]  然後用了一年多時間寫《使徒行傳》
[00:01:28.760 --> 00:01:35.560]  《路加》是非常體會聖靈的工作
[00:01:35.560 --> 00:01:38.920]  所以我們如果要給一支提醒
[00:01:38.920 --> 00:01:40.520]  多留意聖靈的工作
[00:01:40.520 --> 00:01:44.160]  其實《路加》是一個很好的榜樣
[00:01:44.160 --> 00:01:46.000]  在很多事蹟的記載當中
[00:01:46.000 --> 00:01:50.080]  它留意到聖靈的重要性和祂的工作
[00:01:50.080 --> 00:01:53.960]  但是以最清楚或者最重要的
[00:01:53.960 --> 00:01:55.920]  關乎聖靈的真理
[00:01:55.920 --> 00:01:58.520]  可以說是在《約翰福音》
[00:01:58.520 --> 00:02:01.840]  因為《約翰福音》以章數來說
[00:02:01.840 --> 00:02:04.800]  都有七章的經文
[00:02:04.800 --> 00:02:08.000]  是涉及關乎聖靈的一些真理
[00:02:08.000 --> 00:02:10.040]  包括一開始第一章
[00:02:10.040 --> 00:02:12.040]  接著第三章
[00:02:12.040 --> 00:02:13.760]  第七章
[00:02:13.760 --> 00:02:16.680]  十四、十五、十六這三章連在一起
[00:02:16.680 --> 00:02:19.480]  有很多關乎聖靈很重要的真理
[00:02:19.480 --> 00:02:21.160]  然後最後就是二十章
[00:02:21.160 --> 00:02:24.920]  今天我們也稍微看看這些經文
[00:02:24.920 --> 00:02:29.920]  所以在這七章的經文裏
[00:02:29.920 --> 00:02:34.040]  是很仔細談到關乎聖靈的真理
[00:02:34.040 --> 00:02:37.160]  有些是耶穌親自自己解釋的
[00:02:37.160 --> 00:02:38.680]  好像第十四至十六章
[00:02:38.680 --> 00:02:40.320]  這就是耶穌的解釋
[00:02:40.320 --> 00:02:45.840]  二十章是耶穌親自用聖靈來吹一口氣
[00:02:45.840 --> 00:02:50.200]  讓信徒當時的門徒知道他們受聖靈
