
[00:00:00.000 --> 00:00:02.000]  各位靜姐妹,早安
[00:00:02.000 --> 00:00:06.000]  元神藉著話語賜福給我們
[00:00:06.000 --> 00:00:10.000]  今天想和大家分享一個自己的經歷
[00:00:10.000 --> 00:00:14.000]  以前我都會玩魔術
[00:00:14.000 --> 00:00:16.000]  當然是普通的
[00:00:16.000 --> 00:00:18.000]  但是有時候都會很厲害
[00:00:18.000 --> 00:00:19.000]  為什麼呢?
[00:00:19.000 --> 00:00:23.000]  其實用錢去買一些道具
[00:00:23.000 --> 00:00:25.000]  是可以很厲害的
[00:00:25.000 --> 00:00:27.000]  有時候我會去一些學校
[00:00:27.000 --> 00:00:29.000]  去講福音
[00:00:29.000 --> 00:00:31.000]  但當時還未信主
[00:00:31.000 --> 00:00:32.000]  講見證
[00:00:32.000 --> 00:00:34.000]  會玩魔術的
[00:00:34.000 --> 00:00:37.000]  有一次有個學校請我去
[00:00:37.000 --> 00:00:39.000]  我預備得很好
[00:00:39.000 --> 00:00:41.000]  有個魔術都很厲害
[00:00:41.000 --> 00:00:44.000]  不是我厲害,是道具厲害
[00:00:44.000 --> 00:00:50.000]  可以將銀紙凌空
[00:00:50.000 --> 00:00:54.000]  然後我將它丟到地上
[00:00:54.000 --> 00:00:56.000]  然後可以升上來
[00:00:56.000 --> 00:00:58.000]  自己的手上
[00:00:58.000 --> 00:01:00.000]  魔術都幾好看
[00:01:00.000 --> 00:01:02.000]  表演完之後
[00:01:02.000 --> 00:01:05.000]  全場的學生拍手掌
[00:01:05.000 --> 00:01:07.000]  之後做什麼事呢?
[00:01:07.000 --> 00:01:09.000]  衝了出來
[00:01:09.000 --> 00:01:12.000]  之後有什麼後果呢?
[00:01:12.000 --> 00:01:15.000]  他看到我的破綻
[00:01:15.000 --> 00:01:17.000]  因為衝得很前
[00:01:17.000 --> 00:01:19.000]  就算坐到最前那一排都看不到
[00:01:19.000 --> 00:01:21.000]  但他衝上台都看到
[00:01:21.000 --> 00:01:23.000]  他衝得這麼前
[00:01:23.000 --> 00:01:25.000]  當時老師說來不及制止
