
[00:00:00.000 --> 00:00:02.600]  「三了定性谷」
[00:00:02.600 --> 00:00:05.000]  因為很長,都不知道怎麼說
[00:00:05.000 --> 00:00:08.600]  所以趕快先講大綱給你們聽
[00:00:08.600 --> 00:00:13.600]  講完大綱,你聽不及都可以走了
[00:00:13.600 --> 00:00:16.000]  這個大綱是什麼呢?
[00:00:16.000 --> 00:00:19.000]  我們先看三節聖經
[00:00:19.000 --> 00:00:21.000]  牟威很聰明的
[00:00:21.000 --> 00:00:24.400]  《羅馬書》第八章
[00:00:24.400 --> 00:00:27.400]  第一段的聖經是第一第二節
[00:00:27.400 --> 00:00:28.400]  第一第二節
[00:00:28.400 --> 00:00:30.400]  我們一起讀第一第二節
[00:00:30.400 --> 00:00:31.400]  不要讀到第三節
[00:00:31.400 --> 00:00:32.400]  請
[00:00:32.400 --> 00:00:47.400]  就是第一第二節
[00:00:47.400 --> 00:00:50.400]  你已經看到多少個了
[00:00:50.400 --> 00:00:52.400]  你說不是三個了嗎?
[00:00:52.400 --> 00:00:54.400]  所以講完第一第二節就了
[00:00:54.400 --> 00:00:56.400]  是不是?搞定了
[00:00:56.400 --> 00:00:58.400]  原來這是第一個了
[00:00:58.400 --> 00:00:59.400]  這個了是什麼呢?
[00:00:59.400 --> 00:01:02.400]  這個了我們選了一樣的東西
[00:01:02.400 --> 00:01:08.400]  我們是脫離罪和死的律了
[00:01:08.400 --> 00:01:10.400]  就不一樣了
[00:01:10.400 --> 00:01:12.400]  因什麼脫離?
[00:01:12.400 --> 00:01:14.400]  因為耶穌基督
[00:01:14.400 --> 00:01:18.400]  主要的因素就是第三節告訴你
[00:01:18.400 --> 00:01:21.400]  就是耶穌這個贖罪制
[00:01:21.400 --> 00:01:24.400]  你們知道贖罪制一定要流血
[00:01:24.400 --> 00:01:28.400]  就是因血而被什麼?贖回了
[00:01:28.400 --> 00:01:30.400]  贖回到一個地步是什麼?
[00:01:30.400 --> 00:01:35.400]  這個死和這個罪的律
[00:01:35.400 --> 00:01:37.400]  我們就脫離了
[00:01:37.400 --> 00:01:38.400]  這是第一個了
[00:01:38.400 --> 00:01:40.400]  現在我們看第二個了
[00:01:40.400 --> 00:01:46.400]  第二個了請讀第十八節
