
[00:00:00.000 --> 00:00:05.320]  其實的確很多事情發生不是我們自己所預料會發生的
[00:00:05.320 --> 00:00:09.480]  好像幾個月之前
[00:00:09.480 --> 00:00:14.600]  可能大家有些朋友在佛羅里達大家都會留意到風暴
[00:00:14.600 --> 00:00:18.600]  我想我們個人都會在羅省住一段時間的人
[00:00:18.600 --> 00:00:21.560]  其實真的很高興這個天氣
[00:00:21.560 --> 00:00:25.640]  因為周圍的環境裡面可能會看到有打風
[00:00:25.640 --> 00:00:28.080]  有很多不同的事故
[00:00:28.080 --> 00:00:34.640]  甚至現在德州經常有龍捲風這類事情
[00:00:34.640 --> 00:00:38.480]  或者有時突然有冰雹
[00:00:38.480 --> 00:00:43.760]  很短時間有很多冰雹掉下來
[00:00:43.760 --> 00:00:45.560]  車都被撞爛了
[00:00:45.560 --> 00:00:49.600]  加上有一種叫Flash Flood
[00:00:49.600 --> 00:00:52.800]  突然很短的時間下很多雨
[00:00:52.800 --> 00:00:54.800]  甚至連車都可以衝過去
[00:00:54.800 --> 00:00:56.800]  有這種情況
[00:00:56.800 --> 00:01:01.440]  所以我想如果大家是對在佛羅里達的朋友
[00:01:01.440 --> 00:01:05.120]  可能你都會關注到最近所發生的事情
[00:01:05.120 --> 00:01:09.440]  的確這幾個所發生的事情的確很不容易
[00:01:09.440 --> 00:01:11.440]  我記得我有一個朋友
[00:01:11.440 --> 00:01:13.440]  如果我們用廣東話說
[00:01:13.440 --> 00:01:16.560]  他就很遷運
[00:01:16.560 --> 00:01:18.560]  我們用廣東話說他很遷運
[00:01:18.560 --> 00:01:20.560]  他自己有木書來的
[00:01:20.560 --> 00:01:23.520]  我記得幾年前他有時候在佛羅里達
[00:01:23.520 --> 00:01:28.400]  在一間叫Fort Myers的孫女會那裡做著木書
[00:01:28.400 --> 00:01:32.880]  適逢那時候幾年前有一個很大的風暴
[00:01:32.880 --> 00:01:36.720]  教會都淹沒了電什麼都沒有了
[00:01:36.720 --> 00:01:40.400]  所以很困難終於教會重建
[00:01:40.400 --> 00:01:42.400]  還有幾年前的時候
[00:01:42.400 --> 00:01:46.000]  他又去了關島做木書
[00:01:46.000 --> 00:01:47.520]  又是一間孫女會
[00:01:47.520 --> 00:01:50.240]  在關島的時候又是去到沒多久
[00:01:50.240 --> 00:01:53.200]  又是適逢這個風暴
[00:01:53.200 --> 00:01:56.480]  又要重新再來那張教會重建
[00:01:56.480 --> 00:01:58.960]  所以其實很不容易
[00:01:58.960 --> 00:02:01.920]  不知道大家會不會有這樣的反駁
[00:02:01.920 --> 00:02:03.920]  不過不要緊
[00:02:03.920 --> 00:02:09.200]  其實我講風暴
[00:02:09.200 --> 00:02:10.560]  其實我想我們人生當中
[00:02:10.560 --> 00:02:14.640]  時常都會經歷很多的風風雨雨
[00:02:14.640 --> 00:02:17.680]  可能在我們現在在我們當中
[00:02:17.680 --> 00:02:19.840]  可能在你的內心世界
[00:02:19.840 --> 00:02:21.840]  就像打風一樣
[00:02:21.840 --> 00:02:23.520]  各位弟兄姊妹
[00:02:23.520 --> 00:02:26.960]  當你遇到這個人生的風浪的時候
[00:02:26.960 --> 00:02:31.680]  你最需要是什麼呢?
[00:02:31.680 --> 00:02:33.440]  我小時候讀書
[00:02:33.440 --> 00:02:35.680]  小時候在教會長大
[00:02:35.680 --> 00:02:37.360]  就記得一首的獸仔
[00:02:37.360 --> 00:02:40.320]  就是那些兒童的詩歌
[00:02:40.320 --> 00:02:41.840]  不知道大家有沒有聽過
[00:02:41.840 --> 00:02:44.080]  是叫《有主在我船中》
[00:02:44.080 --> 00:02:46.480]  有幾個聽過這首歌的?
[00:02:46.480 --> 00:02:47.840]  《有主在我船中》
[00:02:47.840 --> 00:02:49.760]  沒有人聽過?
[00:02:49.760 --> 00:02:52.800]  《有主在我船中,我能笑於暴風》
[00:02:52.800 --> 00:02:54.000]  沒有人聽過?
[00:02:54.000 --> 00:02:57.760]  可能大家都不是在自小順著都不一定
[00:02:57.760 --> 00:03:01.760]  在主學裡面唱過這首歌
[00:03:01.760 --> 00:03:03.760]  其實這首歌很簡單
