
[00:00:00.000 --> 00:00:03.000]  多謝師妹早晨,讓我們在聆聽主的說話之前
[00:00:03.000 --> 00:00:05.480]  讓我們一齊同心低頭禱告
[00:00:05.480 --> 00:00:06.840]  仰望愛主,愛祢的神
[00:00:06.840 --> 00:00:12.880]  父神多謝祢,讓我們再次回到祢的殿當中
[00:00:12.880 --> 00:00:16.480]  一起在祢的真理上同心學習
[00:00:16.480 --> 00:00:18.280]  為為此獻上感恩
[00:00:18.280 --> 00:00:23.280]  讓我們有生命再次經歷上主祢的教訓
[00:00:23.280 --> 00:00:27.080]  以及讓我們去經驗上主祢說話的信實
[00:00:27.680 --> 00:00:30.080]  求祢的聖靈與我們每一個人同在
[00:00:30.080 --> 00:00:32.080]  無論善上善下的每一個
[00:00:32.080 --> 00:00:36.080]  都讓我們能夠守潔心清過每一天的生命生活
[00:00:36.080 --> 00:00:41.080]  能夠配得起上主祢這份所賜予我們永恆生命
[00:00:41.080 --> 00:00:45.080]  也要求祢的帶領讓我們在跌倒的過程當中
[00:00:45.080 --> 00:00:47.080]  也要同樣地得到祢的挽回
[00:00:47.080 --> 00:00:54.080]  很想我們能夠在上主祢的悉心教導和督導之下
[00:00:54.080 --> 00:00:59.080]  讓我們能夠穩步地走在上帝祢所喜悅的事上
[00:00:59.080 --> 00:01:04.080]  也讓我們能夠在透過明白上主祢的心思之後
[00:01:04.080 --> 00:01:08.080]  願意甘心毀身在上主祢的心願裡面
[00:01:08.080 --> 00:01:12.080]  達至上帝祢拯救世人的目的
[00:01:12.080 --> 00:01:14.080]  求祢的帶領幫助
[00:01:14.080 --> 00:01:17.080]  禱告奉靠主耶穌基督得聖名自求
[00:01:17.080 --> 00:01:18.080]  阿門
[00:01:19.080 --> 00:01:25.080]  從今天開始我們會大約用一年至一年半左右的時間
[00:01:25.080 --> 00:01:28.080]  一起去看《路加福音》
[00:01:28.080 --> 00:01:32.080]  聽起來對於很多弟兄姊妹來說是很可怕的
[00:01:32.080 --> 00:01:35.080]  講《路加福音》是講一年多的
[00:01:35.080 --> 00:01:37.080]  不是很可怕的
[00:01:37.080 --> 00:01:39.080]  因為《馬太福音》都講了兩年了
