
[00:00:00.000 --> 00:00:01.860]  讓我們一起來讀兩段聖經
[00:00:01.860 --> 00:00:05.700]  是在提摩太后書一章九節和二章一節
[00:00:05.700 --> 00:00:07.100]  我們一起來
[00:00:07.100 --> 00:00:10.380]  神救了我們 以聖召召我們
[00:00:10.380 --> 00:00:12.240]  不是按我們的行為
[00:00:12.240 --> 00:00:15.020]  乃是按祂的旨意和恩典
[00:00:15.020 --> 00:00:20.420]  這恩典是萬古之先在基督耶穌裡賜給我們的
[00:00:20.420 --> 00:00:22.660]  另外是提摩太后書二章一節
[00:00:22.660 --> 00:00:23.860]  我們一起來
[00:00:23.860 --> 00:00:30.400]  我兒啊 你要在基督耶穌的恩典上剛強起來
[00:00:30.400 --> 00:00:34.900]  感謝大家對於教會短宣的支持和參與
[00:00:34.900 --> 00:00:38.140]  許多短宣隊正在陸陸續續的在出發
[00:00:38.140 --> 00:00:39.080]  今年四月份
[00:00:39.080 --> 00:00:43.380]  我有機會帶著一個短宣隊到馬里共和國
[00:00:43.380 --> 00:00:46.380]  是西非一個穆斯林的國家
[00:00:46.380 --> 00:00:48.520]  那這個國家有兩個特色
[00:00:48.520 --> 00:00:52.680]  第一個就是他們的女性是全世界生育率第二高的
[00:00:52.680 --> 00:00:56.360]  每一個女性平均生5.4個小孩
[00:00:56.360 --> 00:01:00.660]  所以像我們家生三個在那邊真的是小家子
[00:01:00.660 --> 00:01:06.800]  第二個就是這個國家是95%穆斯林的一個國家
[00:01:06.800 --> 00:01:12.580]  所以事實上在當地要信耶穌是非常挑戰
[00:01:12.580 --> 00:01:14.740]  可能會受到極大的逼迫
[00:01:14.740 --> 00:01:15.940]  但是感謝神
[00:01:15.940 --> 00:01:21.180]  當我們這次去拜訪三歲大的生命河馬里靈良堂
[00:01:21.180 --> 00:01:24.680]  你知道嗎 三年前剛教會剛去的時候
[00:01:24.680 --> 00:01:27.220]  教會只有三個人
[00:01:27.220 --> 00:01:29.560]  過了一個月之後變成兩個人
[00:01:29.560 --> 00:01:32.560]  因為有一個人搬家到別的國家去工作了
[00:01:32.560 --> 00:01:35.320]  可是三年之後我們這次去拜訪的時候
[00:01:35.320 --> 00:01:38.360]  哇 這個教會有115個人
[00:01:38.360 --> 00:01:41.100]  哇 感謝讚美神 哈利路亞
[00:01:41.100 --> 00:01:44.140]  而且最特別的是這115個人當中
[00:01:44.140 --> 00:01:47.600]  至少有100位是馬里當地人
[00:01:47.600 --> 00:01:48.900]  這代表什麼
[00:01:48.900 --> 00:01:52.380]  幾乎全部都是穆斯林後來成為基督徒的
[00:01:52.380 --> 00:01:53.880]  這真是太奇妙了
[00:01:53.880 --> 00:01:55.620]  然後感謝主榮耀歸耶神
[00:01:55.620 --> 00:01:57.780]  太感恩 太感恩
[00:01:57.780 --> 00:02:02.180]  然後我們這次在復活節的週末
[00:02:02.180 --> 00:02:04.660]  我們在帶領青年特會
[00:02:04.660 --> 00:02:07.720]  就是訓練年輕人出去街上傳福音
[00:02:07.720 --> 00:02:09.260]  每一天都有人信耶穌
[00:02:09.260 --> 00:02:10.420]  這是不可思議的
[00:02:10.420 --> 00:02:14.960]  然後同時在七個鐘頭遠方的一個分堂
[00:02:14.960 --> 00:02:15.960]  那我們沒有去了
[00:02:15.960 --> 00:02:17.940]  但是我們有當地的同工去
[00:02:17.940 --> 00:02:21.700]  在一個百分之百的穆斯林的村莊
[00:02:21.700 --> 00:02:24.840]  那個週末就有30個人接受耶穌基督
[00:02:24.840 --> 00:02:28.440]  為他們個人救主
[00:02:28.440 --> 00:02:30.540]  弟兄姊妹 當我們在敬拜的時候
[00:02:30.540 --> 00:02:33.420]  我們剛說全地都渴望
[00:02:33.420 --> 00:02:36.080]  看到神的榮耀降臨在我們當中
[00:02:36.080 --> 00:02:38.460]  全地都渴望看到主願你來
[00:02:38.460 --> 00:02:39.800]  我們在這邊禱告
[00:02:39.800 --> 00:02:41.160]  我們在這邊的宣告
[00:02:41.160 --> 00:02:43.360]  神都有垂聽 耶穌
[00:02:43.360 --> 00:02:43.900]  哈利路亞
[00:02:43.900 --> 00:02:46.260]  所以我們在這邊禱告不是開玩笑的
[00:02:46.260 --> 00:02:47.360]  我們在這邊宣告
[00:02:47.360 --> 00:02:48.760]  神真的垂聽
