
[00:00:00.000 --> 00:00:04.520]  我們新的一年跟大家曾經分享過
[00:00:04.520 --> 00:00:08.760]  我們盼望教會能夠成為一個高舉基督的教會
[00:00:08.760 --> 00:00:11.240]  我們的每一個弟兄姊妹的生命
[00:00:11.240 --> 00:00:13.160]  都是高舉耶穌基督
[00:00:13.160 --> 00:00:16.400]  更加能夠活出神給我們的召命
[00:00:16.400 --> 00:00:18.120]  所以我們也提及過
[00:00:18.120 --> 00:00:23.160]  我們從不同的聖經人物來學習
[00:00:23.160 --> 00:00:26.000]  怎樣神透過這些不同的聖經人物
[00:00:26.000 --> 00:00:31.160]  幫助我們成為一個高舉基督、活出召命的基督徒
[00:00:31.160 --> 00:00:35.680]  一月份的時候我跟大家開始講伊利亞
[00:00:35.680 --> 00:00:38.600]  我會用三次的講道
[00:00:38.600 --> 00:00:42.680]  來從伊利亞身上學習
[00:00:42.680 --> 00:00:47.880]  上一次我們先看了皇上的第十九章一到十節
[00:00:47.880 --> 00:00:50.040]  今天我們也會繼續看
[00:00:50.040 --> 00:00:53.120]  我會跟大家多看十一到十八節
[00:00:53.120 --> 00:00:59.400]  在這段經文裡再一次見到神自己有最奇妙的計劃
[00:00:59.400 --> 00:01:03.560]  我們每一個人怎樣可以走在神的裡面
[00:01:03.560 --> 00:01:06.760]  我們怎樣在一些不容易的時刻
[00:01:06.760 --> 00:01:09.200]  我們忍耐、等候
[00:01:09.200 --> 00:01:13.160]  來更加經歷神自己旨意的奇妙
[00:01:13.160 --> 00:01:14.560]  我跟大家來溫習一下
[00:01:14.560 --> 00:01:18.160]  我會大致上讀給大家聽
[00:01:18.160 --> 00:01:19.680]  或者大家看看螢光幕
[00:01:19.680 --> 00:01:22.120]  我們有些溫習上一次的經文
[00:01:22.120 --> 00:01:24.800]  還有我們今天會看的經文
[00:01:24.800 --> 00:01:26.320]  上一次我們提到
[00:01:26.320 --> 00:01:29.400]  當伊利亞和一群巴黎先知
[00:01:29.400 --> 00:01:31.000]  鬥法完之後
[00:01:31.000 --> 00:01:32.440]  去殺了巴黎先知
[00:01:32.440 --> 00:01:35.120]  皇后耶駒就追殺他
[00:01:35.120 --> 00:01:37.600]  在他當中他就要逃亡
[00:01:37.600 --> 00:01:40.800]  然後當他逃亡的過程當中
[00:01:40.800 --> 00:01:41.920]  他經歷了什麼呢?
[00:01:41.920 --> 00:01:45.120]  我上次提到他對人的失望
[00:01:45.120 --> 00:01:46.880]  他對自己的失望
[00:01:46.880 --> 00:01:48.920]  所以來到神面前求死
[00:01:48.920 --> 00:01:52.080]  甚至可能他會對神有所失望
[00:01:52.080 --> 00:01:53.200]  所以他來到神面前
[00:01:53.200 --> 00:01:55.120]  所以我用了若拿先知
[00:01:55.120 --> 00:01:59.040]  作為和伊利亞的一個對比
[00:01:59.040 --> 00:02:03.520]  然後當他經歷到神為他供應了一些食物
[00:02:03.520 --> 00:02:05.240]  等到他再有力量
[00:02:05.240 --> 00:02:08.080]  以致繼續走前面的路的時候
[00:02:08.080 --> 00:02:09.400]  去到一個山洞
[00:02:09.400 --> 00:02:11.640]  在山洞裏面和神對話
[00:02:11.640 --> 00:02:12.760]  在這個對話裏面
[00:02:12.760 --> 00:02:15.640]  我提到這個對話十九章的第十節
[00:02:15.640 --> 00:02:17.000]  和第十四節都一樣
[00:02:17.000 --> 00:02:19.920]  在當中伊利亞和神有兩次的對話
[00:02:19.920 --> 00:02:22.680]  他們的答案都是一模一樣
[00:02:22.680 --> 00:02:26.640]  這也是我們上一次提到的重點
[00:02:26.640 --> 00:02:28.520]  然後在上一節開始
[00:02:28.520 --> 00:02:31.000]  耶和華神和伊利亞的經歷
[00:02:31.000 --> 00:02:35.160]  讓伊利亞體會到神是一位怎樣的神
[00:02:35.160 --> 00:02:38.320]  這一部份會放在第三節的時候
[00:02:38.320 --> 00:02:40.360]  我會多說一點
[00:02:40.360 --> 00:02:43.680]  當伊利亞和神有這個對話之後
[00:02:43.680 --> 00:02:46.640]  神在他的計劃當中
[00:02:46.640 --> 00:02:48.920]  讓伊利亞知道多一點
[00:02:48.920 --> 00:02:52.760]  他告訴伊利亞將來要走的路是怎樣
[00:02:52.760 --> 00:02:56.520]  將來他要繼續完成了甚麼工作
[00:02:56.520 --> 00:03:00.480]  這就是在第十五節到第十八節
[00:03:00.480 --> 00:03:05.640]  講到神再一次讓伊利亞明白多一點
[00:03:05.640 --> 00:03:07.320]  神的計劃
[00:03:07.320 --> 00:03:10.680]  從當中我們整個系列
[00:03:10.680 --> 00:03:12.480]  我想先和大家看看
[00:03:12.480 --> 00:03:13.680]  我不知道大家有沒有印象
[00:03:13.680 --> 00:03:15.640]  在《新約聖經》裏面有一本書
[00:03:15.640 --> 00:03:16.960]  有一位聖經作者
[00:03:16.960 --> 00:03:19.080]  用了伊利亞作為一個例子
[00:03:19.080 --> 00:03:20.920]  他告訴我們
[00:03:20.920 --> 00:03:23.240]  伊利亞和我們是一個怎樣的人呢?
[00:03:23.240 --> 00:03:26.600]  和我們是一個同樣性情的人
[00:03:26.600 --> 00:03:28.080]  我不知道大家聽到之後
[00:03:28.080 --> 00:03:29.920]  會不會都有點開心
[00:03:29.920 --> 00:03:32.080]  或者有甚麼想法
[00:03:32.080 --> 00:03:33.640]  如果你像伊利亞一樣
[00:03:33.640 --> 00:03:35.240]  其實都挺厲害的
[00:03:35.240 --> 00:03:38.280]  伊利亞在以色列人的先知裏面
[00:03:38.280 --> 00:03:40.200]  在以色列人的地位裏面當中
[00:03:40.200 --> 00:03:41.800]  伊利亞很厲害的
[00:03:41.800 --> 00:03:44.480]  這個聖經作者講到
[00:03:44.480 --> 00:03:46.760]  我們和伊利亞是同一樣性情的人
[00:03:46.760 --> 00:03:49.360]  其實我想其中一個很重要的就是提醒我們
[00:03:49.360 --> 00:03:53.120]  伊利亞都不是一個特別厲害的人
[00:03:53.120 --> 00:03:55.440]  雖然在以色列的歷史裏面是很重要
[00:03:55.440 --> 00:03:57.160]  但其實我們都是同樣
[00:03:57.160 --> 00:03:58.200]  好像伊利亞一樣
[00:03:58.200 --> 00:04:01.200]  有可能是我們很強悍的地方
[00:04:01.200 --> 00:04:04.320]  但亦有可能是我們不少軟弱的時候
[00:04:04.320 --> 00:04:07.840]  所以這個伊利亞和我們同一樣性情的人
[00:04:07.840 --> 00:04:09.520]  特別真的幫助到我們
[00:04:09.520 --> 00:04:10.960]  從伊利亞身上
[00:04:10.960 --> 00:04:14.640]  我們可以多點認識我們自己的一些軟弱
[00:04:14.640 --> 00:04:17.600]  我們怎樣可以更加依靠主
[00:04:17.600 --> 00:04:21.960]  怎樣去經歷到神自己的奇妙計劃
[00:04:21.960 --> 00:04:25.400]  上一次我們第一講是認識自己
[00:04:25.400 --> 00:04:27.680]  伊利亞需要不斷去認識自己
[00:04:27.680 --> 00:04:30.640]  以致去除生命裏面一些盲點
[00:04:30.640 --> 00:04:35.160]  是去承認自己其實不是很明白神
[00:04:35.160 --> 00:04:36.440]  明白自己
[00:04:36.440 --> 00:04:39.040]  所以這個都是我們在人生當中要學習
[00:04:39.040 --> 00:04:41.400]  我們都要不斷去認識自己
[00:04:41.400 --> 00:04:43.680]  不要想著我活到一把年紀的時候
[00:04:43.680 --> 00:04:45.840]  我就已經對自己很認識
[00:04:45.840 --> 00:04:48.120]  其實可能我們仍然有一些盲點
[00:04:48.120 --> 00:04:51.360]  是我們看不到、留意不到
[00:04:51.360 --> 00:04:55.440]  以致我們是否一個真是為主而活的人呢?
[00:04:55.440 --> 00:04:57.440]  伊利亞上一次我們提到其中一個
[00:04:57.440 --> 00:04:58.840]  他是告訴神
[00:04:58.840 --> 00:05:01.800]  我為神大發熱心
[00:05:01.800 --> 00:05:05.360]  講到好像是一個完全為主而活的人
[00:05:05.360 --> 00:05:07.680]  但我們說到縱然他是大發熱心
[00:05:07.680 --> 00:05:10.000]  要很小心去檢視一下
[00:05:10.000 --> 00:05:13.800]  這個為神的熱心到底是否合乎聖經
[00:05:13.800 --> 00:05:17.120]  這個熱心是否真的經得起考驗
[00:05:17.120 --> 00:05:19.160]  當我們好像為神大發熱心的時候
[00:05:19.160 --> 00:05:23.280]  我們的領袖是否真的能夠尊重別人
[00:05:23.280 --> 00:05:25.200]  彼此尊重
[00:05:25.200 --> 00:05:28.760]  更加不要因為對人對自己的失望
[00:05:28.760 --> 00:05:30.480]  同樣又對神失望
[00:05:30.480 --> 00:05:31.720]  我們要將我們的盼望
[00:05:31.720 --> 00:05:34.400]  不是放在人,不是放在自己的身上
[00:05:34.400 --> 00:05:37.480]  我們的盼望是要放在神的身上
[00:05:37.480 --> 00:05:40.280]  我們要尚存對神的盼望
[00:05:40.280 --> 00:05:41.200]  所以上次我們提到
[00:05:41.200 --> 00:05:43.600]  伊利亞如何去看自己的遭遇
[00:05:43.600 --> 00:05:46.080]  他覺得自己只剩下一個人
[00:05:46.080 --> 00:05:50.640]  他看不起他躲在山洞裡的一百個戰士
[00:05:50.640 --> 00:05:53.960]  他又不知道神為他們留下七千人
[00:05:53.960 --> 00:05:56.080]  他的遭遇,他看自己就是
[00:05:56.080 --> 00:05:58.920]  只有我為神大發熱心
[00:05:58.920 --> 00:06:01.160]  這是上次我們講的重點
[00:06:01.160 --> 00:06:02.720]  今天很想和大家看
[00:06:02.720 --> 00:06:06.000]  就是伊利亞如何去看自己的角色
[00:06:06.000 --> 00:06:07.640]  上次就是看他的遭遇
[00:06:07.640 --> 00:06:11.960]  今天就是看伊利亞如何去看自己的角色
[00:06:11.960 --> 00:06:13.640]  伊利亞認為自己是什麼人呢?
[00:06:13.640 --> 00:06:17.600]  是神最忠心的先知
[00:06:17.600 --> 00:06:21.120]  在第十九章,第十節和第十四節
[00:06:21.120 --> 00:06:24.800]  我們都很常看到經文
[00:06:24.800 --> 00:06:27.280]  他如何看自己是神最忠心的先知
[00:06:27.280 --> 00:06:30.640]  當他自己以為自己是神最忠心的先知的時候
[00:06:30.640 --> 00:06:32.200]  我打了一個問號
[00:06:32.200 --> 00:06:35.480]  我們真的要想清楚是不是呢?
[00:06:35.480 --> 00:06:38.440]  其中一個,你會看到伊利亞在做什麼呢?
[00:06:38.440 --> 00:06:44.440]  伊利亞正在做一個向神控告以色列人的先知
[00:06:44.440 --> 00:06:46.320]  他向神控告的內容
[00:06:46.320 --> 00:06:49.360]  就是我們上次和今天都有看過
[00:06:49.360 --> 00:06:52.760]  他告訴神,這群以色列人背棄了你的約
[00:06:52.760 --> 00:06:56.800]  這群以色列人個個都不聽你的話
