
[00:00:00.000 --> 00:00:06.000]  提予法定人數不足
[00:00:30.000 --> 00:00:33.000]  經文一開始就這樣說
[00:00:33.000 --> 00:00:36.000]  不如我們一起讀這段經文
[00:00:36.000 --> 00:00:41.000]  你們若是熱心行善,有誰害你們呢?
[00:00:41.000 --> 00:00:45.000]  你們就是為義受苦,也是有福的。
[00:00:45.000 --> 00:00:49.000]  神的旨意若是叫你們因行善受苦,
[00:00:49.000 --> 00:00:52.000]  總強如因行惡受苦。
[00:00:52.000 --> 00:00:57.000]  這三個經文有三個可能性
[00:00:57.000 --> 00:01:01.000]  第一個可能性是我們熱心行善
[00:01:01.000 --> 00:01:05.000]  第二個情況是我們行惡受苦
[00:01:05.000 --> 00:01:08.000]  第三個情況是我們行善受苦
[00:01:08.000 --> 00:01:12.000]  第一個情況說到我們熱心行善
[00:01:12.000 --> 00:01:16.000]  經文說我們熱心行善,有誰會害你呢?
[00:01:16.000 --> 00:01:18.000]  其實這也是一個常態
[00:01:18.000 --> 00:01:21.000]  當我們做好事的時候,我們行善的時候
[00:01:21.000 --> 00:01:23.000]  我們做正確的事情的時候
[00:01:23.000 --> 00:01:25.000]  有誰會對我們不好呢?
[00:01:25.000 --> 00:01:27.000]  我們熱心行善是應該的
[00:01:27.000 --> 00:01:31.000]  正如之前那段經文這麼說
[00:01:31.000 --> 00:01:35.000]  也要離惡行善,尋求和睦,一心追趕
[00:01:35.000 --> 00:01:39.000]  因為神的眼看顧二人
[00:01:39.000 --> 00:01:42.000]  很清楚,當我們離惡行善的時候
[00:01:42.000 --> 00:01:44.000]  上帝的眼睛是會怎樣呢?
[00:01:44.000 --> 00:01:47.000]  去看著那些行善的人
[00:01:47.000 --> 00:01:51.000]  所以如果這樣說,我們就不應該怕了
[00:01:51.000 --> 00:01:54.000]  但很特別的,他開始的時候
[00:01:54.000 --> 00:01:56.000]  用了一個問句
[00:01:56.000 --> 00:01:59.000]  「你們若是熱心行善,還有誰會害你呢?」
[00:01:59.000 --> 00:02:01.000]  不會啦,是不是?
[00:02:01.000 --> 00:02:04.000]  應該就應該不會,應該是這樣
[00:02:04.000 --> 00:02:08.000]  這段經文提醒我們,我們要熱心行善
[00:02:08.000 --> 00:02:12.000]  但另一方面,這段經文裡面出現了第二個情況
[00:02:12.000 --> 00:02:15.000]  就是行惡受苦
[00:02:15.000 --> 00:02:20.000]  因為做了一些不應該做的事情,而受到苦楚
