
[00:00:00.000 --> 00:00:03.300]  感謝主以很美麗真摯的見證
[00:00:03.300 --> 00:00:05.380]  也是很榮耀的思歌
[00:00:05.380 --> 00:00:10.740]  今天被稱為是聖經培靈的主人
[00:00:10.740 --> 00:00:13.300]  我就選了一個題目就是
[00:00:13.300 --> 00:00:16.840]  想講一下耶穌的比喻
[00:00:16.840 --> 00:00:19.740]  當眾天國的奧悲
[00:00:19.740 --> 00:00:23.980]  聖經當然我們大家都很熟
[00:00:23.980 --> 00:00:25.980]  是神的說話
[00:00:25.980 --> 00:00:27.460]  但是有沒有想過
[00:00:27.460 --> 00:00:29.460]  當你拿著聖經的時候
[00:00:29.460 --> 00:00:31.460]  是有一個矛盾在裡面
[00:00:31.460 --> 00:00:33.460]  那個矛盾就是一方面
[00:00:33.460 --> 00:00:38.200]  因為聖經是那位宇宙最高的主宰
[00:00:38.200 --> 00:00:41.160]  創造宇宙創造星河
[00:00:41.160 --> 00:00:43.960]  然後對於一個其中的星球
[00:00:43.960 --> 00:00:47.660]  裡面有一種生物叫做人類要講的說話
[00:00:47.660 --> 00:00:50.160]  就是很高超的嘛
[00:00:50.160 --> 00:00:52.760]  他的想法
[00:00:52.760 --> 00:00:54.760]  他的做法
[00:00:54.760 --> 00:00:57.960]  甚至他的能力那種偉大
[00:00:57.960 --> 00:01:00.960]  他用甚麼方式去愛
[00:01:00.960 --> 00:01:04.960]  這些都是超過我們人類所能夠了解的
[00:01:04.960 --> 00:01:06.960]  我相信
[00:01:06.960 --> 00:01:10.960]  一方面聖經有它很難
[00:01:10.960 --> 00:01:14.460]  很高超很難明白的地方
[00:01:14.460 --> 00:01:16.460]  但是另一方面
[00:01:16.460 --> 00:01:19.960]  神所寫的說話聖經也是給我們看的
[00:01:19.960 --> 00:01:20.960]  他想我們明白的嘛
[00:01:20.960 --> 00:01:22.460]  不然寫來幹甚麼呢
[00:01:22.460 --> 00:01:24.460]  所以這裡有一個張力
[00:01:24.460 --> 00:01:25.460]  有沒有想過
[00:01:25.460 --> 00:01:27.960]  真的有個張力在這裡 有少少的矛盾
[00:01:27.960 --> 00:01:29.960]  一方面又想我們聽得明白
[00:01:29.960 --> 00:01:31.960]  但是另一方面他又這麼深奧
[00:01:31.960 --> 00:01:33.960]  這麼超越的時候
[00:01:33.960 --> 00:01:36.960]  我們又似乎沒辦法完全明白得到
[00:01:36.960 --> 00:01:38.960]  這種這樣的張力
[00:01:38.960 --> 00:01:41.960]  是成為我們一起去
[00:01:41.960 --> 00:01:45.960]  不斷一生去能夠突破的地方
[00:01:45.960 --> 00:01:48.960]  所以今天我最後就決定
[00:01:48.960 --> 00:01:51.960]  選擇了耶穌所講的比喻
[00:01:51.960 --> 00:01:53.960]  作為一個入手點
[00:01:53.960 --> 00:01:55.960]  幫我們能夠去看看
[00:01:55.960 --> 00:01:59.960]  這種好似有一個矛盾的張力
[00:01:59.960 --> 00:02:02.960]  怎樣去解決到它 好不好
[00:02:02.960 --> 00:02:04.960]  這裡我今天就用了
[00:02:04.960 --> 00:02:07.960]  《馬太福音》的第十三章
[00:02:07.960 --> 00:02:09.960]  如果你有聖經都可以打開的
[00:02:09.960 --> 00:02:11.960]  或者打開你的手機
