
[00:00:00.000 --> 00:00:03.000]  請我們再一次同心我們一同祈禱
[00:00:03.000 --> 00:00:06.000]  天父我們再一次感謝祢
[00:00:06.000 --> 00:00:09.000]  給祢的寶貴話語作為我們生命的指引
[00:00:09.000 --> 00:00:12.000]  求祢在這個時候與我們同在
[00:00:12.000 --> 00:00:14.000]  藉著祢的話語去提醒
[00:00:14.000 --> 00:00:15.000]  勸勉
[00:00:15.000 --> 00:00:16.000]  警惕
[00:00:16.000 --> 00:00:17.000]  催逼
[00:00:17.000 --> 00:00:18.000]  改變我們
[00:00:18.000 --> 00:00:20.000]  我們這樣的祈禱
[00:00:20.000 --> 00:00:21.000]  奉耶穌基督命求
[00:00:21.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:28.000]  黃炎麗池是魯力士的創辦人
[00:00:28.000 --> 00:00:33.000]  魯力士是一個專門服侍自閉症小朋友的機構
[00:00:33.000 --> 00:00:36.000]  也是編了這個課程去幫助父母
[00:00:36.000 --> 00:00:39.000]  專門幫助自閉症的小朋友
[00:00:39.000 --> 00:00:42.000]  因為黃麗池出生在香港
[00:00:42.000 --> 00:00:45.000]  後來在拿打數醫院任職護士
[00:00:45.000 --> 00:00:48.000]  升到護士長
[00:00:48.000 --> 00:00:50.000]  因為她的兒子澤林
[00:00:50.000 --> 00:00:51.000]  Louis
[00:00:51.000 --> 00:00:52.000]  患有自閉症
[00:00:52.000 --> 00:00:55.000]  再加上智障IQ不是那麼高
[00:00:55.000 --> 00:00:57.000]  所以在學習能力上
[00:00:57.000 --> 00:00:59.000]  是有很大的阻滯
[00:00:59.000 --> 00:01:05.000]  1992年7月
[00:01:05.000 --> 00:01:09.000]  他們一家移民到西澳洲的帕斯
[00:01:09.000 --> 00:01:13.000]  當時澤林是被介紹到一個特殊的學校
[00:01:13.000 --> 00:01:16.000]  由於他不能夠適應環境的轉變
[00:01:16.000 --> 00:01:21.000]  再加上他本身有一個自閉症
[00:01:21.000 --> 00:01:24.000]  所以他變得非常暴躁
[00:01:24.000 --> 00:01:26.000]  引起學校的關注
[00:01:26.000 --> 00:01:28.000]  1995年2月
[00:01:28.000 --> 00:01:32.000]  澤林的老師在他的成績表裡有這樣的評語
[00:01:32.000 --> 00:01:35.000]  說澤林沒有學習文字的能力
[00:01:35.000 --> 00:01:37.000]  其實這類評語
[00:01:37.000 --> 00:01:39.000]  他媽媽已經第三次看到了
[00:01:39.000 --> 00:01:41.000]  所以對他來說一點也不奇怪
[00:01:41.000 --> 00:01:44.000]  但是他媽媽就決定辭去護士之職
[00:01:44.000 --> 00:01:47.000]  專心去教養澤林
[00:01:47.000 --> 00:01:49.000]  經過了一個月悉心的教導
[00:01:49.000 --> 00:01:51.000]  澤林可以坐得穩定一點
[00:01:51.000 --> 00:01:53.000]  可以坐30分鐘
[00:01:53.000 --> 00:01:56.000]  坐到45分鐘
[00:01:56.000 --> 00:01:59.000]  之後王女士就開始教他寫字
[00:01:59.000 --> 00:02:01.000]  串一些字母
[00:02:01.000 --> 00:02:03.000]  經過四個月的操練
[00:02:03.000 --> 00:02:05.000]  他可以寫出Louis這個字
[00:02:05.000 --> 00:02:07.000]  1995年10月
[00:02:07.000 --> 00:02:09.000]  他已經密了一個很簡單的句子
[00:02:09.000 --> 00:02:11.000]  Daddy, I love you
[00:02:11.000 --> 00:02:14.000]  這個媽媽就非常受鼓舞
[00:02:14.000 --> 00:02:17.000]  不過奇怪的事情就發生了
[00:02:17.000 --> 00:02:19.000]  1996年
[00:02:19.000 --> 00:02:24.000]  當王女士認真教澤林數目和數學的時候
[00:02:24.000 --> 00:02:27.000]  他就有驚人的發現
[00:02:27.000 --> 00:02:29.000]  首先他用了10個月的時間
[00:02:29.000 --> 00:02:33.000]  教澤林數1-5
[00:02:33.000 --> 00:02:37.000]  接著6-10就需要3個月的時間
[00:02:37.000 --> 00:02:39.000]  他就掌握到了
[00:02:39.000 --> 00:02:41.000]  11-20只需要一個月的時間
[00:02:41.000 --> 00:02:43.000]  他就搞定了
[00:02:43.000 --> 00:02:45.000]  到了1996年的時候
[00:02:45.000 --> 00:02:51.000]  王女士就突然發現澤林對數學有很大的天才
[00:02:51.000 --> 00:02:56.000]  他不單可以很快地計算出一些簡單的數學問題
[00:02:56.000 --> 00:02:58.000]  甚至一些比較艱深的
[00:02:58.000 --> 00:03:01.000]  他可以在很短的時間就已經計算出來了
[00:03:01.000 --> 00:03:03.000]  我考考大家
[00:03:03.000 --> 00:03:07.000]  看看你是不是像我這麼差
[00:03:07.000 --> 00:03:09.000]  澤林是厲害很多
[00:03:09.000 --> 00:03:13.000]  0.5加1/2等於多少?
[00:03:13.000 --> 00:03:15.000]  1
[00:03:15.000 --> 00:03:18.000]  澤林只是用了1秒鐘就寫出1
[00:03:18.000 --> 00:03:20.000]  第二條
[00:03:20.000 --> 00:03:31.000]  1/16+2/2-3/8等於多少?
[00:03:31.000 --> 00:03:34.000]  我按計算機都未必這麼快
[00:03:34.000 --> 00:03:38.000]  他只是用了3秒鐘就計算出3/16=5
[00:03:38.000 --> 00:03:40.000]  另外一條
[00:03:40.000 --> 00:03:43.000]  這條我不知道哪個數學天才可以很快地計算
[00:03:43.000 --> 00:03:47.000]  3.125-0.25的括弧
[00:03:47.000 --> 00:03:52.000]  乘16乘1/4等於多少?
[00:03:52.000 --> 00:03:54.000]  讓你按都按不到
[00:03:54.000 --> 00:04:00.000]  澤林只需要3秒鐘的時間就寫出11.5的答案
[00:04:00.000 --> 00:04:03.000]  不單加減乘除這麼厲害
[00:04:03.000 --> 00:04:06.000]  他對於代數幾何都難不到他
[00:04:06.000 --> 00:04:08.000]  我給你算一下代數
[00:04:08.000 --> 00:04:11.000]  x^2-3x+a=0
[00:04:11.000 --> 00:04:16.000]  x=6,a等於多少?
[00:04:16.000 --> 00:04:18.000]  18
[00:04:18.000 --> 00:04:20.000]  他只是用了3秒鐘
[00:04:20.000 --> 00:04:21.000]  第二條
[00:04:21.000 --> 00:04:27.000]  3x+4/5^2-12x/5=5
[00:04:27.000 --> 00:04:30.000]  41/5,x是多少?
[00:04:30.000 --> 00:04:34.000]  我讀都讀得這麼笨
[00:04:34.000 --> 00:04:38.000]  他很快就計算到-3.7
[00:04:38.000 --> 00:04:44.000]  王女士就將澤林計算數學的情況錄影出來
[00:04:44.000 --> 00:04:46.000]  給了一位醫生的朋友
[00:04:46.000 --> 00:04:49.000]  在香港我也認識這位朋友
