
[00:00:00.000 --> 00:00:05.000]  早前我太太跟我說她學車
[00:00:05.000 --> 00:00:07.000]  我第一個反應是跟她說
[00:00:07.000 --> 00:00:11.000]  「不用了,我懂得開,我接送你便可以」
[00:00:11.000 --> 00:00:14.000]  結果她當然照樣學
[00:00:14.000 --> 00:00:18.000]  她還要是一次過通過
[00:00:18.000 --> 00:00:20.000]  我為何這樣說呢
[00:00:20.000 --> 00:00:22.000]  我真的不是一次過通過
[00:00:22.000 --> 00:00:25.000]  你猜我資質這麼好,考多少次
[00:00:25.000 --> 00:00:27.000]  三次而已
[00:00:27.000 --> 00:00:29.000]  這裡有沒有人比我多
[00:00:29.000 --> 00:00:31.000]  不要舉手
[00:00:31.000 --> 00:00:34.000]  我考三次才通過
[00:00:34.000 --> 00:00:37.000]  所以勾起我一些傷心的往事
[00:00:37.000 --> 00:00:40.000]  特別那次的考試
[00:00:40.000 --> 00:00:43.000]  真的感覺到無力自救
[00:00:43.000 --> 00:00:46.000]  好像這個講題一樣,無力自救
[00:00:46.000 --> 00:00:50.000]  需要甚麼呢,就是需要泊車
[00:00:50.000 --> 00:00:54.000]  泊車正常應該是較為容易
[00:00:54.000 --> 00:00:56.000]  你留意這裡有很多字
[00:00:56.000 --> 00:00:58.000]  很細小的,不需要看它是甚麼
[00:00:58.000 --> 00:01:02.000]  全部告訴你,去到哪個位置就轉
[00:01:02.000 --> 00:01:05.000]  扭軚去到哪個位置就做甚麼
[00:01:05.000 --> 00:01:09.000]  因為有雪糕筒,有標記在地上
[00:01:09.000 --> 00:01:11.000]  大家如果學過車就知道
[00:01:11.000 --> 00:01:15.000]  考車有指示教你
[00:01:15.000 --> 00:01:18.000]  當日我考試
[00:01:18.000 --> 00:01:22.000]  我排第五輛車,預備泊車
[00:01:22.000 --> 00:01:25.000]  誰知我的考官跟我說
[00:01:25.000 --> 00:01:29.000]  你泊前一點的位置
[00:01:29.000 --> 00:01:33.000]  你知不知道前一點的位置有甚麼特別
[00:01:33.000 --> 00:01:35.000]  是甚麼都沒有
[00:01:35.000 --> 00:01:36.000]  真的泊位
[00:01:36.000 --> 00:01:38.000]  我們都很老實說
[00:01:38.000 --> 00:01:40.000]  學完就不會泊這些位置
[00:01:40.000 --> 00:01:42.000]  我有雪糕筒,我都會泊
[00:01:42.000 --> 00:01:44.000]  有指示都會泊
[00:01:44.000 --> 00:01:47.000]  我那種感覺真的很無奈
[00:01:47.000 --> 00:01:49.000]  我心裡都是這樣想
[00:01:49.000 --> 00:01:51.000]  有機會泊到,還有些希望
[00:01:51.000 --> 00:01:53.000]  覺得自己都可以
[00:01:53.000 --> 00:01:56.000]  我那種真的有點無力感
[00:01:56.000 --> 00:01:58.000]  但在我生命中
[00:01:58.000 --> 00:02:01.000]  真是最令我看到
[00:02:01.000 --> 00:02:04.000]  一個人無力自救
[00:02:04.000 --> 00:02:06.000]  但卻是有出路的
[00:02:06.000 --> 00:02:08.000]  是甚麼事情呢
[00:02:08.000 --> 00:02:10.000]  就是我有位老師
[00:02:10.000 --> 00:02:12.000]  他教籃球
[00:02:12.000 --> 00:02:14.000]  那時我打校隊
[00:02:14.000 --> 00:02:15.000]  有機會跟他學
[00:02:15.000 --> 00:02:17.000]  但我離開了學校之後
[00:02:17.000 --> 00:02:21.000]  我知道他患了癌症
[00:02:21.000 --> 00:02:23.000]  但很短時間後他離開了世界
[00:02:23.000 --> 00:02:25.000]  我知道之後都無法探望他
[00:02:25.000 --> 00:02:27.000]  但我在他的安息禮拜裡
[00:02:27.000 --> 00:02:31.000]  我從他太太和牧師的口中說到
[00:02:31.000 --> 00:02:34.000]  原來這位我很尊敬的老師
[00:02:34.000 --> 00:02:36.000]  他一直都未信耶穌
[00:02:36.000 --> 00:02:38.000]  雖然我讀的是基督教學校
[00:02:38.000 --> 00:02:40.000]  但他在甚麼時候
[00:02:40.000 --> 00:02:44.000]  他的思想、信仰、福音跟他的關係
[00:02:44.000 --> 00:02:47.000]  正正就是在他無力的時候
[00:02:47.000 --> 00:02:49.000]  他有一次痛得很辛苦
[00:02:49.000 --> 00:02:51.000]  他病的時候
[00:02:51.000 --> 00:02:55.000]  病到不能再忍受
[00:02:55.000 --> 00:03:00.000]  結果他打算去按求救鐘
[00:03:00.000 --> 00:03:02.000]  誰知他發覺那一刻
[00:03:02.000 --> 00:03:05.000]  他連按鐘的能力都沒有
[00:03:05.000 --> 00:03:07.000]  你剛才看到這幅相
[00:03:07.000 --> 00:03:09.000]  其實我想告訴你
[00:03:09.000 --> 00:03:11.000]  他真的能入瓶
[00:03:11.000 --> 00:03:12.000]  他真是很厲害
[00:03:12.000 --> 00:03:14.000]  他的能力很強
[00:03:14.000 --> 00:03:16.000]  但他竟然體驗到
[00:03:16.000 --> 00:03:19.000]  他去到那一刻是無力自救
[00:03:19.000 --> 00:03:21.000]  但在無力自救的裡邊
[00:03:21.000 --> 00:03:24.000]  他體驗完
[00:03:24.000 --> 00:03:26.000]  他知道自己有限
[00:03:26.000 --> 00:03:28.000]  知道自己的不足
[00:03:28.000 --> 00:03:30.000]  所以他就叫他太太
[00:03:30.000 --> 00:03:32.000]  找牧師來跟他說福音
[00:03:32.000 --> 00:03:34.000]  最後他信了耶穌
[00:03:34.000 --> 00:03:38.000]  所以保羅在羅馬書
[00:03:38.000 --> 00:03:42.000]  他一直一直跟猶太人說
[00:03:42.000 --> 00:03:45.000]  那個很重要很重要的議題
[00:03:45.000 --> 00:03:47.000]  就是去到第三章
[00:03:47.000 --> 00:03:48.000]  第二章的時候
[00:03:48.000 --> 00:03:49.000]  就告訴你知道
[00:03:49.000 --> 00:03:52.000]  其實你們是不能夠
[00:03:52.000 --> 00:03:55.000]  靠守律法而稱議
[00:03:55.000 --> 00:03:57.000]  你是無力自救
[00:03:57.000 --> 00:04:01.000]  你是徹底的罪人
[00:04:01.000 --> 00:04:03.000]  你知道很敏感
