
[00:00:00.000 --> 00:00:05.100]  今日同大家分享嘅經文係我好猶疑嘅
[00:00:05.100 --> 00:00:08.460]  猶疑因為呢段經文你望落去
[00:00:08.460 --> 00:00:09.940]  路加夫林第十五章
[00:00:09.940 --> 00:00:12.980]  你諗諗大概都好似
[00:00:12.980 --> 00:00:14.500]  你都知道大概講咩㗎啦
[00:00:14.500 --> 00:00:17.180]  路加夫林第十五章
[00:00:17.180 --> 00:00:20.780]  一大半嘅經文都係講緊浪子嘅比喻
[00:00:20.780 --> 00:00:23.020]  所以我有少少矛盾感嘅
[00:00:23.020 --> 00:00:26.220]  就係當今年年度編嘅時候呢
[00:00:26.220 --> 00:00:31.220]  我編嘅時候覺得呢段經文呢一部份都幾有意思嘅
[00:00:31.220 --> 00:00:33.660]  咁咪好想講啦好想編啦
[00:00:33.660 --> 00:00:34.860]  編埋自己落去添
[00:00:34.860 --> 00:00:37.500]  點知當我去到預備嘅時候發覺
[00:00:37.500 --> 00:00:41.100]  睇吓我以前都講過三次定係幾多次呢段經文
[00:00:41.100 --> 00:00:42.800]  仲有咩新嘢講呢
[00:00:42.800 --> 00:00:44.020]  因為佢好躊躇
[00:00:44.020 --> 00:00:47.300]  呢個就係講到嘅人嘅一種嘅掙扎嚟㗎
[00:00:47.300 --> 00:00:48.860]  但係咁就住一下
[00:00:48.860 --> 00:00:50.860]  最後又有啲新嘅睇法
[00:00:50.860 --> 00:00:54.140]  咁樣從咩開始好呢
[00:00:54.140 --> 00:00:55.500]  從一個人開始好嗎
[00:00:55.500 --> 00:00:58.060]  咁呀呢個人呢可能我中間有啲人都聽過
[00:00:58.060 --> 00:01:00.300]  佢個名係戴綿恩牧師
[00:01:00.300 --> 00:01:01.580]  David Dimian
[00:01:01.580 --> 00:01:04.780]  咁如果你去到回家參加過以往喺
[00:01:04.780 --> 00:01:06.380]  即係阿博嘅聚集呢
[00:01:06.380 --> 00:01:08.620]  你可能記得呢個呢一位嘅牧師
[00:01:08.620 --> 00:01:09.900]  呢個安及嘅牧師
[00:01:09.900 --> 00:01:13.180]  一個即係其中一個主要嘅領袖喇
[00:01:13.180 --> 00:01:14.380]  喺嗰個團隊嘅裏面
[00:01:14.380 --> 00:01:15.980]  佢成日都講嘢嘅
[00:01:15.980 --> 00:01:17.740]  咁呀安及嘅牧師
[00:01:17.740 --> 00:01:20.380]  咁佢好特別嘅地方就係好記得佢有七個仔女嘅
[00:01:20.380 --> 00:01:23.820]  佢話好多個七個佢有
[00:01:23.820 --> 00:01:28.620]  咁呀即係可能非洲人就生養眾多
[00:01:28.620 --> 00:01:30.220]  比中國人更犀利
[00:01:30.220 --> 00:01:34.060]  咁呀就但佢分享嗰次就唔係講佢自己嘅仔女
[00:01:34.060 --> 00:01:39.420]  佢分享就係佢阿爸同佢阿爸幾多次傾偈幾多個嘅感覺感嘆
[00:01:39.420 --> 00:01:43.180]  佢以前係做醫生嘅喺埃及
[00:01:43.180 --> 00:01:46.060]  即係身邊佢轉咗即係呼召佢勒神呼召佢
[00:01:46.060 --> 00:01:48.860]  佢就做咗牧職啦入咗去
[00:01:48.860 --> 00:01:51.580]  做醫生當然係一個好高尚嘅行業啦
[00:01:51.580 --> 00:01:55.020]  都好唔容易啦喺埃及嘅地方你考多個
[00:01:55.020 --> 00:01:59.020]  即係醫生嘅牌照經歷好多嘅困難好多嘅努力達成啦
[00:01:59.020 --> 00:02:03.420]  佢分享就係當佢知道呢佢自己終於過咗關啦
[00:02:03.420 --> 00:02:05.420]  佢自己可以呢即係行醫啦
[00:02:05.420 --> 00:02:07.020]  可以有呢個嘅牌照啦
[00:02:07.020 --> 00:02:08.380]  咁佢同佢阿爸講啦
[00:02:08.380 --> 00:02:10.060]  一齊高興一齊開心啦
[00:02:10.060 --> 00:02:12.860]  咁佢阿爸就話我真係好高興呀
[00:02:12.860 --> 00:02:16.140]  有個兒子可以呢進入去呢個行業裡面
[00:02:16.140 --> 00:02:19.180]  我中間好多人都係做人父母喎大部分都係
[00:02:19.180 --> 00:02:22.060]  如果你個仔做醫生你點呀
[00:02:22.060 --> 00:02:26.140]  好辛苦呀
[00:02:26.140 --> 00:02:27.660]  ok我都諗到呢樣嘢㗎
[00:02:27.660 --> 00:02:29.420]  咁就做醫生其實好辛苦㗎
[00:02:29.420 --> 00:02:33.740]  即係畀好多工作更加之嘅長嘅時間嘅勞碌
[00:02:33.740 --> 00:02:35.820]  咁但係呢個係一個好好嘅
[00:02:35.820 --> 00:02:38.700]  即係名榮譽啦可以咁講啦
[00:02:38.700 --> 00:02:42.620]  香港呢我知道呢係DSE最高分嗰啲就係獨家做醫科嘅
