
[00:00:00.000 --> 00:00:02.000]  太子會早安
[00:00:02.000 --> 00:00:04.000]  我們一起禱告
[00:00:04.000 --> 00:00:08.000]  天父多謝你讓我們今天的早上來向你敬拜
[00:00:08.000 --> 00:00:12.000]  讓我們再次進入聖誕節章臨期的時候
[00:00:12.000 --> 00:00:16.000]  讓我們更加反思和你的關係
[00:00:16.000 --> 00:00:18.000]  願以聖靈來到當中
[00:00:18.000 --> 00:00:19.000]  與我們重人同在
[00:00:19.000 --> 00:00:21.000]  使用孩子所說的
[00:00:21.000 --> 00:00:23.000]  弟姐們所聽的都是同感令
[00:00:23.000 --> 00:00:27.000]  幫助我們能夠找到猶太人的鑊在哪裏
[00:00:27.000 --> 00:00:30.000]  以上是禱告,我們教主寶貴的桑文哲祈禱
[00:00:30.000 --> 00:00:35.000]  弟兄、姐妹,心水清的話
[00:00:35.000 --> 00:00:37.000]  如果你上個禮拜又回崇拜的話
[00:00:37.000 --> 00:00:40.000]  你應該知道這段經文上個禮拜都說了
[00:00:40.000 --> 00:00:45.000]  哎呀,又是這段,上帝又要你再聽一次
[00:00:45.000 --> 00:00:50.000]  不過,上次我鄺牧師從聖地當中
[00:00:50.000 --> 00:00:53.000]  去講解這段經文
[00:00:53.000 --> 00:00:58.000]  希望從多一點文本的方面講解這段經文
[00:00:58.000 --> 00:01:00.000]  讓我們一起學習
[00:01:00.000 --> 00:01:06.000]  這次講猶太人的王在哪裏
[00:01:06.000 --> 00:01:10.000]  這個問題是誰問的呢?
[00:01:10.000 --> 00:01:13.000]  這個問題很明顯是有幾位博士
[00:01:13.000 --> 00:01:15.000]  來到耶路撒冷問這個問題
[00:01:15.000 --> 00:01:21.000]  那將要生出來的猶太王在哪裏?
[00:01:21.000 --> 00:01:23.000]  問了一條問題
[00:01:23.000 --> 00:01:29.000]  這條問題已經足以震撼整個耶路撒冷
[00:01:29.000 --> 00:01:35.000]  震撼了一個有權有勢的希律王
[00:01:35.000 --> 00:01:37.000]  一條問題而已
[00:01:37.000 --> 00:01:41.000]  已經令希律王和整個耶路撒冷的人
[00:01:41.000 --> 00:01:43.000]  所有人都有很大的反應
[00:01:43.000 --> 00:01:47.000]  聖經形容他們是非常之不安
[00:01:47.000 --> 00:01:52.000]  還有,耶路撒冷有很多人很不安
[00:01:52.000 --> 00:01:58.000]  我們就要問,究竟一群希律王
[00:01:58.000 --> 00:02:01.000]  和耶路撒冷這群人究竟害怕什麼呢?
[00:02:01.000 --> 00:02:04.000]  一個嬰兒將要出生
[00:02:04.000 --> 00:02:08.000]  而一個所謂的東方博士來到說
[00:02:08.000 --> 00:02:11.000]  出生的嬰兒的猶太王在哪裏?
[00:02:11.000 --> 00:02:14.000]  為什麼這句話足以震撼
[00:02:14.000 --> 00:02:18.000]  令到整個耶路撒冷和猶太人不安
[00:02:18.000 --> 00:02:21.000]  讓我們有一些研究
[00:02:21.000 --> 00:02:25.000]  究竟希律王是一個什麼人呢?
[00:02:25.000 --> 00:02:28.000]  希律王其實是一個很出名
[00:02:28.000 --> 00:02:30.000]  是一個很精明的政治家
[00:02:30.000 --> 00:02:34.000]  他為了得罪羅馬的支持
[00:02:34.000 --> 00:02:36.000]  所以他隨時都會改變立場
[00:02:36.000 --> 00:02:40.000]  哪裏有利益,哪裏站邊邊
[00:02:40.000 --> 00:02:44.000]  起初當年他支持凱撒
[00:02:44.000 --> 00:02:48.000]  後來就和凱撒的敵人一起聯盟
[00:02:48.000 --> 00:02:50.000]  來對付凱撒
[00:02:50.000 --> 00:02:53.000]  不過凱撒被刺殺之後
[00:02:53.000 --> 00:02:57.000]  然後他的好友安東尼
[00:02:57.000 --> 00:03:01.000]  在當中聯同奧古斯道
[00:03:01.000 --> 00:03:04.000]  奧古斯道的大衛聯手
[00:03:04.000 --> 00:03:08.000]  去打敗暗殺凱撒的敵人
[00:03:08.000 --> 00:03:12.000]  之前我剛才說
[00:03:12.000 --> 00:03:16.000]  希律和暗殺凱撒的敵人是同盟
[00:03:16.000 --> 00:03:22.000]  看到現在安東尼為了討他的歡心
[00:03:22.000 --> 00:03:25.000]  不惜用很多錢來賄賂他
[00:03:25.000 --> 00:03:29.000]  來當中得罪了安東尼的支持
[00:03:29.000 --> 00:03:34.000]  不過後來安東尼和奧古斯道又打起來了
[00:03:34.000 --> 00:03:38.000]  打起來的時候安東尼是戰敗
[00:03:38.000 --> 00:03:40.000]  後來自殺
[00:03:40.000 --> 00:03:45.000]  所以當時的得勢應該是奧古斯道
[00:03:45.000 --> 00:03:48.000]  希律不單止是一個精明的政治家
[00:03:48.000 --> 00:03:51.000]  更重要是他的嘴巴很強
[00:03:51.000 --> 00:03:56.000]  他能夠用他的精妙的技巧
[00:03:56.000 --> 00:04:01.000]  說服奧古斯道不計前言
[00:04:01.000 --> 00:04:04.000]  以前都是支持安東尼的
[00:04:04.000 --> 00:04:07.000]  現在藉著他的嘴巴的說話
[00:04:07.000 --> 00:04:12.000]  能夠令奧古斯道自立
[00:04:12.000 --> 00:04:15.000]  以及成為好友
[00:04:15.000 --> 00:04:25.000]  雖然希律在哪裏有好處呢
[00:04:25.000 --> 00:04:27.000]  他就是站在哪裏
[00:04:27.000 --> 00:04:30.000]  無論是他所服侍的當初的凱撒
[00:04:30.000 --> 00:04:32.000]  到安東尼到奧古斯道
[00:04:32.000 --> 00:04:34.000]  所以在哪裏有好處他就站在哪裏
[00:04:34.000 --> 00:04:37.000]  為了能夠建立他的權勢
[00:04:37.000 --> 00:04:41.000]  當他服侍每個王的時候
[00:04:41.000 --> 00:04:45.000]  由一個加利利的地方越做越大
[00:04:45.000 --> 00:04:48.000]  越做越多地方給他管理
[00:04:48.000 --> 00:04:50.000]  我們再研究一下
[00:04:50.000 --> 00:04:54.000]  究竟希律王是什麼人呢
[00:04:54.000 --> 00:04:56.000]  希律王其實是一個以東人
[00:04:56.000 --> 00:04:58.000]  他不是一個猶太人
[00:04:58.000 --> 00:05:01.000]  所以當你要知道
[00:05:01.000 --> 00:05:03.000]  他不是猶太人
[00:05:03.000 --> 00:05:04.000]  但是以東人的時候
[00:05:04.000 --> 00:05:07.000]  他要管理整個猶大地區的時候
[00:05:07.000 --> 00:05:08.000]  其實都不容易的
[00:05:08.000 --> 00:05:10.000]  因為他不是自己人
[00:05:10.000 --> 00:05:12.000]  猶太人其實是一個自己人
[00:05:12.000 --> 00:05:15.000]  來當中統治整個猶大區域
[00:05:15.000 --> 00:05:19.000]  但是可惜希律是一個以東人
[00:05:19.000 --> 00:05:21.000]  所以希律想了一個辦法
[00:05:21.000 --> 00:05:24.000]  就是休了自己的元配
[00:05:24.000 --> 00:05:28.000]  娶了阿加比王朝
[00:05:28.000 --> 00:05:32.000]  即是阿哈摩尼王朝的公主
[00:05:32.000 --> 00:05:34.000]  他算是猶太人
[00:05:34.000 --> 00:05:36.000]  娶了他之後
[00:05:36.000 --> 00:05:38.000]  我覺得他有半個猶太人
[00:05:38.000 --> 00:05:40.000]  雖然以東人出身
[00:05:40.000 --> 00:05:44.000]  但是他娶了阿哈摩尼王朝的公主
[00:05:44.000 --> 00:05:46.000]  換言之他覺得自己也有身份
[00:05:46.000 --> 00:05:48.000]  在裡面當中
[00:05:48.000 --> 00:05:53.000]  可以好好有資格管治整個猶大地區
[00:05:53.000 --> 00:05:56.000]  到了年老的時候
[00:05:56.000 --> 00:06:02.000]  差不多他打算立皇儲
[00:06:02.000 --> 00:06:05.000]  立皇儲打算讓他的長子
[00:06:05.000 --> 00:06:08.000]  當他離開之後
[00:06:08.000 --> 00:06:10.000]  由他的長子繼位
[00:06:10.000 --> 00:06:13.000]  去管治整個猶大地區
[00:06:13.000 --> 00:06:15.000]  當他立了皇儲之後
[00:06:15.000 --> 00:06:19.000]  這個長子竟然暗殺自己的父親
