
[00:00:00.000 --> 00:00:05.260]  奉主的名問候弟兄姊妹平安
[00:00:05.260 --> 00:00:16.020]  我們今天是2012年最後一個之日
[00:00:16.020 --> 00:00:24.060]  我在此謹祝大家有一個蒙福的新年
[00:00:24.060 --> 00:00:30.640]  巴不得聖靈永遠與你們同在
[00:00:30.640 --> 00:00:40.020]  有更好的眼光來讀聖經
[00:00:40.020 --> 00:00:44.760]  也有洞悉上帝要什麼
[00:00:44.760 --> 00:00:51.820]  而我們所行的去討祂的喜悅
[00:00:51.820 --> 00:01:00.300]  弟兄姊妹我和大家一直在研究獵王祭
[00:01:00.300 --> 00:01:02.060]  我很喜歡文學
[00:01:02.060 --> 00:01:06.580]  所以我把獵王祭當作一個文學的色彩來研究
[00:01:06.580 --> 00:01:18.380]  文學如果用一個實例就好像很漂亮的巧克力
[00:01:18.380 --> 00:01:23.180]  文學就一個打賭比喻就好像是巧克力一樣
[00:01:23.180 --> 00:01:32.460]  如果我們吃巧克力的時候
[00:01:32.460 --> 00:01:36.540]  我們一口把它吞下去好像比較浪費
[00:01:36.540 --> 00:01:47.260]  慢慢來看慢慢來想有很美麗的道理在裡面
[00:01:47.260 --> 00:01:50.940]  我也很享受我可以每一個星期用一個星期的時間
[00:01:50.940 --> 00:01:53.900]  慢慢品嚐裡面的意思
[00:01:53.900 --> 00:02:00.500]  我就透過我這段時間跟大家分享
[00:02:00.500 --> 00:02:03.860]  在這個星期我品嚐到的一些
[00:02:03.860 --> 00:02:06.940]  為什麼要這樣做呢
[00:02:06.940 --> 00:02:08.900]  因為我們每一個人信主之後
[00:02:08.900 --> 00:02:11.780]  我們需要成長
[00:02:11.780 --> 00:02:14.380]  我們需要行為好
[00:02:14.380 --> 00:02:16.660]  要向我們主耶穌
[00:02:16.660 --> 00:02:21.100]  那麼主耶穌跟我們說什麼話呢
[00:02:21.100 --> 00:02:23.180]  聖靈跟我們說什麼話呢
[00:02:23.180 --> 00:02:24.780]  就是在聖經裡面
[00:02:24.780 --> 00:02:28.340]  我們怎麼讀這本聖經呢
[00:02:28.340 --> 00:02:30.660]  聖經比較困難讀的
[00:02:30.660 --> 00:02:35.700]  因為它本身並不是英文也不是中文的
[00:02:35.700 --> 00:02:37.900]  我有沒有說謊呢
[00:02:37.900 --> 00:02:41.220]  明明有中文英文的
[00:02:41.220 --> 00:02:44.100]  但原來的文字呢
[00:02:44.100 --> 00:02:48.460]  並不是中文還是英文
[00:02:48.460 --> 00:02:51.460]  原來是希伯來文
[00:02:51.460 --> 00:02:54.540]  我們都不知道是什麼語言
[00:02:54.540 --> 00:02:59.300]  但是要讀這個聖經呢
[00:02:59.300 --> 00:03:00.780]  要讀這本聖經呢
[00:03:00.780 --> 00:03:03.180]  你一定要有希伯來文的色彩
[00:03:03.180 --> 00:03:07.260]  我們必須要懂得希伯來文的裡面的詩材
[00:03:07.260 --> 00:03:09.740]  我年尾的時候有很多感想跟大家說
[00:03:09.740 --> 00:03:12.660]  未必是我的script有的
[00:03:12.660 --> 00:03:14.980]  在年尾的時候我也有很多的感想
[00:03:14.980 --> 00:03:16.460]  希望跟大家分享
[00:03:16.460 --> 00:03:21.100]  我一直充滿感恩
[00:03:21.100 --> 00:03:23.300]  因為我們是中國人
[00:03:23.300 --> 00:03:25.180]  我是從香港來的
[00:03:25.180 --> 00:03:29.260]  我怎麼接觸到猶太文化呢
[00:03:29.260 --> 00:03:35.180]  我感謝主來到加拿大讀書做事
