
[00:00:00.000 --> 00:00:07.500]  親愛的主人,您今天帶領我們聽您的真理時,讓我們帶著一個這樣的心
[00:00:07.500 --> 00:00:11.500]  讓我們收到、擁抱、明白、行出來
[00:00:11.500 --> 00:00:15.500]  以致我們見到我們的生命一直被您塑造
[00:00:15.500 --> 00:00:17.500]  有這一份您同在的平安
[00:00:17.500 --> 00:00:20.500]  奉耶穌的名,吩咐一切不屬於耶穌的,都要離開這個地方
[00:00:20.500 --> 00:00:25.500]  讓我們每一位都是您的愛,在您的同在裡面
[00:00:25.500 --> 00:00:28.500]  多謝您聽我們的禱告,奉耶穌基督,得聖阿明
[00:00:28.500 --> 00:00:30.500]  阿們
[00:00:30.500 --> 00:00:34.500]  好,頂尖位,你們是否注重外表呢?
[00:00:34.500 --> 00:00:36.500]  注重吧,沒理由不注重外表的
[00:00:36.500 --> 00:00:41.500]  我看見大家的結果,那些表現都是注重外表的
[00:00:41.500 --> 00:00:48.500]  有心理學家說,外表是你給人的第一印象
[00:00:48.500 --> 00:00:51.500]  為甚麼呢?因為有一個心理學家說
[00:00:51.500 --> 00:00:53.500]  人都是很麻煩的生物
[00:00:53.500 --> 00:01:00.500]  他們想用最少的思考,去了解最多的事實
[00:01:00.500 --> 00:01:04.500]  所以當你第一次見到你的外表的時候
[00:01:04.500 --> 00:01:09.500]  你的外表就傳達了最多的提示給對方
[00:01:09.500 --> 00:01:11.500]  去判斷你是一個甚麼人
[00:01:11.500 --> 00:01:15.500]  以及決定是否再進一步去了解你
[00:01:15.500 --> 00:01:19.500]  所以絕大多數人都是很注重外表的
[00:01:19.500 --> 00:01:23.500]  我大學畢業那年,第三年
[00:01:23.500 --> 00:01:25.500]  那時候是讀三年,不是讀四年
[00:01:25.500 --> 00:01:27.500]  第三年,我是很累的
[00:01:27.500 --> 00:01:33.500]  那時候趕著paper,拼命在那裡看書,搞事,做事
[00:01:33.500 --> 00:01:39.500]  很累的,沒有留意到我身邊的人開始有變化了
[00:01:39.500 --> 00:01:43.500]  當時的男同學,他們的主話題是甚麼呢?
[00:01:43.500 --> 00:01:46.500]  穿甚麼西裝,拿甚麼工時行李箱
[00:01:46.500 --> 00:01:49.500]  我的年代是不同的,當時我們流行占士邦的行李箱
[00:01:49.500 --> 00:01:51.500]  有沒有見過占士邦的行李箱?
[00:01:51.500 --> 00:01:53.500]  硬梆梆的,像一個皮箱一樣
[00:01:53.500 --> 00:01:55.500]  現在不流行的,現在很牛的了
[00:01:55.500 --> 00:01:57.500]  當時流行的,你穿甚麼西裝,拿甚麼行李箱最好
[00:01:57.500 --> 00:02:01.500]  那些女同學,一年級其實你沒有注意她們的
[00:02:01.500 --> 00:02:03.500]  因為其貌不揚
[00:02:03.500 --> 00:02:06.500]  但突然間,三年級,個個都變漂亮了
[00:02:06.500 --> 00:02:11.500]  突然間,嘩,見過這麼多美女在我面前走過,化了妝
[00:02:11.500 --> 00:02:13.500]  為甚麼呢?
[00:02:13.500 --> 00:02:18.500]  正在討論怎樣打扮自己的外表去建功
[00:02:18.500 --> 00:02:25.500]  現在,到今時今日,美容都不是男性的專利
[00:02:25.500 --> 00:02:31.500]  男性的化妝美容市場都越來越備受接納
[00:02:31.500 --> 00:02:34.500]  估計,我看了你的數目
[00:02:34.500 --> 00:02:37.500]  2019年,正是歐洲那裡的餅
[00:02:37.500 --> 00:02:41.500]  那個男性美容的化妝市場
[00:02:41.500 --> 00:02:44.500]  市值是一百六十億歐元
[00:02:44.500 --> 00:02:48.500]  我估計是一千多億港幣,只是歐洲而已
[00:02:48.500 --> 00:02:53.500]  到了2020年,即使有疫情,新冠疫情
[00:02:53.500 --> 00:02:56.500]  都是攀升的,一百六十八億
[00:02:56.500 --> 00:03:02.500]  所以有一天,如果阿嵐塗鮮紅色的口唇膏回來
[00:03:02.500 --> 00:03:03.500]  大家不要笑他
[00:03:03.500 --> 00:03:08.500]  因為這個是整體來說,整體來說是市場所接納的
[00:03:08.500 --> 00:03:10.500]  沒有問題的
[00:03:10.500 --> 00:03:12.500]  那外表代表甚麼呢?
[00:03:12.500 --> 00:03:14.500]  外表有幾樣東西,就是你的衣著
[00:03:14.500 --> 00:03:16.500]  你的言語談吐
[00:03:16.500 --> 00:03:18.500]  你的行為
[00:03:18.500 --> 00:03:21.500]  以及你的面孔
[00:03:21.500 --> 00:03:23.500]  面孔都很特別的
[00:03:23.500 --> 00:03:27.500]  我們今日說聖經,出埃及記三十四章
[00:03:27.500 --> 00:03:29.500]  摩西就很注重他的面孔
[00:03:29.500 --> 00:03:32.500]  那為甚麼呢?摩西的面孔有甚麼特別?
[00:03:32.500 --> 00:03:35.500]  我們一起看看出埃及記三十四章
[00:03:35.500 --> 00:03:37.500]  二十七至二十九節
[00:03:37.500 --> 00:03:39.500]  我們一起讀,好嗎?
[00:03:39.500 --> 00:03:41.500]  耶和華吩咐摩西說
[00:03:41.500 --> 00:03:44.500]  你要將這些話寫上
[00:03:44.500 --> 00:03:50.500]  因為我是按這話與你和以色列人立約
[00:03:50.500 --> 00:03:54.500]  摩西在耶和華那裡四十晝夜
[00:03:54.500 --> 00:03:57.500]  也不吃飯,也不喝水
[00:03:57.500 --> 00:03:59.500]  耶和華將這約的話
[00:03:59.500 --> 00:04:04.500]  就是十條戒寫在兩塊板上
[00:04:04.500 --> 00:04:07.500]  摩西手裡拿著兩塊法板
[00:04:07.500 --> 00:04:09.500]  下西奶山的時候
[00:04:09.500 --> 00:04:14.500]  不知道自己的面皮因耶和華和他說話
[00:04:14.500 --> 00:04:16.500]  就發光了
[00:04:16.500 --> 00:04:18.500]  摩西的面孔有甚麼特別?
[00:04:18.500 --> 00:04:20.500]  發光
[00:04:20.500 --> 00:04:22.500]  在出埃及記裡面
[00:04:22.500 --> 00:04:27.500]  耶和華一共是三次呼召摩西上西奶山
[00:04:27.500 --> 00:04:30.500]  第三次摩西下山的時候
[00:04:30.500 --> 00:04:32.500]  面子就有點不同,因為發光
[00:04:32.500 --> 00:04:35.500]  那為甚麼是第三次,又不是第一次
[00:04:35.500 --> 00:04:36.500]  又不是第二次呢?
[00:04:36.500 --> 00:04:38.500]  因為第三次的時候
[00:04:38.500 --> 00:04:42.500]  摩西真的見到神的背面
[00:04:42.500 --> 00:04:44.500]  即使見到神的背面
[00:04:44.500 --> 00:04:46.500]  也見到祂的榮光
[00:04:46.500 --> 00:04:48.500]  沾染到祂的榮光
[00:04:48.500 --> 00:04:50.500]  所以摩西下山的時候
[00:04:50.500 --> 00:04:52.500]  祂的面子就發光了
[00:04:52.500 --> 00:04:56.500]  其實面孔代表很多東西
[00:04:56.500 --> 00:04:59.500]  中國人有句話叫做「相由心生」
[00:04:59.500 --> 00:05:02.500]  所謂的「相」其實不是你的面孔
[00:05:02.500 --> 00:05:06.500]  面孔其實是代表我們的內心
[00:05:06.500 --> 00:05:07.500]  你看看那張圖
[00:05:07.500 --> 00:05:09.500]  見到這個人的樣子
[00:05:09.500 --> 00:05:12.500]  你就知道他在憂慮一些事情
[00:05:12.500 --> 00:05:14.500]  頭髮都散了
[00:05:14.500 --> 00:05:15.500]  下一張
[00:05:15.500 --> 00:05:19.500]  你見到這個人就知道生氣了
[00:05:19.500 --> 00:05:22.500]  其實大家很少喜怒不已
[00:05:22.500 --> 00:05:25.500]  無論如何都有少許表現
[00:05:25.500 --> 00:05:29.500]  觀察入微的人就發覺你心裡的東西
