
[00:00:00.000 --> 00:00:05.160]  繼續進入今個月的9月10月的月題
[00:00:05.160 --> 00:00:07.800]  「恩賜與侍奉」
[00:00:07.800 --> 00:00:11.960]  如果還記得我上次的講道集中在恩賜上
[00:00:11.960 --> 00:00:14.160]  今次我想集中在侍奉上
[00:00:14.160 --> 00:00:17.480]  所以選擇了一個題目叫「聖潔生命的侍奉」
[00:00:17.480 --> 00:00:20.240]  如果說到聖潔 不知道大家還記不記得
[00:00:20.240 --> 00:00:25.040]  我在今年兩月一次都會用利未記
[00:00:25.040 --> 00:00:29.040]  去配合我們的月題去分享我們的講道
[00:00:29.040 --> 00:00:32.600]  所以今次我們就用利未記第十章
[00:00:32.600 --> 00:00:36.680]  去看看如何升為聖潔生命的侍奉
[00:00:36.680 --> 00:00:41.760]  而我們今次用一個特別的讀經
[00:00:41.760 --> 00:00:44.680]  我想大家用角色來扮演
[00:00:44.680 --> 00:00:48.560]  在第十章裡有幾個角色會有說話
[00:00:48.560 --> 00:00:50.880]  當然有獨白 獨白由我負責
[00:00:50.880 --> 00:00:52.240]  就是黑色的字
[00:00:52.240 --> 00:00:55.120]  在十章裡摩西也說了很多話
[00:00:55.120 --> 00:00:59.280]  那我就邀請正堂這邊
[00:00:59.280 --> 00:01:04.560]  大家集中代入在摩西的角色裡讀紅色的字
[00:01:04.560 --> 00:01:08.520]  那你看到紫色的字在第九節是耶穌說的話
[00:01:08.520 --> 00:01:10.720]  留給我 我會繼續去讀
[00:01:10.720 --> 00:01:14.200]  到最後第十九節有紫色的字
[00:01:14.200 --> 00:01:16.440]  這句是亞倫的回應
[00:01:16.440 --> 00:01:19.240]  那我就請這裡 四五個都不要緊
[00:01:19.240 --> 00:01:22.520]  我會一會兒衝在前面做領會
[00:01:22.520 --> 00:01:24.120]  又大聲一點讀亞倫
[00:01:24.120 --> 00:01:26.600]  不過也是最後一節 第十九節
[00:01:26.600 --> 00:01:27.960]  我們試試這樣讀
[00:01:27.960 --> 00:01:30.960]  讓大家會更加投入在這段經文裡
[00:01:30.960 --> 00:01:32.880]  首先聽我讀
[00:01:32.880 --> 00:01:37.960]  「亞倫的兒子拿達和阿比胡各拿著自己的香爐
[00:01:37.960 --> 00:01:41.080]  把火放在爐裡 加上香
[00:01:41.080 --> 00:01:43.880]  在耶和華面前獻上梵火
[00:01:43.880 --> 00:01:46.480]  是耶和華沒有吩咐他們的
[00:01:46.480 --> 00:01:48.760]  有火從耶和華面前出來
[00:01:48.760 --> 00:01:50.320]  把他們吞滅
[00:01:50.320 --> 00:01:52.680]  他們就死在耶和華面前
[00:01:52.680 --> 00:01:55.480]  於是摩西對亞倫說
[00:01:55.480 --> 00:01:58.840]  「耶和華沒有吩咐他們的
[00:01:58.840 --> 00:02:00.880]  我再誕生的那些人
[00:02:00.880 --> 00:02:04.880]  都要獻上那些再次啟發的恩賜
[00:02:04.880 --> 00:02:07.080]  我要得到他們的」
[00:02:07.080 --> 00:02:10.320]  亞倫就默默不言
[00:02:10.320 --> 00:02:12.360]  摩西召亞倫的叔父
[00:02:12.360 --> 00:02:17.040]  烏泉的兒子米沙尼和伊利撒伐前來
[00:02:17.040 --> 00:02:18.240]  對他們說
[00:02:18.240 --> 00:02:23.760]  「媽媽,你不知那些人是否從聖座融化了」
[00:02:23.760 --> 00:02:25.920]  於是二人過來
[00:02:25.920 --> 00:02:29.560]  把屍體連袍子一起抬到營外
[00:02:29.560 --> 00:02:32.760]  是照摩西所吩咐的
[00:02:32.760 --> 00:02:37.920]  摩西對亞倫和他兒子伊利亞撒和以他媽說
[00:02:37.920 --> 00:02:40.120]  「不可否認的撒媽
[00:02:40.120 --> 00:02:42.160]  不可否認的知道
[00:02:42.160 --> 00:02:44.080]  為何你們不死亡
[00:02:44.080 --> 00:02:47.440]  為何你們沒有向眾人祝福
[00:02:47.440 --> 00:02:49.440]  為何你們不死亡
[00:02:49.440 --> 00:02:51.720]  為何你們沒有向眾人祝福
[00:02:51.720 --> 00:02:54.520]  為何你們沒有向眾人祝福
[00:02:54.520 --> 00:02:57.200]  為何你們沒有向眾人祝福
[00:02:57.200 --> 00:02:59.680]  為何你們沒有向眾人祝福
[00:02:59.680 --> 00:03:02.720]  為何你們沒有向眾人祝福
[00:03:02.720 --> 00:03:06.640]  他們就遵照摩西的話去造鳥
[00:03:06.640 --> 00:03:09.120]  耶和華吩咐亞倫說
[00:03:09.120 --> 00:03:11.640]  「你和你兒子進會莫的時候
[00:03:11.640 --> 00:03:13.840]  清酒烈酒都不可喝
[00:03:13.840 --> 00:03:15.760]  免得你們死亡
[00:03:15.760 --> 00:03:19.120]  這要作你們世世代代永遠的定例
[00:03:19.120 --> 00:03:21.840]  你們必須分辨姓的族的
[00:03:21.840 --> 00:03:24.040]  潔淨的和不潔淨的
[00:03:24.040 --> 00:03:30.280]  也要將耶和華籍摩西吩咐以色列人的一切律例教導他們」
[00:03:30.280 --> 00:03:33.000]  摩西對亞倫和他剩下的兒子
[00:03:33.000 --> 00:03:36.080]  伊利亞撒和以他媽說
[00:03:36.080 --> 00:03:38.400]  「你和你兒子進會莫的時候
[00:03:38.400 --> 00:03:40.360]  清酒烈酒都不可喝
[00:03:40.360 --> 00:03:41.840]  免得你們死亡
[00:03:41.840 --> 00:03:45.080]  為何你們沒有向眾人祝福
[00:03:45.080 --> 00:03:49.080]  你們必須分辨姓的族的一切律例教導他們」
[00:03:49.080 --> 00:03:49.880]  繼續
[00:03:49.880 --> 00:03:51.600]  「要在聖柱吃
[00:03:51.600 --> 00:03:55.040]  因為在現給耶和華的火祭中
[00:03:55.040 --> 00:03:58.240]  這是你和你兒子當得的墳
[00:03:58.240 --> 00:04:01.080]  所吩咐我的就是這樣
[00:04:01.080 --> 00:04:04.720]  這搖滯的胸和這舉滯的腿
[00:04:04.720 --> 00:04:09.120]  你要在潔淨的地方和你的兒女一同吃
[00:04:09.120 --> 00:04:14.040]  因為這是從以色列人的平安祭中歸給你
[00:04:14.040 --> 00:04:16.400]  你和你兒子當得的墳
[00:04:16.400 --> 00:04:18.800]  他們要把舉滯的腿
[00:04:18.800 --> 00:04:23.040]  搖滯的胸和火滯的脂肪一同帶來
[00:04:23.040 --> 00:04:25.560]  在耶和華面前搖一搖
[00:04:25.560 --> 00:04:27.200]  作為搖滯
[00:04:27.200 --> 00:04:30.160]  這是要給你和你兒子
[00:04:30.160 --> 00:04:32.320]  作永遠當得的墳
[00:04:32.320 --> 00:04:35.640]  都是照耶和華所吩咐的」
[00:04:35.640 --> 00:04:38.760]  那時摩西急切地尋找那隻
[00:04:38.760 --> 00:04:40.640]  贖罪製的公山羊
[00:04:40.640 --> 00:04:43.160]  看!他已經燒掉了
[00:04:43.160 --> 00:04:45.120]  他向亞倫剩下的兒子
[00:04:45.120 --> 00:04:48.360]  以利亞薩和以他馬發怒說
[00:04:48.360 --> 00:04:53.040]  「你們為何會有罪證阻撓一隻族裔呢?
[00:04:53.040 --> 00:04:54.720]  他是自省的
[00:04:54.720 --> 00:04:56.920]  正是耶和華監禁的
[00:04:56.920 --> 00:04:59.520]  為了將他們的民族的罪孽
[00:04:59.520 --> 00:05:02.720]  阻礙了他們的民族罪
[00:05:02.720 --> 00:05:07.360]  可能他們的弟子也有罪
[00:05:07.360 --> 00:05:10.080]  你們為了將他們的民族的罪
[00:05:10.080 --> 00:05:13.040]  阻礙了他們的民族罪
[00:05:13.040 --> 00:05:15.240]  亞倫對摩西說
[00:05:15.240 --> 00:05:18.560]  看!他們今天在耶和華面前
[00:05:18.560 --> 00:05:21.280]  獻上贖罪製和繁祭
[00:05:21.280 --> 00:05:24.400]  但是我卻遭遇這樣的災難
[00:05:24.400 --> 00:05:27.160]  我若今天吃這贖罪製
[00:05:27.160 --> 00:05:30.040]  耶和華豈能看為尾呢?
[00:05:30.040 --> 00:05:34.600]  摩西聽了就看為尾」
[00:05:34.600 --> 00:05:37.640]  如果大家熟悉利美記
[00:05:37.640 --> 00:05:40.920]  我想這一頁我已經出了第八次
[00:05:40.920 --> 00:05:43.160]  一直在說利美記
[00:05:43.160 --> 00:05:47.000]  就是記罪一群以色列人離開埃及
[00:05:47.000 --> 00:05:50.840]  神透過摩西帶領這群以色列人
[00:05:50.840 --> 00:05:54.160]  去到一個準備要進入應許之地
[00:05:54.160 --> 00:05:55.520]  在抗夜裏
[00:05:55.520 --> 00:05:58.760]  上帝要建立這群以色列人成為他屬神的子民
[00:05:58.760 --> 00:06:00.880]  上帝要跟他們納約成為他們的神
[00:06:00.880 --> 00:06:03.520]  以色列人就要遵耶和華的聖
[00:06:03.520 --> 00:06:05.640]  去跟從上帝的律法
[00:06:05.640 --> 00:06:10.600]  這群以色列人如何跟聖潔的上帝溝通呢?
[00:06:10.600 --> 00:06:12.000]  就要建立回眸
[00:06:12.000 --> 00:06:14.080]  就要頒佈律法
[00:06:14.080 --> 00:06:16.480]  就要進行獻祭
[00:06:16.480 --> 00:06:19.040]  而在利美記就是一個獻祭的搜查
[00:06:19.040 --> 00:06:20.640]  或者一個聖祭的搜查
[00:06:20.640 --> 00:06:25.760]  就是上帝另外納一群利美人作為祭司
[00:06:25.760 --> 00:06:29.600]  去幫以色列人獻祭到上帝的面前
[00:06:29.600 --> 00:06:33.080]  而在一至七章就記罪了
[00:06:33.080 --> 00:06:36.480]  那些獻祭的程序是如何進行的
[00:06:36.480 --> 00:06:38.000]  而在八至十章
[00:06:38.000 --> 00:06:42.160]  就要納祭司以亞倫為大祭司為首
[00:06:42.160 --> 00:06:45.960]  一個祭司的就職禮
[00:06:45.960 --> 00:06:48.400]  應該在前兩個月也說過
[00:06:48.400 --> 00:06:53.200]  和安納亞倫的四個兒子成為祭司
[00:06:53.200 --> 00:06:55.280]  就在第八、第九、第十章
[00:06:55.280 --> 00:06:57.160]  在第八章就是就職禮
[00:06:57.160 --> 00:07:03.320]  在第九章就記罪了亞倫第一次為以色列人向上帝獻祭
[00:07:03.320 --> 00:07:08.520]  到了九章尾,第一次獻祭耶和華是如何回應的呢?
