
[00:00:00.000 --> 00:00:02.000]  挺子妹平安
[00:00:02.000 --> 00:00:04.000]  我們開始的時候
[00:00:04.000 --> 00:00:06.000]  我們先一起禱告
[00:00:06.000 --> 00:00:08.000]  天父來到你面前的時候
[00:00:08.000 --> 00:00:13.000]  我們願你自己的性情
[00:00:13.000 --> 00:00:16.000]  是深刻的在我們的生命當中
[00:00:16.000 --> 00:00:18.000]  讓我們去認識
[00:00:18.000 --> 00:00:20.000]  讓我們去體會
[00:00:20.000 --> 00:00:22.000]  也讓我們去見證
[00:00:22.000 --> 00:00:23.000]  願你都是帶領我們
[00:00:23.000 --> 00:00:24.000]  我們今天思想到
[00:00:24.000 --> 00:00:26.000]  你是公義的主的時候
[00:00:26.000 --> 00:00:30.000]  讓我們不只是流於一些頭腦上的認知
[00:00:30.000 --> 00:00:33.000]  也讓我們去實踐行公義好憐憫
[00:00:33.000 --> 00:00:35.000]  全天悲的心與你同行
[00:00:35.000 --> 00:00:36.000]  願你帶領我們
[00:00:36.000 --> 00:00:37.000]  我們這樣禱告
[00:00:37.000 --> 00:00:39.000]  奉耶穌基督的名祈求
[00:00:39.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:42.000]  好了
[00:00:42.000 --> 00:00:44.000]  今天就說到神是公義的
[00:00:44.000 --> 00:00:46.000]  在還沒開始之前
[00:00:46.000 --> 00:00:48.000]  就想溫習一點
[00:00:48.000 --> 00:00:50.000]  第一課我們就說到
[00:00:50.000 --> 00:00:52.000]  神是活的神
[00:00:52.000 --> 00:00:54.000]  和神是聖潔的神
[00:00:54.000 --> 00:00:58.000]  神的聖潔好像把神自己的獨一無二
[00:00:58.000 --> 00:01:03.000]  來跟人去區分
[00:01:03.000 --> 00:01:05.000]  神是分別為性的
[00:01:05.000 --> 00:01:07.000]  所以以致我們很多時候
[00:01:07.000 --> 00:01:09.000]  想神的有些觀念
[00:01:09.000 --> 00:01:11.000]  有時候雖然是說到愛
[00:01:11.000 --> 00:01:12.000]  說到公義的時候
[00:01:12.000 --> 00:01:15.000]  不要讓我們用我們自己人的觀念
