
[00:00:00.000 --> 00:00:03.200]  好 今天的主題是真實謊言
[00:00:03.200 --> 00:00:08.760]  真實謊言 老實說 我沒有炮轟 我記得的 放心
[00:00:08.760 --> 00:00:13.880]  我已經學了阿姨Cindy的歌 蔡依那些 沒有講章的
[00:00:13.880 --> 00:00:16.600]  OK 好 真實謊言是什麼呢
[00:00:16.600 --> 00:00:20.520]  我們每逢上教會 你上了教會有一段日子
[00:00:20.520 --> 00:00:24.800]  第一件事就是人家問你 你清不清楚得救
[00:00:24.800 --> 00:00:30.120]  或者上不上天堂 你都會傻傻的 爲什麼傻傻
[00:00:30.120 --> 00:00:34.800]  因爲你不擔保你自己是否清楚上天堂這件事
[00:00:34.800 --> 00:00:39.960]  我初初上教會的時候 我都有一個同感
[00:00:39.960 --> 00:00:46.040]  有人問我 阿杰仔 你知不知道你是不是一個清楚得救的基督徒
[00:00:46.040 --> 00:00:49.720]  清楚得救的基督徒不是很多人知道的
[00:00:49.720 --> 00:00:51.880]  第一件事 我第一個直覺
[00:00:51.880 --> 00:00:58.040]  直覺就是說 哦 想清楚上天堂就是看完整本聖經
[00:00:58.040 --> 00:01:02.880]  哇 我告訴你 聖經電話簿那麼厚
[00:01:02.880 --> 00:01:06.440]  有沒有可能看完整本聖經得救呢
[00:01:06.440 --> 00:01:09.640]  我有一個同學 他是瞎的 他看不看得到聖經呢
[00:01:09.640 --> 00:01:11.520]  看不到 他聽聖經
[00:01:11.520 --> 00:01:16.440]  如果上帝說要看完整本聖經才得救呢 沒有可能得救
[00:01:16.440 --> 00:01:22.080]  好了 第二個就是說 我上教會專心崇拜 我想告訴你
[00:01:22.080 --> 00:01:28.080]  這裏呢 或者包括我在內 我不可以 九個字我都很專心的
[00:01:28.080 --> 00:01:30.440]  因爲一定是飛到雲遊障礙
[00:01:30.440 --> 00:01:35.640]  一會兒想一會兒 怪物彈珠的任務是打什麼呢
[00:01:35.640 --> 00:01:40.200]  是不是打黃金鬼呢 是不是定時打彈網哥呢
[00:01:40.200 --> 00:01:42.040]  我還會想到那樣東西
[00:01:42.040 --> 00:01:45.240]  如果我不專心的時候 我九個字
[00:01:45.240 --> 00:01:48.240]  不是九個字 我九個字不專心的時候
[00:01:48.240 --> 00:01:50.800]  那我是不是可以清楚得救呢
[00:01:50.800 --> 00:01:54.680]  譬如 我那時候在想
[00:01:54.680 --> 00:01:58.120]  如果我做好一點就可以上天堂
[00:01:58.120 --> 00:02:02.000]  我告訴你 你基本上沒辦法做得好的 爲什麼呢
[00:02:02.000 --> 00:02:07.440]  因爲你一個一天24小時 你一定是做得很差的
[00:02:07.440 --> 00:02:12.760]  是不是 你不會完全全24小時你都會做得好的
[00:02:12.760 --> 00:02:16.760]  我記得有一次 有一個牧師去講道
[00:02:16.760 --> 00:02:21.480]  他說他那時候信了耶穌 他媽媽沒信耶穌
[00:02:21.480 --> 00:02:23.600]  他硬是看他媽媽不順眼的
[00:02:23.600 --> 00:02:30.200]  但後來他知道 原來在聖經裏面的那個技術
[00:02:30.200 --> 00:02:34.560]  沒有一個完全能夠完美的人
[00:02:34.560 --> 00:02:36.160]  所以就需要救恩了
[00:02:36.160 --> 00:02:38.560]  好了 今天我們看這個約翰福音
[00:02:38.560 --> 00:02:45.200]  這張聖經就是不是大慈的那個癱瘓的人
[00:02:45.200 --> 00:02:50.280]  整個故事是什麼呢 是不是真的沒有powerpoint的
[00:02:50.280 --> 00:02:52.080]  哦 在後面 OK
[00:02:52.080 --> 00:02:54.120]  OK OK 好了
[00:02:54.120 --> 00:02:55.120]  咦 看到了
[00:02:55.120 --> 00:02:58.240]  好 我們先讀一讀這段聖經
[00:02:58.240 --> 00:03:00.160]  好 預備起
[00:03:00.160 --> 00:03:03.720]  在耶路撒冷 靠近陽門
[00:03:03.720 --> 00:03:08.360]  有一個慈子 希伯來話叫做不是大
[00:03:08.360 --> 00:03:16.640]  旁邊有五個狼子 裏面躺着黑眼的 頹頹的 血氣枯乾的
[00:03:16.640 --> 00:03:21.640]  許多病人 有骨卷在此 又等候水凍
[00:03:21.640 --> 00:03:26.760]  因爲有天使按時下慈子 搞凍那水
[00:03:26.760 --> 00:03:33.800]  水凍之後 誰先下去 無論害什麼病 就痊癒了
[00:03:33.800 --> 00:03:38.440]  在那裏有一個人 病了三十八年
[00:03:38.440 --> 00:03:43.360]  耶穌看見他躺着 知道他病了許久
[00:03:43.360 --> 00:03:46.600]  就問他說 你要痊癒嗎
[00:03:46.600 --> 00:03:51.360]  耶穌對他說 起來 拿你的玉子酒吧
[00:03:51.360 --> 00:03:58.320]  那人立刻痊癒 就拿起玉子酒來酒了
[00:03:58.320 --> 00:04:01.760]  這段聖經告訴我們一個事實
[00:04:01.760 --> 00:04:04.240]  就是那裏有一羣人
[00:04:04.240 --> 00:04:08.720]  那羣人沒辦法靠自己的能力
[00:04:08.720 --> 00:04:12.680]  可以進到那個不是大的慈子那裏
[00:04:12.680 --> 00:04:15.400]  能夠得着天使的隱祕
[00:04:15.400 --> 00:04:18.280]  在古時候 在中世紀那裏
[00:04:18.280 --> 00:04:21.040]  有很多講天使的傳說
[00:04:21.040 --> 00:04:25.280]  也在耶穌的時候 有很多講天使的傳說
[00:04:25.280 --> 00:04:28.560]  我記得看一本書 中世紀的時候
[00:04:28.560 --> 00:04:32.680]  他說 你估一枝針 即是穿毛衣的那枝針
[00:04:32.680 --> 00:04:36.720]  那個針頭可以站到多少個天使呢
[00:04:36.720 --> 00:04:39.640]  那些中世紀的哲學家就說
[00:04:39.640 --> 00:04:41.920]  無限那麼多個天使
[00:04:41.920 --> 00:04:46.520]  講一個傳說來的 但又是真的
[00:04:46.520 --> 00:04:48.560]  那時候去泰北宣教
[00:04:48.560 --> 00:04:51.720]  話說有個叫郭伯伯的人
[00:04:51.720 --> 00:04:54.720]  郭伯伯去到那條村
[00:04:54.720 --> 00:04:57.880]  那條村在泰國就叫做昌隆村
[00:04:57.880 --> 00:04:59.400]  無獨有偶
[00:04:59.400 --> 00:05:04.000]  我小時候看過一齣戲叫做《大罵港昌隆》
[00:05:04.000 --> 00:05:06.840]  真的 那個昌隆村是做什麼的呢
[00:05:06.840 --> 00:05:10.240]  原來整個村民是拜鬼的
[00:05:10.240 --> 00:05:12.880]  那時候宣教士去到昌隆村
[00:05:12.880 --> 00:05:14.520]  那個郭伯伯就說
[00:05:14.520 --> 00:05:16.880]  各位鄉親父老
[00:05:16.880 --> 00:05:19.320]  我明天就會來你們村裏
[00:05:19.320 --> 00:05:21.880]  傳講耶穌 傳福音
[00:05:21.880 --> 00:05:25.120]  那時候村長和村長的女兒
[00:05:25.120 --> 00:05:27.600]  就不信耶穌的 他們拜鬼
[00:05:27.600 --> 00:05:29.920]  於是就說 好啦 你們走吧
[00:05:29.920 --> 00:05:31.680]  你們明天過來
[00:05:31.680 --> 00:05:33.880]  那郭伯伯走了之後
[00:05:33.880 --> 00:05:40.160]  那個村長就叫了全村的鄉親父老
[00:05:40.160 --> 00:05:41.640]  就來跟他們說
[00:05:41.640 --> 00:05:45.960]  明天那個叫做郭伯伯的人
[00:05:45.960 --> 00:05:47.400]  來到的時候
[00:05:47.400 --> 00:05:51.000]  我們就全部槍手
[00:05:51.000 --> 00:05:53.320]  在那些屋村
[00:05:53.320 --> 00:05:55.280]  在那些屋的樓上
[00:05:55.280 --> 00:05:58.640]  準備射殺郭伯伯
[00:05:58.640 --> 00:06:00.200]  於是他們就
[00:06:00.200 --> 00:06:02.120]  晚上就睡得很安樂
[00:06:02.120 --> 00:06:03.640]  全部都拿了槍
[00:06:03.640 --> 00:06:04.840]  又拿了子彈
[00:06:04.840 --> 00:06:07.120]  因爲那時候都是比較
[00:06:07.120 --> 00:06:09.640]  舊式的那些一槍一個
[00:06:09.640 --> 00:06:12.560]  這樣捅下去那些
[00:06:12.560 --> 00:06:13.800]  荷槍實彈
[00:06:13.800 --> 00:06:17.880]  都布在那些村的天台上
[00:06:17.880 --> 00:06:20.480]  因爲是村屋來的
[00:06:20.480 --> 00:06:21.840]  最多都是三層
[00:06:21.840 --> 00:06:23.600]  又在泰國的地方
[00:06:23.600 --> 00:06:28.840]  那麼郭伯伯就按着他的時候
[00:06:28.840 --> 00:06:31.480]  就騎着單車
[00:06:31.480 --> 00:06:34.360]  進到村口那裏
[00:06:34.360 --> 00:06:36.120]  進到村口的時候呢
[00:06:36.120 --> 00:06:38.640]  你知不知道發生了什麼事
[00:06:38.640 --> 00:06:40.320]  你想一下
[00:06:40.320 --> 00:06:41.640]  死硬
[00:06:41.640 --> 00:06:42.680]  沒事哦
[00:06:42.680 --> 00:06:46.560]  郭伯伯就照進了村裏
[00:06:46.560 --> 00:06:47.360]  接着呢
[00:06:47.360 --> 00:06:48.800]  就跟那幫村民說
[00:06:48.800 --> 00:06:50.720]  喂 你們信耶穌啊
[00:06:50.720 --> 00:06:54.440]  你知不知道那幫村民發生了什麼事
[00:06:54.440 --> 00:06:56.040]  我們信了
[00:06:56.040 --> 00:06:57.360]  就信了
[00:06:57.360 --> 00:07:01.000]  全幫就受洗加入教會
[00:07:01.000 --> 00:07:02.920]  受洗之前呢
[00:07:02.920 --> 00:07:04.320]  講見證
[00:07:04.320 --> 00:07:06.440]  講見證講些什麼呢
[00:07:06.440 --> 00:07:08.040]  強勁啊
[00:07:08.040 --> 00:07:09.560]  他說當日
[00:07:09.560 --> 00:07:11.840]  我們那幫槍手
[00:07:11.840 --> 00:07:13.880]  和我村長
[00:07:13.880 --> 00:07:15.680]  加上我村長的女兒
[00:07:15.680 --> 00:07:16.920]  不是叫李愛
[00:07:16.920 --> 00:07:19.640]  不是那個很爛的那些
[00:07:19.640 --> 00:07:22.760]  就想着射死郭伯伯的時候
[00:07:22.760 --> 00:07:24.160]  我們就發覺
[00:07:24.160 --> 00:07:25.040]  咦
