
[00:00:00.000 --> 00:00:01.480]  好的 姐妹們 早安
[00:00:01.480 --> 00:00:04.540]  今天選擇了一個題目
[00:00:04.540 --> 00:00:06.460]  想和大家分享
[00:00:06.460 --> 00:00:08.540]  選擇了這個題目
[00:00:08.540 --> 00:00:09.660]  危機當中的轉機
[00:00:09.660 --> 00:00:12.060]  因為我相信
[00:00:12.060 --> 00:00:14.940]  有時在我們的生命當中遇到一些挑戰
[00:00:14.940 --> 00:00:16.940]  當然是一個危機
[00:00:16.940 --> 00:00:18.700]  但是我們如何看待
[00:00:18.700 --> 00:00:20.580]  我們的心如何思考
[00:00:20.580 --> 00:00:23.500]  或者我們會否依靠一個
[00:00:23.500 --> 00:00:24.520]  我們來到這個教會
[00:00:24.520 --> 00:00:25.820]  我們依靠這個神
[00:00:25.820 --> 00:00:26.860]  給我們的幫助
[00:00:26.860 --> 00:00:29.540]  能夠將它成為一個轉機
[00:00:29.540 --> 00:00:31.780]  但是如果大家留意這段聖經
[00:00:31.780 --> 00:00:33.100]  如果你熟悉聖經
[00:00:33.100 --> 00:00:34.460]  你可能有些奇怪
[00:00:34.460 --> 00:00:35.820]  為什麼我選擇這段經文
[00:00:35.820 --> 00:00:39.340]  《馬克福音》第六章三十到四十四節
[00:00:39.340 --> 00:00:40.620]  這個故事很簡單
[00:00:40.620 --> 00:00:41.460]  就是講
[00:00:41.460 --> 00:00:42.420]  如果大家記得
[00:00:42.420 --> 00:00:45.420]  叫做五餅二魚
[00:00:45.420 --> 00:00:50.060]  好像有一個做食物供應商
[00:00:50.060 --> 00:00:51.660]  也叫做五餅二魚
[00:00:51.660 --> 00:00:53.180]  專門做到會
[00:00:53.180 --> 00:00:55.060]  這個故事
[00:00:55.060 --> 00:00:56.300]  一開始是這樣說的
[00:00:56.300 --> 00:00:58.860]  他說有十二個耶穌基督的門徒
[00:00:58.860 --> 00:01:00.860]  就是那些跟著耶穌的學生
[00:01:00.860 --> 00:01:03.220]  在這個故事之前
[00:01:03.220 --> 00:01:05.260]  耶穌就差了他們出去
[00:01:05.260 --> 00:01:06.780]  做一些傳科目的工作
[00:01:06.780 --> 00:01:08.660]  聖經就說他們出去
[00:01:08.660 --> 00:01:10.060]  就帶了人信主
[00:01:10.060 --> 00:01:11.260]  趕鬼
[00:01:11.260 --> 00:01:13.460]  然後他們就回來了
[00:01:13.460 --> 00:01:17.340]  他們回來就和他們的老師匯報
[00:01:17.340 --> 00:01:18.780]  好兄弟姐妹早晨
[00:01:18.780 --> 00:01:20.820]  今天要出去
[00:01:20.820 --> 00:01:22.700]  回來當然要告訴老師
[00:01:22.700 --> 00:01:24.300]  究竟做了些什麼
[00:01:24.300 --> 00:01:28.380]  聖經就說耶穌聽完他們的匯報之後
[00:01:28.380 --> 00:01:30.380]  就很體諒他們的辛勞
[00:01:30.380 --> 00:01:32.060]  聖經就說覺得他們很辛苦
[00:01:32.060 --> 00:01:33.220]  於是耶穌就說
[00:01:33.220 --> 00:01:35.460]  不如你們跟著我
[00:01:35.460 --> 00:01:38.300]  找一個安靜的地方
[00:01:38.300 --> 00:01:40.500]  耶穌很難找到安靜的地方
[00:01:40.500 --> 00:01:41.540]  因為他去到哪裡
[00:01:41.540 --> 00:01:43.380]  很多人很喜歡聽他的教導
[00:01:43.380 --> 00:01:45.380]  很喜歡聽他的提醒
[00:01:45.380 --> 00:01:47.140]  所以去到哪裡很多人跟著他
[00:01:47.140 --> 00:01:48.460]  於是耶穌就和門徒說
[00:01:48.460 --> 00:01:49.020]  不如這樣
[00:01:49.020 --> 00:01:50.540]  我們找一個安靜的地方
[00:01:50.540 --> 00:01:53.180]  然後讓你們可以休息一下
[00:01:53.180 --> 00:01:55.820]  我想有時候我們也很想
[00:01:55.820 --> 00:01:56.820]  在香港生活
[00:01:56.820 --> 00:01:58.940]  我們也很辛苦、很累
[00:01:58.940 --> 00:02:00.300]  很多時候我們也想
[00:02:00.300 --> 00:02:03.420]  最好有一個安靜的地方休息一下
[00:02:03.420 --> 00:02:05.820]  不過原來養寵物很難安靜的休息
[00:02:05.820 --> 00:02:07.220]  我試過一次很累
[00:02:07.220 --> 00:02:08.500]  睡在床上不太舒服
[00:02:08.500 --> 00:02:09.300]  我的貓哭著
[00:02:09.300 --> 00:02:10.300]  我一睡在床上
[00:02:10.300 --> 00:02:11.300]  就在地上跳上來
[00:02:11.300 --> 00:02:12.580]  跳上我的肚子
[00:02:12.580 --> 00:02:14.060]  我整個彈起來
[00:02:14.060 --> 00:02:14.900]  然後就和牠們說
[00:02:14.900 --> 00:02:15.620]  你不要騷擾我
[00:02:15.620 --> 00:02:17.660]  我很累
[00:02:17.660 --> 00:02:19.140]  耶穌對這些門徒很好
[00:02:19.140 --> 00:02:20.500]  祂覺得你們出去做了這麼多
[00:02:20.500 --> 00:02:21.020]  很辛苦
[00:02:21.020 --> 00:02:22.540]  不如我們找個地方休息
[00:02:22.540 --> 00:02:23.580]  於是上面的門徒就覺得
[00:02:23.580 --> 00:02:24.300]  哇!真是好了
[00:02:24.300 --> 00:02:25.700]  跟著耶穌這麼久
[00:02:25.700 --> 00:02:26.540]  一直都很忙
[00:02:26.540 --> 00:02:28.420]  一直都去面對很多人
[00:02:28.420 --> 00:02:29.700]  難得老師告訴我
[00:02:29.700 --> 00:02:31.020]  找個好的地方休息
[00:02:31.020 --> 00:02:31.980]  於是一群人
[00:02:31.980 --> 00:02:32.820]  十幾人
[00:02:32.820 --> 00:02:35.220]  就馬上去找一個
[00:02:35.220 --> 00:02:35.980]  可能在曠野
[00:02:35.980 --> 00:02:38.540]  可能去找一個安靜的地方休息
[00:02:38.540 --> 00:02:40.420]  帶著很大的期望
[00:02:40.420 --> 00:02:42.340]  想著去享受一下
[00:02:42.340 --> 00:02:44.180]  因為聖經說他們連飯都還沒吃
[00:02:44.180 --> 00:02:45.620]  就找個地方坐下來
[00:02:45.620 --> 00:02:46.740]  好好的吃東西
[00:02:46.740 --> 00:02:48.780]  但是怎知道
[00:02:48.780 --> 00:02:50.540]  當耶穌和這十二個門徒
[00:02:50.540 --> 00:02:52.260]  去到他們的目的地
[00:02:52.260 --> 00:02:56.380]  突然間他們就很無奈
[00:02:56.940 --> 00:02:58.180]  因為聖經說
[00:02:58.180 --> 00:02:59.700]  有很多人
[00:02:59.700 --> 00:03:01.940]  不知道為什麼他們知道耶穌去那裡
[00:03:01.940 --> 00:03:04.180]  總之他說有很多人比耶穌和門徒
[00:03:04.180 --> 00:03:07.460]  更早去到他們的目的地
[00:03:07.460 --> 00:03:12.380]  如果你是耶穌或者門徒
[00:03:12.380 --> 00:03:14.740]  我想著靜靜地來休息一下
[00:03:14.740 --> 00:03:15.980]  怎知道去到
[00:03:15.980 --> 00:03:17.060]  見到很多人的時候
[00:03:17.060 --> 00:03:18.660]  不知道大家有什麼感覺
