
[00:00:00.000 --> 00:00:05.720]  丁氏妹,預先跟大家祝福感恩節快樂
[00:00:05.720 --> 00:00:07.800]  跟你旁邊說,感恩節快樂
[00:00:07.800 --> 00:00:15.260]  其實當我在預備今天的信息的時候
[00:00:15.260 --> 00:00:17.560]  我想到感恩節快到了
[00:00:17.560 --> 00:00:20.400]  感恩節快到了,所以就要講感恩節信息
[00:00:20.400 --> 00:00:21.400]  是不是?
[00:00:21.400 --> 00:00:25.920]  丁氏妹,可是想想今年的感恩節
[00:00:25.920 --> 00:00:27.960]  怎麼感恩?
[00:00:28.420 --> 00:00:30.440]  有什麼好感恩呢?
[00:00:30.440 --> 00:00:33.380]  我們天天都在那邊躲避疫情
[00:00:33.380 --> 00:00:36.340]  天天都在那邊擔心這個擔心那個
[00:00:36.340 --> 00:00:38.340]  現在感恩節又來了
[00:00:38.340 --> 00:00:40.100]  然後政府又規定說
[00:00:40.100 --> 00:00:42.100]  現在感恩節快到了
[00:00:42.100 --> 00:00:44.340]  這個聖誕節快到了
[00:00:44.340 --> 00:00:46.340]  請大家不要團聚
[00:00:46.340 --> 00:00:50.020]  那感恩節不團聚還是感恩節嗎?
[00:00:50.020 --> 00:00:54.700]  親愛的丁氏妹,我想今天我們在這個疫情之下
[00:00:54.700 --> 00:00:56.900]  來過這一個感恩節
[00:00:56.900 --> 00:00:58.900]  可以說是弦
[00:00:58.900 --> 00:01:01.040]  這個叫做什麼?
[00:01:01.040 --> 00:01:03.440]  空弦,是不是?
[00:01:03.440 --> 00:01:06.000]  空弦,希望不是絕後
[00:01:06.000 --> 00:01:08.820]  希望是絕後
[00:01:08.820 --> 00:01:14.680]  所以你看,我們真的日子都過得昏頭昏腦的
[00:01:14.680 --> 00:01:19.180]  丁氏妹,今天這一段聖經我要跟大家一起來分享
[00:01:19.180 --> 00:01:25.460]  希伯來書的作者在這個地方講到說
[00:01:25.460 --> 00:01:27.460]  他說,所以
[00:01:27.460 --> 00:01:31.020]  我們既得了這個不能振動的國,就當感恩
[00:01:31.020 --> 00:01:36.140]  今天當我在預備這個信息的時候,這一句話就出現在我的裡面
[00:01:36.140 --> 00:01:37.860]  我們感恩
[00:01:37.860 --> 00:01:40.660]  丁氏妹,如果你去看這個上下文
[00:01:40.660 --> 00:01:43.420]  在這個希伯來書,在這個地方提到說
[00:01:43.420 --> 00:01:45.420]  他說,我們在
[00:01:45.420 --> 00:01:50.620]  這個希伯來書,這個好像前後文裡面看起來
[00:01:50.620 --> 00:01:52.620]  好像他不是一個很邏輯的
[00:01:52.620 --> 00:01:54.980]  因為在希伯來書這一段聖經裡面
[00:01:54.980 --> 00:01:56.980]  他有好幾個警告
[00:01:56.980 --> 00:01:58.980]  每一個警告裡面提醒一些事情
[00:01:58.980 --> 00:02:00.980]  然後又是另外一個警告
[00:02:00.980 --> 00:02:02.980]  所以這是其中的一個警告
[00:02:02.980 --> 00:02:04.980]  他提到什麼呢?
[00:02:04.980 --> 00:02:06.980]  在二十五節這邊就提到說什麼?
[00:02:06.980 --> 00:02:08.980]  他說你們總要謹慎,謹慎就是小心的意思
[00:02:08.980 --> 00:02:10.980]  他說你們總要謹慎
[00:02:10.980 --> 00:02:12.980]  不可棄絕向你們說話的
[00:02:12.980 --> 00:02:14.980]  他在這裡講什麼呢?
[00:02:14.980 --> 00:02:16.980]  他在這個地方是講到
[00:02:16.980 --> 00:02:18.980]  帶我們到出埃及記
[00:02:18.980 --> 00:02:20.980]  帶我們到希臘山的時候
[00:02:20.980 --> 00:02:22.980]  以色列百姓們聽到
[00:02:22.980 --> 00:02:24.980]  向他們說話
[00:02:24.980 --> 00:02:26.980]  是不是?
[00:02:26.980 --> 00:02:28.980]  那當時候以色列百姓悖逆
[00:02:28.980 --> 00:02:30.980]  摩西在山上
[00:02:30.980 --> 00:02:32.980]  在領受這個世界
[00:02:32.980 --> 00:02:34.980]  在領受律法,結果呢?
[00:02:34.980 --> 00:02:36.980]  山下發生什麼事情?
[00:02:36.980 --> 00:02:38.980]  山下他們竟然去拜金流毒
[00:02:38.980 --> 00:02:40.980]  去拜偶像去了
[00:02:40.980 --> 00:02:42.980]  他們等不及摩西了
[00:02:42.980 --> 00:02:44.980]  他們說不知道摩西發生什麼事情
[00:02:44.980 --> 00:02:46.980]  可能死在那邊了
[00:02:46.980 --> 00:02:48.980]  我們自己來招一個神吧
[00:02:48.980 --> 00:02:50.980]  所以他們就開始拜金流毒了
[00:02:50.980 --> 00:02:52.980]  所以神很震怒
[00:02:52.980 --> 00:02:54.980]  神在那邊
[00:02:54.980 --> 00:02:56.980]  當時候希臘山震動
[00:02:56.980 --> 00:03:00.980]  神說話的時候就震動
[00:03:00.980 --> 00:03:02.980]  所以他在這裡說
[00:03:02.980 --> 00:03:04.980]  你們當年聽見我的聲音的時候
[00:03:04.980 --> 00:03:06.980]  他說你們聽見了我的聲音
[00:03:06.980 --> 00:03:09.980]  那個聲音是從天上來警戒我們的
[00:03:09.980 --> 00:03:12.980]  當時候他的聲音震動了地
[00:03:12.980 --> 00:03:15.980]  所以希伯來書的作者
[00:03:15.980 --> 00:03:17.980]  把當年的這個事情拿出來
[00:03:17.980 --> 00:03:19.980]  提醒我們說
[00:03:19.980 --> 00:03:23.980]  我們不要忽略神跟我們說的話
[00:03:23.980 --> 00:03:25.980]  神在當年的時候在希臘山
[00:03:25.980 --> 00:03:27.980]  是因著說話就帶來震動
[00:03:27.980 --> 00:03:31.980]  他說如今我要再一次的震動
