
[00:00:00.000 --> 00:00:01.520]  在六個星期前
[00:00:01.520 --> 00:00:02.880]  我們一同思想
[00:00:02.880 --> 00:00:04.600]  我們生命當中
[00:00:04.600 --> 00:00:08.200]  瓦博渡口的摔跤經驗
[00:00:08.200 --> 00:00:09.400]  我們都很期望
[00:00:09.400 --> 00:00:11.400]  我們能夠在瓦博
[00:00:11.400 --> 00:00:14.680]  被神的愛所降伏
[00:00:14.680 --> 00:00:17.520]  以致我們那種爭鬥的本性
[00:00:17.520 --> 00:00:19.240]  能夠被改變
[00:00:19.240 --> 00:00:23.120]  我們的生命可以有美好的成長
[00:00:23.120 --> 00:00:25.560]  神的愛的降伏
[00:00:25.560 --> 00:00:28.160]  是舉足輕重的
[00:00:28.160 --> 00:00:29.240]  在四個星期前
[00:00:29.240 --> 00:00:31.080]  我們繼續一同思想
[00:00:31.080 --> 00:00:36.400]  那個能夠降伏我們的愛的權能
[00:00:36.400 --> 00:00:38.240]  我們一起去記得
[00:00:38.240 --> 00:00:40.080]  一起去相信
[00:00:40.080 --> 00:00:42.480]  神是愛
[00:00:42.480 --> 00:00:44.080]  神是愛
[00:00:44.080 --> 00:00:45.160]  因為是神是愛
[00:00:45.160 --> 00:00:47.160]  因為是神愛我們
[00:00:47.160 --> 00:00:49.920]  我們才能夠彼此相愛
[00:00:49.920 --> 00:00:53.120]  正如約翰一書四章十九節這樣說
[00:00:53.120 --> 00:00:54.680]  我們愛
[00:00:54.680 --> 00:00:58.280]  因為神先愛我們
[00:00:58.280 --> 00:01:00.240]  我們一起感謝神
[00:01:00.240 --> 00:01:04.960]  祂的慈愛著實是永遠的象徵
[00:01:04.960 --> 00:01:06.040]  在今天的早上
[00:01:06.040 --> 00:01:10.040]  我們一同思想神的義這方面
[00:01:10.040 --> 00:01:13.400]  尤其是神的審判
[00:01:13.400 --> 00:01:15.680]  我們一同聽主的話
[00:01:15.680 --> 00:01:18.800]  我們一同禱告
[00:01:18.800 --> 00:01:21.320]  親愛的主我們一同來到祢的聖所
[00:01:21.320 --> 00:01:23.560]  來到我們家裡面
[00:01:23.560 --> 00:01:25.960]  我們一同去歌頌讚美祢
[00:01:25.960 --> 00:01:27.840]  我們獻感恩的祭
[00:01:27.840 --> 00:01:30.440]  如今我們要一同聽祢的話語
[00:01:30.440 --> 00:01:34.160]  懇求祢讓我們能夠聽一見祢的話語
[00:01:34.160 --> 00:01:35.840]  我們一同去相信
[00:01:35.840 --> 00:01:40.040]  我們領受從天上給我們的馬拿
[00:01:40.040 --> 00:01:42.640]  主也求祢慰養我們
[00:01:42.640 --> 00:01:44.240]  憐憫我們
[00:01:44.240 --> 00:01:47.320]  讓我們能夠在信仰的路上
[00:01:47.320 --> 00:01:50.160]  繼續一同前進
[00:01:50.160 --> 00:01:51.880]  主我們多謝祢
[00:01:51.880 --> 00:01:53.200]  我們這樣的祈禱
[00:01:53.200 --> 00:01:55.600]  是奉主耶穌基督的名字
[00:01:55.600 --> 00:01:57.840]  阿們
[00:01:57.840 --> 00:02:00.320]  《創世紀》的六章五節這樣說
